Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Deferred Tax Assets [Net],Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Government/Other Grants,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,413.95,413.95,1772.25,1772.25,0.0,2186.21,1019.09,418.81,3.75,25.23,1466.87,3300.99,186.47,514.75,120.82,4123.03,7776.11,2630.76,1.38,42.34,0.2,2674.68,560.35,168.21,17.11,3420.35,0.0,642.12,3440.49,23.66,183.75,65.74,4355.76,7776.11,300.26,485.76,1.46,68.97,337.19,0.0,560.35,0.0,0.0,16.62,7.48,1512.42,3.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,413.95,413.95,1901.6,1901.6,0.0,2315.55,781.84,427.06,3.36,11.45,1223.7,2879.13,199.47,530.16,126.15,3734.91,7274.16,2547.99,2.89,91.35,1.01,2643.25,487.38,78.91,14.3,3223.85,0.0,693.68,3049.43,21.37,203.22,82.61,4050.31,7274.16,118.41,550.02,1.46,59.19,376.92,0.0,487.38,0.0,0.0,30.87,4.48,2394.62,30.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,416.21,416.21,1789.88,1789.88,0.0,2206.09,707.91,246.29,2.13,3.77,960.09,3775.16,447.0,539.91,24.24,4786.31,7952.48,1713.27,2.69,625.66,0.72,2342.34,315.71,1.61,199.11,2858.77,0.0,862.18,3836.96,30.88,20.36,343.34,4946.02,7952.48,4793.72,643.46,1.45,0.0,392.62,0.0,315.71,0.0,0.0,10.74,4.74,3468.52,18.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,416.21,416.21,2119.03,2119.03,0.0,2535.24,1074.22,183.34,4.4,5.24,1267.2,3077.59,227.36,913.27,26.82,4245.04,8047.49,1095.08,3.76,1705.88,0.96,2805.68,291.25,1.24,124.39,3222.56,0.0,849.35,3023.15,104.07,0.32,848.04,4824.93,8047.49,3646.8,3251.11,0.0,0.0,295.59,0.0,291.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,416.21,416.21,2482.21,2482.21,0.0,2898.42,3156.48,213.14,2.82,3.65,3376.1,2452.18,310.59,385.22,29.85,3177.85,9452.37,1165.38,3.99,4128.58,0.13,5298.08,291.25,0.94,106.84,5697.1,0.0,795.1,2515.7,69.22,0.24,375.0,3755.26,9452.37,0.0,0.0,0.0,0.0,0.0,0.0,291.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,416.21,416.21,2821.7,2821.7,2.63,3240.54,4032.24,190.53,3.23,7.0,4233.0,4161.96,981.11,1196.19,32.94,6372.2,13845.74,6842.92,3.12,108.64,0.03,6954.71,302.96,0.67,106.89,7365.23,24.5,1323.15,4822.64,62.06,0.17,248.0,6480.52,13845.74,187.69,3593.61,0.0,0.0,59.78,0.0,302.96,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,416.21,416.21,3497.03,3497.03,2.64,3915.88,3974.61,0.0,19.78,11.56,4005.95,4933.63,539.56,1135.14,37.31,6645.64,14567.47,6699.02,2.01,84.99,0.0,6786.02,289.49,0.47,155.86,7269.38,0.0,1135.6,5563.11,150.82,0.12,448.44,7298.09,14567.47,333.76,2662.4,0.0,0.0,82.04,0.0,289.49,0.0,37.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,416.21,416.21,4873.46,4873.46,2.64,5292.31,3076.39,308.91,15.8,13.94,3415.04,771.6,387.95,320.6,39.47,1519.62,10226.97,6478.25,1.59,160.52,0.27,6640.63,302.93,0.37,151.11,7095.04,0.0,789.14,1174.59,900.89,0.1,267.21,3131.93,10226.97,221.33,3718.01,0.0,0.0,27.08,0.0,302.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,416.21,416.21,5764.74,5764.74,2.64,6183.59,2398.22,603.07,11.8,15.0,3028.09,1851.85,1498.83,415.52,34.45,3800.65,13012.33,6355.73,1.94,156.56,0.34,6514.57,302.93,0.24,135.61,6953.35,0.0,3123.21,2151.3,538.79,0.06,245.62,6058.98,13012.33,188.72,5427.15,0.0,0.0,30.77,0.0,302.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,416.21,416.21,6457.72,6457.72,2.64,6876.57,1741.26,704.3,21.66,18.64,2485.86,1514.86,1210.95,389.02,36.38,3151.21,12513.64,6261.01,1.38,101.63,0.99,6365.01,302.93,0.16,218.84,6886.94,1837.3,1373.83,1760.48,46.61,0.05,608.43,5626.7,12513.64,346.48,8108.42,0.0,0.0,94.38,0.0,302.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,400.65,400.65,6722.71,6722.71,0.0,7123.36,1063.88,1025.78,19.59,24.73,2133.98,709.33,793.47,491.43,41.92,2036.15,11293.49,6419.49,3.15,183.54,0.32,6606.5,302.93,0.1,309.43,7218.96,1932.19,1254.66,191.56,120.04,0.03,576.05,4074.53,11293.49,1479.63,3733.44,0.0,0.0,137.9,0.0,302.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,400.65,400.65,8133.81,8133.81,0.0,8534.46,0.0,1411.77,18.07,8.4,1438.24,0.0,630.05,503.46,40.3,1173.81,11146.51,6218.41,3.12,649.35,0.0,6870.88,302.93,0.04,365.46,7539.31,828.24,1802.29,367.92,223.23,0.02,385.5,3607.2,11146.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
