Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2020-09-30,3986.94,0.0,3986.94,704.95,1638.11,74.71,0.0,43.31,71.82,783.27,670.77,52.12,722.89,81.02,641.87,0.0,641.87,225.73,416.14,0.0,0.0,416.14,416.21,9.99,9.99,0.0,0.0,0.0,0.0,0.0
2020-12-31,3872.64,0.0,3872.64,806.76,831.2,694.46,0.0,42.77,71.7,698.93,726.82,-11.27,715.55,52.52,663.03,0.0,663.03,211.44,451.59,0.0,0.0,451.59,416.21,10.85,10.85,0.0,0.0,0.0,0.0,0.0
2021-03-31,1640.76,0.0,1640.76,696.06,155.9,-151.47,0.0,46.12,74.92,560.13,259.1,-33.43,225.67,47.54,178.13,0.0,178.13,12.85,165.28,0.0,0.0,165.28,416.21,3.97,3.97,0.0,0.0,0.0,0.0,0.0
2021-06-30,3539.52,0.0,3539.52,951.06,1807.43,-663.22,0.0,45.44,73.34,817.17,508.3,35.25,543.55,30.41,513.14,0.0,513.14,170.97,342.17,0.0,0.0,342.17,416.21,8.22,8.22,0.0,0.0,0.0,0.0,0.0
2021-09-30,4478.61,0.0,4478.61,1129.98,803.03,877.4,0.0,45.43,75.18,885.38,662.21,17.3,679.51,24.84,654.67,0.0,654.67,228.76,425.91,0.0,0.0,425.91,416.21,10.23,10.23,0.0,0.0,0.0,0.0,0.0
2021-12-31,4743.33,0.0,4743.33,1507.92,1262.37,232.78,0.0,44.73,76.17,1113.16,506.2,18.79,524.99,24.13,500.86,0.0,500.86,175.41,325.45,0.0,0.0,325.45,416.21,7.82,7.82,0.0,0.0,0.0,0.0,0.0
2022-03-31,3307.37,0.0,3307.37,1779.57,2688.94,-2773.95,0.0,44.2,75.05,1207.99,285.57,24.22,309.79,26.55,283.24,0.0,283.24,89.65,193.59,0.0,0.0,193.59,416.21,4.65,4.65,0.0,0.0,0.0,0.0,0.0
2022-06-30,7291.18,0.0,7291.18,2057.22,2670.23,479.45,0.0,44.14,76.06,1446.34,517.74,106.33,624.07,48.11,575.96,0.0,575.96,169.48,406.48,0.0,0.0,406.48,416.21,9.77,9.77,0.0,0.0,0.0,0.0,0.0
2022-09-30,8586.75,0.0,8586.75,2563.39,4168.28,-419.79,0.0,49.71,78.22,1780.4,366.54,88.81,455.35,84.95,370.4,0.0,370.4,129.99,240.41,0.0,0.0,240.41,416.21,5.77,5.77,0.0,0.0,0.0,0.0,0.0
2022-12-31,8296.21,0.0,8296.21,2268.98,1691.81,2016.01,0.0,47.67,78.09,1601.28,592.37,22.82,615.19,120.07,495.12,0.0,495.12,170.62,324.5,0.0,0.0,324.5,416.21,7.8,7.8,0.0,0.0,0.0,0.0,0.0
2023-03-31,3598.67,0.0,3598.67,1632.97,865.28,-289.54,0.0,48.5,75.92,1229.42,36.12,41.08,77.2,66.89,10.31,0.0,10.31,-87.61,97.92,0.0,0.0,97.92,416.21,2.35,2.35,0.0,0.0,0.0,0.0,0.0
2023-06-30,5589.28,0.0,5589.28,1682.28,2890.95,-937.34,0.0,53.98,77.16,1265.89,556.36,144.97,701.33,54.83,646.5,0.0,646.5,177.17,469.33,0.0,0.0,469.33,416.21,11.28,11.28,0.0,0.0,0.0,0.0,0.0
2023-09-30,5385.52,0.0,5385.52,1680.21,234.26,1502.81,0.0,53.27,78.44,1299.82,536.71,81.58,618.29,45.77,572.52,0.0,572.52,200.17,372.35,0.0,0.0,372.35,416.21,8.94,8.94,0.0,0.0,0.0,0.0,0.0
2023-12-31,4348.57,0.0,4348.57,1869.12,600.14,-31.77,0.0,56.31,79.11,1226.16,549.5,95.29,644.79,36.47,608.32,0.0,608.32,204.77,403.55,0.0,0.0,403.55,416.21,9.7,9.7,0.0,0.0,0.0,0.0,0.0
2024-03-31,2643.04,0.0,2643.04,1350.34,449.55,-388.29,0.0,57.21,78.08,1007.33,88.82,62.42,151.24,35.99,115.25,0.0,115.25,29.04,86.21,0.0,0.0,86.21,400.65,2.27,2.27,0.0,0.0,0.0,0.0,0.0
2024-06-30,4933.23,0.0,4933.23,1754.04,973.56,165.27,0.0,55.97,82.24,1232.16,669.99,189.89,859.88,40.21,819.67,0.0,819.67,267.51,552.16,0.0,0.0,552.16,400.65,13.78,13.78,0.0,0.0,0.0,0.0,0.0
2024-09-30,4346.18,0.0,4346.18,1792.0,693.59,-201.17,0.0,57.81,83.26,1213.66,707.03,43.89,750.92,1.27,749.65,0.0,749.65,249.23,500.42,0.0,0.0,500.42,400.65,12.49,12.49,0.0,0.0,0.0,0.0,0.0
2024-12-31,4918.06,0.0,4918.06,1596.74,751.2,594.99,0.0,57.87,83.03,1139.17,695.06,64.48,759.54,6.94,752.6,0.0,752.6,248.1,504.5,0.0,0.0,504.5,400.65,12.59,12.59,0.0,0.0,0.0,0.0,0.0
2025-03-31,2448.73,0.0,2448.73,1291.87,1007.93,-1103.92,0.0,61.59,81.61,1027.6,82.05,55.06,137.11,0.0,137.11,0.0,137.11,37.4,99.71,0.0,0.0,99.71,400.65,2.49,2.49,0.0,0.0,0.0,0.0,0.0
