Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Loans And Advances,Short Term Loans And Advances,Equity Share Application Money,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2014-03-31,150.78,150.78,4655.54,4655.54,4806.32,2804.96,0.0,0.0,14.66,2819.62,0.0,128.03,621.57,1014.45,1764.05,9389.99,4441.9,0.03,141.2,0.0,4583.13,1739.11,0.0,6344.83,1051.91,71.43,42.8,1754.98,9.81,3045.16,9389.99,1323.13,888.69,846.88,34.93,1739.11,0.0,1051.91,22.59,114.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,150.78,150.78,4779.98,4779.98,4930.76,2568.9,0.0,0.0,24.09,2592.99,0.0,113.91,638.32,1059.95,1812.18,9335.93,4257.53,0.35,226.24,0.0,4484.12,1665.66,0.0,6187.98,1149.58,52.83,133.91,1716.96,11.57,3147.95,9335.93,1033.16,950.48,938.77,34.93,1665.66,0.0,1149.58,38.2,83.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,150.78,150.78,4469.3,4469.3,4620.08,2606.14,0.0,0.0,24.96,2631.1,0.0,119.33,1468.67,16.13,1604.13,8855.31,3665.78,0.27,328.28,0.15,3994.48,1678.19,3.83,5676.5,885.7,28.14,91.67,2025.17,148.13,3178.81,8855.31,1197.41,950.04,1119.99,34.93,1621.85,0.0,851.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,150.78,150.78,5011.24,5011.24,5162.02,3748.47,0.0,0.0,27.77,3776.24,170.17,123.34,1514.47,1.95,1809.93,10748.19,5594.12,0.3,21.7,0.67,5616.79,1680.17,86.18,7383.14,862.89,60.41,46.04,2198.47,197.24,3365.05,10748.19,102.57,0.0,0.0,34.93,1680.17,0.0,862.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,150.78,150.78,5074.64,5074.64,5225.42,3576.44,0.0,0.0,27.24,3603.68,171.02,183.59,1338.35,1.31,1694.27,10523.37,5541.13,1.09,7.63,0.0,5549.85,1682.28,96.89,7329.02,754.21,96.27,149.79,1914.9,279.18,3194.35,10523.37,361.08,2183.27,1132.03,34.93,1682.28,0.0,754.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,150.78,150.78,4914.94,4914.94,5065.72,3307.69,0.0,357.96,29.81,3695.46,0.0,226.76,1347.31,5.48,1579.55,10340.73,5534.83,0.88,13.36,0.12,5549.19,1684.74,187.82,7421.75,470.79,135.34,201.81,1827.2,283.84,2918.98,10340.73,153.1,3068.64,1638.99,34.93,1684.74,0.0,470.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,146.97,146.97,4920.08,4920.08,5067.05,3319.11,12.84,718.06,38.54,4088.55,0.0,269.09,569.28,11.82,850.19,10005.79,5195.26,0.58,108.84,0.12,5304.8,1685.82,103.32,7093.94,870.71,132.2,253.95,1403.05,251.94,2911.85,10005.79,97.09,2738.81,1740.48,34.04,1685.82,0.0,870.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,146.97,146.97,5951.02,5951.02,6097.99,3241.03,23.58,396.41,29.12,3690.14,0.0,220.8,823.31,12.81,1056.92,10845.05,5368.8,0.33,24.01,0.12,5393.26,1687.08,125.98,7206.32,1289.62,121.56,131.22,1848.88,247.45,3638.73,10845.05,333.81,2282.15,1901.68,34.04,1687.08,0.0,1289.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,142.77,142.77,6428.66,6428.66,6571.43,2970.52,17.46,261.39,28.39,3277.76,459.04,288.31,356.05,15.92,1119.32,10968.51,5427.03,0.2,22.71,0.96,5450.9,1688.32,91.2,7230.42,1017.27,139.37,209.31,2036.2,335.94,3738.09,10968.51,105.03,2271.28,1990.5,34.04,1688.32,0.0,1017.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,142.77,142.77,8377.48,8377.48,8520.25,2222.29,26.03,247.65,27.29,2523.26,308.66,271.09,386.88,16.17,982.8,12026.31,5142.96,5.79,27.03,0.0,5175.78,1689.64,152.11,7017.53,1267.89,110.0,443.73,2914.51,272.65,5008.78,12026.31,127.73,3278.56,3764.79,34.04,1689.64,0.0,1267.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,142.77,142.77,10203.64,10203.64,10346.41,1767.37,44.28,270.56,22.55,2104.76,459.85,360.87,304.13,35.68,1160.53,13611.7,5204.14,6.79,29.86,8.48,5249.27,1691.13,226.76,7167.16,1624.39,148.19,437.82,3884.74,349.4,6444.54,13611.7,604.04,2491.9,3590.96,34.04,1691.13,0.0,1624.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
