Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Deferred Tax Liabilities [Net],Short Term Provisions,Non-Current Investments,Long Term Loans And Advances,Trade Receivables,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2014-03-31,101.0,101.0,7431.9,7431.9,7532.9,67712.33,89.41,705.99,68507.73,3738.11,25.6,15602.05,19736.4,95777.02,71.49,4.11,0.0,0.0,75.61,256.57,0.04,86557.73,0.23,3022.38,5503.83,624.56,9219.29,95777.02,145.88,1.13,0.34,0.44,105.07,77.74,0.23,0.0,0.0,370.65,199.08,86026.43,68.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,101.0,101.0,7717.44,7717.44,7818.44,80518.55,322.75,696.66,82206.93,2698.01,27.46,19421.11,22519.68,112545.06,73.71,5.94,0.0,0.0,79.65,0.0,0.04,102260.62,0.02,2933.06,6567.86,713.87,10284.44,112545.06,21.96,1.02,0.0,0.17,167.39,72.79,0.02,0.0,668.98,373.11,237.12,101943.81,69.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,101.0,101.0,9044.98,9044.98,9145.98,90658.14,865.7,806.33,93141.07,5440.44,41.39,22268.36,28210.72,130497.77,87.2,4.82,0.0,0.0,92.02,0.0,0.05,118149.9,5.02,3926.8,7535.44,795.21,12347.87,130497.77,210.32,1.49,0.0,0.23,184.36,93.28,5.03,0.0,810.9,460.53,271.82,117786.01,85.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,101.0,101.0,10976.03,10976.03,11077.03,103738.89,1180.89,997.23,106834.27,7587.22,58.97,25201.6,32989.11,150900.41,92.88,3.65,0.0,0.0,96.52,0.0,68.97,136313.28,0.1,4463.35,9135.63,878.64,14587.13,150900.41,81.39,2.15,0.0,0.19,445.36,109.85,0.1,0.0,917.27,141.32,526.89,135620.9,109.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,100.99,100.99,14140.19,14140.19,14241.18,128792.89,2.18,117.64,128912.71,16517.05,61.29,11357.59,27935.93,171089.82,94.71,2.41,0.0,0.0,97.12,442.28,254.63,794.03,1972.17,2096.44,166162.32,64.86,170295.79,171089.82,97.68,1.85,0.0,0.0,0.0,0.0,0.0,1068.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,100.99,100.99,16158.28,16158.28,16259.27,144283.1,148.65,113.39,144545.14,26383.91,79.94,13315.21,39779.06,200583.47,132.97,2.88,0.0,0.0,135.85,553.37,252.07,941.29,3595.06,3013.51,192992.74,40.87,199642.18,200583.47,79.62,2.43,0.0,25.11,0.0,0.0,0.0,3595.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,100.99,100.99,18092.1,18092.1,18193.09,146191.25,223.66,145.33,146560.24,45140.43,34.57,6877.26,52052.26,216805.59,252.07,1.98,0.33,0.0,254.38,520.04,465.99,1240.41,5496.37,1978.95,207987.97,101.89,215565.18,216805.59,70.67,2.88,0.0,0.0,0.0,0.0,0.0,3681.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,100.99,100.99,20420.32,20420.32,20521.31,145728.75,292.83,142.48,146164.06,62132.74,96.12,6719.09,68947.95,235633.32,241.1,2.29,0.0,3.63,247.02,912.93,139.02,1298.97,4635.61,1346.72,228114.27,237.75,234334.35,235633.32,25.34,1.98,0.0,0.0,0.0,0.0,0.0,2233.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,110.08,110.08,24561.76,24561.76,24671.84,147210.93,351.08,169.98,147731.99,76447.22,64.3,5652.11,82163.63,254567.46,264.38,21.75,0.04,1.45,287.62,1368.07,276.32,1932.01,6198.6,937.39,245296.33,203.13,252635.45,254567.46,32.73,1.39,0.0,0.0,0.0,0.0,0.0,6198.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,110.08,110.08,26990.26,26990.26,27100.34,0.0,554.02,173.46,727.48,244774.22,38.96,5771.01,250584.19,278412.01,319.98,36.23,0.74,0.0,356.95,1888.46,594.93,2840.34,6976.41,741.9,267834.8,18.56,275571.67,278412.01,24.75,1.42,0.0,0.0,0.0,0.0,0.0,6976.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,110.08,110.08,31284.55,31284.55,31394.63,0.0,431.85,334.13,765.98,252496.79,70.58,6476.65,259044.02,291204.63,329.01,31.84,0.14,0.0,360.99,1639.15,744.19,2744.33,6277.03,1572.63,280589.79,20.85,288460.3,291204.63,53.16,1.65,0.0,0.0,0.0,0.0,0.0,6277.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
