Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2017-03-31,3708.3,5.37,3713.67,1887.63,491.99,130.79,89.72,51.56,444.99,616.99,122.57,739.56,240.11,499.45,-72.92,426.53,0.0,426.53,426.53,1004.88,0.85,0.74,0.0,0.0,0.0,0.0,0.0
2017-06-30,2243.97,3.32,2247.29,1181.73,218.34,65.26,66.61,100.77,440.44,174.14,96.79,270.93,225.58,45.35,-12.97,32.38,0.0,32.38,32.38,1038.42,0.06,0.06,0.0,0.0,0.0,0.0,0.0
2017-09-30,637.81,3.64,641.45,614.23,84.56,-338.74,68.56,97.3,246.47,-130.93,94.65,-36.28,242.19,-278.47,-100.3,-378.77,0.0,-378.77,-378.77,1063.95,-0.72,-0.72,0.0,0.0,0.0,0.0,0.0
2017-12-31,1719.97,6.35,1726.32,343.38,464.63,480.08,65.3,99.53,110.86,162.54,94.49,257.03,241.57,15.46,-12.54,2.92,0.0,2.92,2.92,1063.95,0.01,0.01,0.0,0.0,0.0,0.0,0.0
2018-03-31,1540.87,10.55,1551.42,605.76,220.42,178.7,78.01,121.68,307.66,39.19,83.23,122.42,513.5,-391.08,-420.19,-811.27,1.4,-812.67,-812.67,1063.95,-1.53,-1.53,0.0,0.0,0.0,0.0,0.0
2018-06-30,761.98,4.99,766.97,435.39,0.0,130.71,68.15,90.12,219.07,-176.47,90.62,-85.85,236.37,-322.22,-12.06,-334.28,0.0,-334.28,-334.28,1063.95,-0.63,-0.63,0.0,0.0,0.0,0.0,0.0
2018-09-30,625.15,6.64,631.79,356.65,0.0,46.21,70.61,92.83,225.24,-159.75,137.98,-21.77,262.53,-284.3,-15.46,-299.76,0.2,-299.96,-299.96,1063.95,-0.56,-0.56,0.0,0.0,0.0,0.0,0.0
2018-12-31,360.92,36.51,397.43,367.83,0.0,-151.57,80.82,118.52,77.61,-95.78,109.21,13.43,246.33,-232.9,-51.82,-284.72,0.08,-284.8,-284.8,1063.95,-0.54,-0.54,0.0,0.0,0.0,0.0,0.0
2019-03-31,723.03,24.28,747.31,358.05,5.81,170.65,106.96,137.44,159.13,-190.73,97.97,-92.76,198.42,-291.18,-6202.04,-6493.22,1.07,-6494.29,-6494.29,1063.95,-12.21,-12.21,0.0,0.0,0.0,0.0,0.0
2019-06-30,141.54,20.3,161.84,56.47,0.0,47.2,70.01,98.81,121.62,-232.27,112.28,-119.99,244.15,-364.14,-33.18,-397.32,0.0,-397.32,-397.32,1063.95,-0.75,-0.75,0.0,0.0,0.0,0.0,0.0
2019-09-30,106.8,0.0,106.8,56.58,0.0,85.4,70.17,315.43,234.87,-655.65,76.34,-579.31,200.9,-780.21,-178.71,-958.92,0.0,-958.92,-958.92,1063.95,-1.8,-1.8,0.0,0.0,0.0,0.0,0.0
