Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Capital Goods,Raw Materials,"Stores, Spares And Loose Tools",Equity Share Application Money,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Deferred Tax Assets [Net],Trade/Other Goods
2014-03-31,11070.67,11070.67,14996.98,14996.98,26067.65,18580.52,766.67,1605.81,814.7,21767.7,0.0,200.71,2938.21,3002.0,6140.92,53976.27,23315.21,764.33,14657.13,0.0,0.0,38736.67,2227.02,1089.69,896.37,42949.75,251.87,72.29,1863.77,5303.83,2093.55,1441.21,11026.52,53976.27,13078.79,261.35,0.05,815.75,1463.68,251.87,5.73,0.0,3.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,11070.67,11070.67,17215.72,17215.72,28286.39,18171.03,810.44,1337.17,886.95,21205.59,0.0,153.01,3013.15,2780.98,5947.14,55439.12,21899.89,795.27,16054.72,0.0,0.0,38749.88,1977.75,1108.47,2426.2,44262.3,257.57,82.73,2497.1,5422.11,1407.19,1510.12,11176.82,55439.12,12981.13,188.21,0.0,876.61,1214.41,258.63,8.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,11070.67,11070.67,17681.28,17681.28,28751.95,18385.28,845.68,1244.16,400.65,20875.77,0.0,123.0,3253.6,2161.84,5538.44,55166.16,22055.58,828.27,16575.65,0.01,0.0,39459.51,1596.36,1108.68,3142.36,45306.91,1.13,85.53,2017.03,5876.76,218.48,1660.32,9859.25,55166.16,22231.44,169.68,2.62,468.59,1214.41,2.19,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,10259.32,10259.32,16682.81,16682.81,26942.13,17245.64,938.49,1498.1,486.93,20169.16,302.5,147.08,3256.28,1489.95,5195.81,52307.1,20038.58,934.14,17350.13,0.0,4.49,38327.34,2100.32,360.96,3063.25,43851.87,0.0,91.64,1492.9,1533.14,43.84,5293.71,8455.23,52307.1,33876.83,102.32,0.0,519.41,1580.91,0.0,26.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,10259.32,10259.32,18092.5,18092.5,28351.82,16728.2,3145.39,1663.47,25.47,21562.53,279.99,181.86,3438.36,1753.04,5653.25,55567.6,19090.11,923.38,18813.96,0.0,4.49,38831.94,2209.56,701.74,3717.18,45460.42,0.0,95.77,1097.07,1472.39,47.97,7393.98,10107.18,55567.6,13511.05,83.4,0.0,503.29,1706.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,10045.03,10045.03,19169.7,19169.7,29214.73,17044.63,3610.63,3883.62,26.82,24565.7,406.0,180.18,3913.39,1329.37,5828.94,59609.37,22940.69,906.66,14898.11,0.0,4.49,38749.95,2361.66,746.41,5681.97,47539.99,0.0,117.14,2623.09,390.63,45.18,8893.34,12069.38,59609.37,14510.21,104.86,0.0,490.2,1871.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,10045.03,10045.03,19938.78,19938.78,29983.81,20889.74,3641.19,4141.88,27.66,28700.47,714.31,304.26,3682.51,1228.16,5929.24,64613.52,23290.31,0.72,16097.65,0.0,4.49,39393.17,3400.74,798.65,6598.42,50190.98,0.0,118.24,3818.34,389.12,46.03,10050.81,14422.54,64613.52,8267.96,106.57,0.0,464.13,2936.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,10045.03,10045.03,21602.28,21602.28,31647.31,21241.22,3589.36,4088.94,28.38,28947.9,726.03,201.34,3526.47,1252.98,5706.82,66302.03,20916.53,3.52,17754.48,0.0,4.49,38679.02,3921.68,943.27,8477.98,52021.95,0.0,124.42,3206.02,913.96,48.44,9987.24,14280.08,66302.03,18533.36,31.76,0.0,515.35,3406.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,10045.03,10045.03,23441.07,23441.07,33486.1,23166.61,2100.74,4127.08,48.05,29442.48,2848.76,189.57,3196.96,1135.75,7371.04,70299.62,20807.67,3.11,20573.84,0.0,4.49,41389.11,5414.34,1017.59,8266.26,56087.3,0.0,130.3,4621.48,1160.71,55.68,8244.15,14212.32,70299.62,15571.98,0.0,0.0,510.34,4904.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,10045.03,10045.03,25362.93,25362.93,35407.96,25254.69,1937.34,4099.33,50.92,31342.28,2885.65,215.45,3201.55,1662.23,7964.88,74715.12,20060.73,3.08,25315.01,0.0,4.49,45383.31,5546.96,1089.8,8579.58,60599.65,151.35,150.48,5487.59,638.22,114.59,7573.24,14115.47,74715.12,13619.42,43.63,0.0,347.22,5199.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,10045.03,10045.03,27223.58,27223.58,37268.61,26338.22,1668.45,4428.51,59.71,32494.89,3052.77,258.85,3557.92,2169.55,9039.09,78802.59,19212.06,1.83,29794.72,180.0,4.49,49193.1,6355.86,1196.15,8110.5,64855.61,12.43,177.0,3981.32,992.51,97.25,8686.47,13946.98,78802.59,25314.42,32.64,0.0,454.29,5901.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
