Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Trade/Other Goods,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Borrowings,Long Term Provisions,Short Term Borrowings,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,195.87,195.87,43856.01,43856.01,44051.88,226.87,690.44,1286.61,3977.55,2460.32,5827.83,12265.7,57604.19,5887.09,42.1,3047.53,8976.72,5098.55,273.58,6875.54,1544.99,22769.38,733.87,8.57,14471.89,12566.26,3688.12,3366.1,34834.81,57604.19,10880.43,0.0,20275.4,786.4,60634.96,1625.88,155.9,2151.32,4718.66,0.0,733.87,89.69,279.61,0.0,32.96,0.0,589.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,195.87,195.87,45220.57,45220.57,45416.44,271.46,722.15,1185.23,6767.25,2491.47,7019.35,16463.63,63065.3,7964.88,31.41,2706.94,10703.23,2651.23,303.47,8452.55,524.68,22635.16,747.47,12.34,17036.76,16502.5,3352.18,2778.89,40430.14,63065.3,9161.54,0.0,24745.56,2456.13,70680.7,1137.62,155.9,2974.41,2271.34,0.0,747.47,64.71,126.91,185.56,47.37,0.03,523.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,197.0,197.0,64816.0,64816.0,65013.0,366.0,639.0,1095.0,5370.0,5711.0,115.0,11309.0,77417.0,9056.0,24.0,1640.0,10720.0,2229.0,2530.0,2432.0,6129.0,24040.0,21930.0,9.0,19058.0,4806.0,2523.0,5051.0,53377.0,77417.0,19695.42,0.0,29554.53,1366.16,81193.85,690.88,155.9,0.0,2228.28,20253.65,1675.44,50.0,40.0,113.0,27.66,0.31,474.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,197.0,197.0,77825.0,77825.0,78022.0,314.0,638.0,1035.0,4190.0,6245.0,66.0,10701.0,89758.0,9214.0,17.0,1477.0,10708.0,2201.0,2447.0,6.0,5954.0,21316.0,40729.0,21.0,16582.0,1316.0,2704.0,7090.0,68442.0,89758.0,16259.0,561.0,31553.0,0.0,0.0,86370.0,155.9,0.0,2201.0,21999.0,18730.0,44.0,39.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,191.0,191.0,75675.0,75675.0,75866.0,424.0,643.0,1132.0,4775.0,8931.0,171.0,14058.0,91056.0,9430.0,10.0,1238.0,10678.0,2186.0,3051.0,1503.0,5416.0,22834.0,35073.0,25.0,18882.0,3487.0,2793.0,7962.0,68222.0,91056.0,13949.0,768.0,33014.0,0.0,0.0,92258.0,151.15,0.0,2186.0,25972.0,9101.0,39.0,26.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,375.0,375.0,78523.0,78523.0,78898.0,339.0,1367.0,1706.0,7692.0,11030.0,174.0,18896.0,99500.0,9522.0,139.0,834.0,10495.0,2189.0,2097.0,2.0,5685.0,20468.0,28280.0,10.0,24029.0,8900.0,7018.0,10795.0,79032.0,99500.0,4721.0,0.0,49336.0,0.0,0.0,119499.0,342.58,0.0,2189.0,28218.0,2252.0,0.0,0.0,0.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,375.0,375.0,73993.0,73993.0,74368.0,347.0,6234.0,6581.0,8734.0,15057.0,235.0,24026.0,104975.0,15883.0,239.0,781.0,16903.0,2189.0,2219.0,2.0,4468.0,25781.0,25686.0,5.0,28660.0,4824.0,7270.0,12749.0,79194.0,104975.0,1869.0,569.0,51748.0,0.0,0.0,128501.0,342.58,0.0,2189.0,25686.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,370.0,370.0,74424.0,74424.0,74794.0,365.0,5697.0,6062.0,7962.0,19213.0,1350.0,28525.0,109381.0,15697.0,362.0,861.0,16920.0,2405.0,3160.0,2.0,3734.0,26221.0,28324.0,7.0,25222.0,3142.0,10486.0,15979.0,83160.0,109381.0,1609.0,241.0,54800.0,0.0,0.0,130720.0,338.01,0.0,2405.0,28324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,366.0,366.0,76807.0,76807.0,77173.0,129.0,6060.0,6189.0,10082.0,26442.0,1377.0,37901.0,121263.0,15506.0,1018.0,1146.0,17670.0,2405.0,2779.0,8.0,4209.0,27071.0,29262.0,19.0,29852.0,13692.0,5653.0,15714.0,94192.0,121263.0,2050.0,216.0,63689.0,0.0,0.0,155240.0,334.35,0.0,2405.0,29263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,366.0,366.0,74172.0,74172.0,74538.0,190.0,5775.0,5965.0,13768.0,25277.0,279.0,39324.0,119827.0,14881.0,809.0,1103.0,16793.0,2405.0,2464.0,3.0,5378.0,27043.0,35738.0,27.0,42798.0,4543.0,332.0,9346.0,92784.0,119827.0,2170.0,144.0,75786.0,0.0,0.0,183412.0,334.35,0.0,2405.0,35736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,362.0,362.0,71758.0,71758.0,72120.0,154.0,5813.0,5967.0,14599.0,28391.0,71.0,43061.0,121148.0,14490.0,463.0,1450.0,16403.0,2405.0,2524.0,2.0,4896.0,26230.0,29840.0,27.0,46068.0,6599.0,317.0,12067.0,94918.0,121148.0,2581.0,174.0,81726.0,0.0,0.0,193252.0,330.69,0.0,2405.0,29841.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,362.0,362.0,75255.0,75255.0,75617.0,202.0,7787.0,7989.0,17483.0,31607.0,92.0,49182.0,132788.0,15947.0,878.0,1318.0,18143.0,3999.0,2658.0,2.0,4823.0,29625.0,28803.0,20.0,51767.0,7152.0,42.0,15379.0,103163.0,132788.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
