Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Hybrid/Debt/Other Securities,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Preference Share Capital,Equity Share Application Money,Government/Other Grants,Trade/Other Goods,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,15.87,19.37,314.35,314.35,0.0,333.72,0.0,41.93,0.0,0.1,18.77,60.79,91.53,154.1,66.55,9.4,321.59,716.1,250.96,4.36,18.23,0.0,0.0,273.56,93.5,1.65,17.81,8.2,394.71,0.0,74.09,187.77,14.43,38.64,6.45,321.38,716.1,181.52,57.51,0.95,3.24,13.22,104.83,9.67,5.65,0.0,96.62,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,15.87,19.37,353.34,353.34,0.0,372.71,0.0,32.77,0.31,0.1,23.3,56.48,69.45,183.21,56.1,14.17,322.93,752.11,272.87,5.18,0.57,0.0,0.0,278.62,82.2,0.0,15.98,11.39,388.18,0.0,90.03,210.33,20.74,38.21,4.61,363.93,752.11,141.1,63.91,0.28,0.18,4.73,95.37,11.18,5.65,0.0,82.2,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,15.87,19.37,419.23,419.23,0.0,438.6,0.0,16.87,0.0,0.11,26.62,43.6,81.82,201.2,81.15,15.33,379.5,861.69,247.67,3.66,4.93,0.0,0.0,256.27,194.65,1.8,14.8,7.13,474.64,0.0,89.1,251.29,16.81,25.86,3.99,387.05,861.69,128.58,69.06,1.02,6.73,6.82,65.86,9.13,5.65,0.0,194.65,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,15.87,15.87,512.45,512.45,0.0,528.32,0.0,31.43,0.0,12.12,30.5,74.05,139.33,238.46,57.12,4.4,439.31,1341.68,260.29,4.52,10.56,0.0,0.0,275.37,356.75,5.93,7.34,10.91,656.3,0.0,87.6,241.47,318.96,0.37,36.98,685.38,1341.68,421.42,74.72,0.53,8.86,5.79,0.0,0.0,5.64,0.0,356.75,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,17.41,17.41,952.49,952.49,0.0,969.9,0.0,21.65,0.0,12.68,34.8,69.13,58.73,325.37,66.79,6.25,457.14,1496.17,267.83,11.96,31.0,6.09,0.0,316.88,604.4,6.14,8.33,61.1,996.85,0.0,111.15,335.98,14.75,0.35,37.09,499.32,1496.17,409.6,69.35,0.62,10.74,4.79,0.0,0.0,5.64,0.0,604.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,52.44,52.44,1183.27,1183.27,0.0,1235.71,6.55,339.98,0.0,18.5,46.18,404.66,192.81,505.65,151.0,7.93,857.39,2504.31,633.68,52.07,27.81,18.29,0.0,731.85,755.97,8.73,12.92,87.3,1596.77,0.0,251.86,551.84,42.83,0.34,60.67,907.54,2504.31,609.61,95.68,22.76,16.52,10.14,123.67,0.0,40.5,0.0,755.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,52.44,52.44,1254.88,1254.88,1.2,1308.52,6.55,490.06,0.0,42.72,56.45,589.23,107.61,607.98,229.45,16.71,961.75,2866.05,762.13,70.76,199.64,19.92,0.0,1052.45,755.61,0.07,15.82,67.92,1891.87,0.0,257.03,463.47,136.76,1.13,115.79,974.18,2866.05,540.68,130.71,13.78,54.7,13.49,126.02,0.0,40.5,0.0,755.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,54.39,54.39,1584.65,1584.65,2.25,1641.29,6.55,292.46,17.87,46.03,67.45,423.81,221.86,780.28,708.12,20.57,1730.83,3802.48,1123.26,141.52,59.77,20.83,0.0,1345.38,1131.93,0.0,19.92,41.54,2538.77,0.0,369.87,683.67,79.47,0.17,130.53,1263.71,3802.48,389.42,144.33,11.89,53.96,25.2,258.78,0.0,42.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,57.12,57.12,2507.7,2507.7,27.61,2592.43,6.55,82.89,29.52,34.13,54.89,201.43,255.77,868.33,270.68,61.14,1455.92,4256.33,1159.43,160.75,93.4,0.18,0.0,1413.76,1194.1,0.0,0.0,57.52,2665.38,10.0,472.0,877.98,62.83,0.0,168.14,1590.95,4256.33,91.08,365.31,20.72,31.73,44.68,425.91,0.0,42.45,0.01,1220.49,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,114.6,114.6,2980.34,2980.34,15.71,3110.65,6.55,280.38,17.42,37.27,59.04,394.11,488.6,917.42,249.32,49.64,1704.98,5216.29,1253.87,139.68,127.07,0.09,74.72,1595.43,1549.19,0.0,0.0,156.74,3301.36,0.0,588.25,1052.57,59.7,0.0,214.41,1914.93,5216.29,187.49,632.04,29.66,145.01,46.34,510.55,0.0,99.63,180.76,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,114.82,114.82,3655.0,3655.0,29.12,3798.94,6.55,409.96,2.91,41.1,75.38,529.35,515.54,1266.79,446.57,64.31,2293.21,6628.05,1895.89,251.2,125.23,0.0,77.61,2349.93,1260.79,0.0,0.0,214.56,3825.28,0.0,889.81,1452.85,93.43,0.0,366.68,2802.77,6628.05,124.61,1070.91,3.84,243.99,89.53,462.45,0.0,99.63,129.43,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
