Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Equity Share Application Money,Other Long Term Liabilities,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Trade/Other Goods,Share Capital Suspense,Deferred Tax Liabilities [Net],Long Term Provisions,Long Term Loans And Advances,Short Term Loans And Advances,Long Term Borrowings,Raw Materials,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Short Term Borrowings,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,"Stores, Spares And Loose Tools",Capital Goods
2015-03-31,10.39,10.39,2192.59,2192.59,2202.98,0.01,23.69,45.2,45.28,502.59,79.4,627.27,2875.8,120.83,29.19,3.05,0.61,0.0,153.68,1441.99,0.0,2.1,1654.46,426.51,26.3,700.48,36.39,1221.34,2875.8,272.67,4.19,15.92,9.59,886.25,580.13,423.38,0.0,13.39,0.34,2.51,19.0,56.69,31.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,10.74,10.74,2296.62,2296.62,2307.36,0.0,6.49,6.49,40.85,558.62,5.53,605.0,2918.85,125.15,19.04,0.6,1.09,5.01,150.89,1624.6,1.97,251.28,2028.74,244.97,29.1,560.65,55.39,890.11,2918.85,25.11,0.48,2.0,9.59,1321.06,575.65,24.57,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,10.76,10.76,2418.6,2418.6,2429.36,0.01,5.71,5.71,49.32,686.83,6.29,742.44,3177.52,106.95,16.0,4.38,0.68,4.77,132.78,1874.85,10.17,143.97,2161.77,243.45,52.46,640.16,79.68,1015.75,3177.52,257.73,5.85,21.68,9.59,1236.71,9.95,244.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,10.65,10.65,2763.66,2763.66,2774.31,0.01,6.55,6.55,57.66,533.16,9.39,600.21,3381.08,106.58,22.35,2.25,5.07,4.54,140.79,1892.74,64.24,126.36,2224.13,746.84,51.16,338.51,20.44,1156.95,3381.08,243.29,9.81,23.47,9.59,1251.12,9.98,747.21,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,10.36,10.36,2615.85,2615.85,2626.21,0.01,8.33,8.33,35.91,513.01,10.38,559.3,3193.85,95.18,33.25,9.29,9.78,4.32,151.82,1428.11,77.69,99.75,1757.37,1138.36,41.13,239.42,17.57,1436.48,3193.85,1145.86,21.55,26.13,9.32,685.57,0.0,1135.47,10.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,9.0,9.0,2156.0,2156.0,2165.0,0.01,7.64,7.64,67.72,570.78,11.14,649.64,2822.29,90.96,23.34,8.27,14.89,4.12,141.58,1123.22,108.04,145.04,1517.88,1037.08,51.95,203.87,11.51,1304.41,2822.29,260.66,2.72,27.0,8.1,387.49,0.0,1054.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,9.0,9.0,2178.16,2178.16,2187.16,0.01,8.88,8.88,89.78,693.78,13.25,796.81,2992.86,85.27,28.51,0.2,3.6,3.92,121.5,995.77,111.9,152.45,1381.62,981.86,55.75,508.08,65.55,1611.24,2992.86,286.57,16.57,29.53,8.1,233.49,0.0,981.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,27.05,27.05,2260.11,2260.11,2287.16,0.0,4.5,4.5,52.64,787.19,12.24,852.07,3143.73,74.09,20.46,1.82,2.58,3.73,102.68,806.11,90.24,162.85,1161.88,1153.76,52.54,760.5,15.05,1981.85,3143.73,456.43,1.63,31.1,26.13,35.33,0.0,1153.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,27.09,27.09,2241.91,2241.91,2269.0,0.0,9.77,9.77,58.84,757.12,10.51,826.47,3105.24,120.6,42.86,0.12,1.62,0.9,166.1,1132.16,58.16,279.58,1636.0,440.49,46.79,950.57,31.39,1469.24,3105.24,307.99,3.99,37.93,26.13,370.68,0.0,439.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,27.07,27.07,2816.89,2816.89,2843.96,0.0,10.12,10.12,158.24,1041.02,180.84,1380.1,4234.18,162.69,31.03,11.09,3.39,0.86,209.06,1280.82,51.35,411.89,1953.12,1141.78,119.19,990.86,29.23,2281.06,4234.18,340.62,2.45,34.64,26.13,430.99,0.0,1142.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,27.07,27.07,3720.57,3720.57,3747.64,0.0,15.96,15.96,74.52,1051.79,73.68,1199.99,4963.59,198.54,21.17,40.73,0.0,0.0,260.44,1326.05,12.48,276.41,1875.38,1338.71,234.24,1231.25,284.01,3088.21,4963.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
