Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2014-03-31,13.61,13.61,667.68,669.47,0.0,683.08,50.13,43.25,13.78,5.99,113.15,35.88,293.13,155.72,28.13,512.86,1309.09,519.81,3.83,35.55,6.93,566.13,1.97,0.0,11.22,1.92,581.23,0.0,318.76,256.47,37.1,107.97,7.55,727.86,1309.09,589.32,9.28,0.0,970.47,0.0,8.21,1.97,0.0,0.0,528.42,0.43,0.71,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,13.66,13.66,868.87,868.87,0.0,882.53,16.67,36.55,15.83,7.94,76.99,64.79,353.99,207.27,35.67,661.72,1621.23,526.58,3.11,122.2,11.04,662.93,1.97,0.0,42.64,2.08,709.61,0.0,378.21,382.58,23.93,120.14,6.77,911.62,1621.23,696.72,12.18,0.0,1147.99,0.0,8.21,1.97,0.0,0.0,630.76,2.58,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,13.71,13.71,1142.09,1142.09,0.0,1155.8,123.05,56.04,17.45,11.61,208.15,1.99,366.36,220.89,9.91,599.14,1963.1,867.72,4.85,58.74,12.56,943.87,1.97,0.0,46.8,4.78,997.43,0.0,394.8,397.78,43.95,118.19,10.95,965.67,1963.1,457.69,15.12,0.0,1241.53,0.0,8.21,1.97,0.0,0.0,566.87,7.17,14.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,13.76,13.76,1595.11,1595.11,0.0,1608.87,82.97,0.0,17.19,22.69,122.85,0.0,288.07,254.43,8.84,551.34,2283.06,935.4,7.41,58.35,18.97,1020.13,1.49,17.91,2.66,34.64,1076.84,82.43,431.95,423.71,121.2,8.89,138.05,1206.23,2283.06,390.58,593.72,0.0,0.0,1384.04,8.21,1.49,82.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,13.79,13.79,1898.43,1898.43,0.0,1912.22,46.33,0.0,18.32,23.26,87.91,0.0,370.35,233.82,10.73,614.9,2615.04,988.62,7.12,69.12,20.76,1085.63,1.49,25.17,7.39,43.2,1162.88,159.5,452.01,526.75,120.42,7.79,185.68,1452.16,2615.04,414.05,506.38,0.0,0.0,1382.52,8.21,1.49,159.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,13.8,13.8,2253.6,2253.6,7.3,2274.7,9.9,0.0,19.0,28.9,57.8,0.0,514.1,285.5,12.6,812.2,3144.7,1177.3,6.6,154.4,28.4,1366.7,11.0,12.7,9.7,57.2,1457.3,111.9,535.7,661.8,83.1,10.9,284.0,1687.4,3144.7,853.2,892.58,0.0,0.0,1926.09,8.21,11.0,111.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,13.8,13.8,2573.1,2573.1,4.2,2591.1,399.4,11.3,74.8,10.7,496.2,108.3,553.8,328.6,28.4,1019.1,4106.4,1657.9,9.9,235.9,33.6,1937.3,454.4,0.0,5.6,47.2,2444.5,0.0,719.9,548.3,110.2,15.7,267.8,1661.9,4106.4,808.2,1124.04,0.0,0.0,2439.94,8.21,454.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,15.2,15.2,5275.8,5275.8,0.0,5291.0,257.4,80.9,48.4,8.0,394.7,0.0,779.6,371.6,31.6,1182.8,6868.5,1854.4,11.3,228.4,38.0,2132.1,454.4,0.0,4.2,43.3,2634.0,705.9,965.2,620.6,1558.4,13.8,370.6,4234.5,6868.5,954.8,1387.46,0.0,0.0,3286.63,8.21,454.4,705.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,15.2,15.2,6023.5,6023.5,0.0,6038.7,169.9,91.6,46.2,5.6,313.3,97.9,884.0,267.3,26.9,1276.1,7628.1,2318.9,103.8,63.8,50.7,2537.2,181.1,0.0,0.0,205.0,2923.3,854.7,1332.1,791.3,1321.7,8.9,396.1,4704.8,7628.1,1297.3,1530.3,0.0,0.0,3800.7,8.21,181.1,733.1,121.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,15.2,15.2,7081.6,7081.6,0.0,7096.8,0.0,28.7,49.1,9.0,86.8,0.0,836.0,288.6,27.6,1152.2,8335.8,2417.4,95.4,60.9,69.0,2642.7,184.5,0.0,69.0,29.1,2925.3,984.3,1344.7,693.4,2132.3,13.7,242.1,5410.5,8335.8,985.9,1643.4,0.0,0.0,5189.8,8.21,184.5,881.9,102.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,15.2,15.2,8666.0,8666.0,0.0,8681.2,0.0,0.0,48.0,17.4,65.4,0.0,1070.6,375.0,35.2,1480.8,10227.4,2538.1,96.0,117.0,103.6,2854.7,1202.5,40.4,0.0,111.8,4209.4,1246.0,1166.8,702.7,2544.4,4.8,353.3,6018.0,10227.4,311.4,1542.3,0.0,0.0,6302.4,8.21,1202.5,942.4,303.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
