Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2016-09-30,536.88,7.19,544.07,312.45,24.65,-62.77,52.45,18.12,0.0,89.35,109.82,13.36,123.18,1.33,121.85,0.0,121.85,20.47,101.38,101.38,13.71,7.39,7.35,0.0,0.0,0.0,0.0,0.0
2016-12-31,480.6,7.26,487.86,209.71,24.97,16.62,53.18,18.26,0.0,80.01,85.11,13.3,98.41,1.16,97.25,0.0,97.25,3.28,93.97,93.97,13.76,6.83,6.78,0.0,0.0,0.0,0.0,0.0
2017-03-31,605.59,0.0,605.59,266.06,6.79,31.54,58.94,18.52,0.0,88.61,135.13,-2.12,133.01,3.11,129.9,0.0,129.9,-5.25,135.15,135.15,13.76,9.85,9.79,0.0,0.0,0.0,0.0,0.0
2017-06-30,553.17,0.0,553.17,269.02,25.38,-21.53,59.97,19.7,0.0,89.9,110.73,12.57,123.3,1.39,121.91,0.0,121.91,21.77,100.14,100.14,13.76,7.28,7.25,0.0,0.0,0.0,0.0,0.0
2017-09-30,561.08,0.0,561.08,253.39,24.81,13.16,60.41,20.51,0.0,87.13,101.67,12.26,113.93,1.24,112.69,0.0,112.69,32.35,80.34,80.34,13.76,5.84,5.82,0.0,0.0,0.0,0.0,0.0
2017-12-31,537.74,0.0,537.74,233.5,23.59,25.03,51.27,21.14,0.0,99.58,83.63,16.09,99.72,1.41,98.31,0.0,98.31,17.66,80.65,80.65,13.79,5.86,5.85,0.0,0.0,0.0,0.0,0.0
2018-03-31,625.1,0.0,625.1,327.77,3.79,-8.88,68.32,21.22,0.0,99.41,113.47,19.06,132.53,1.84,130.69,0.0,130.69,25.27,105.42,105.42,13.79,7.65,7.62,0.0,0.0,0.0,0.0,0.0
2018-06-30,605.6,0.0,605.6,258.3,46.5,18.7,66.0,22.0,0.0,98.0,96.1,10.2,106.3,1.7,104.6,0.0,104.6,22.9,81.7,81.7,13.8,5.92,5.92,0.0,0.0,0.0,0.0,0.0
2018-09-30,723.0,0.0,723.0,350.5,40.9,21.1,68.3,22.8,0.0,107.6,111.8,12.4,124.2,1.4,122.8,0.0,122.8,28.4,94.4,94.4,13.8,6.85,6.84,0.0,0.0,0.0,0.0,0.0
2018-12-31,707.5,0.0,707.5,351.7,26.5,-0.7,63.7,23.4,0.0,117.7,125.2,15.2,140.4,1.5,138.9,0.0,138.9,31.6,107.3,107.3,13.8,7.77,7.76,0.0,0.0,0.0,0.0,0.0
2019-03-31,804.8,0.0,804.8,412.3,13.5,10.9,64.4,24.4,0.0,131.8,147.5,22.2,169.7,1.3,168.4,0.0,168.4,44.0,124.4,124.4,13.8,9.02,9.02,0.0,0.0,0.0,0.0,0.0
2019-06-30,754.1,0.0,754.1,392.4,67.0,-43.0,76.6,29.4,0.0,109.7,122.0,12.3,134.3,2.6,131.7,0.0,131.7,30.9,100.8,100.8,13.8,7.3,7.3,0.0,0.0,0.0,0.0,0.0
2019-09-30,907.4,0.0,907.4,459.9,47.7,14.7,72.4,31.5,0.0,120.8,160.4,10.6,171.0,2.2,168.8,0.0,168.8,46.0,122.8,122.8,13.8,8.91,8.9,0.0,0.0,0.0,0.0,0.0
2019-12-31,849.8,0.0,849.8,419.0,31.6,3.1,75.8,31.8,0.0,134.7,153.8,19.7,173.5,4.5,169.0,0.0,169.0,48.6,120.4,120.4,13.8,8.72,8.72,0.0,0.0,0.0,0.0,0.0
2020-03-31,795.5,0.0,795.5,383.8,13.7,22.9,86.5,40.5,0.0,119.8,128.3,5.3,133.6,8.7,124.9,0.0,124.9,26.6,98.3,98.3,13.8,7.11,7.11,0.0,0.0,0.0,0.0,0.0
2020-06-30,968.4,0.0,968.4,479.4,78.2,-0.1,90.6,39.7,0.0,102.6,178.0,4.0,182.0,9.6,172.4,0.0,172.4,40.5,131.9,131.9,13.8,9.55,9.55,0.0,0.0,0.0,0.0,0.0
2020-09-30,1070.6,0.0,1070.6,567.3,70.9,-47.3,88.6,40.3,0.0,124.1,226.7,31.4,258.1,7.8,250.3,0.0,250.3,41.1,209.2,209.2,15.2,14.06,14.04,0.0,0.0,0.0,0.0,0.0
2020-12-31,1114.3,0.0,1114.3,539.8,30.0,26.3,95.2,40.5,0.0,151.6,230.9,38.9,269.8,6.5,263.3,0.0,263.3,67.6,195.7,195.7,15.2,12.87,12.86,0.0,0.0,0.0,0.0,0.0
2021-03-31,1122.9,0.0,1122.9,718.9,3.1,-80.0,91.5,39.8,0.0,160.4,189.2,39.0,228.2,4.2,224.0,0.0,224.0,41.9,182.1,182.1,15.2,12.09,12.08,0.0,0.0,0.0,0.0,0.0
2021-06-30,1106.7,0.0,1106.7,737.0,68.4,-183.4,104.9,44.0,0.0,134.9,200.9,26.5,227.4,3.3,224.1,0.0,224.1,40.2,183.9,183.9,15.2,12.12,12.12,0.0,0.0,0.0,0.0,0.0
2021-09-30,1251.7,0.0,1251.7,693.8,48.7,-58.5,105.7,44.5,0.0,176.0,241.5,26.7,268.2,3.2,265.0,0.0,265.0,34.9,230.1,230.1,15.2,15.17,15.17,0.0,0.0,0.0,0.0,0.0
2021-12-31,1302.6,0.0,1302.6,630.3,19.5,50.8,116.8,50.1,0.0,198.6,236.5,25.3,261.8,3.2,258.6,0.0,258.6,43.8,214.8,214.8,15.2,14.14,14.14,0.0,0.0,0.0,0.0,0.0
2022-03-31,1349.5,0.0,1349.5,682.4,36.2,30.9,105.5,51.6,0.0,192.2,250.7,20.2,270.9,2.5,268.4,0.0,268.4,63.8,204.6,204.6,15.2,13.49,13.49,0.0,0.0,0.0,0.0,0.0
2022-06-30,1497.1,0.0,1497.1,853.1,51.9,-63.4,117.2,55.0,0.0,200.9,282.4,23.3,305.7,3.3,302.4,0.0,302.4,50.3,252.1,252.1,15.2,16.62,16.62,0.0,0.0,0.0,0.0,0.0
2022-09-30,1696.0,0.0,1696.0,935.5,45.2,-57.8,123.7,55.0,0.0,226.1,368.3,31.4,399.7,10.9,388.8,0.0,388.8,61.6,327.2,327.2,15.2,21.57,21.57,0.0,0.0,0.0,0.0,0.0
2022-12-31,1570.9,0.0,1570.9,738.1,29.6,58.2,123.5,55.6,0.0,203.2,362.7,48.1,410.8,8.6,402.2,0.0,402.2,49.5,352.7,352.7,15.2,23.24,23.24,0.0,0.0,0.0,0.0,0.0
2023-03-31,1506.4,0.0,1506.4,828.3,29.9,-31.1,125.3,56.1,0.0,219.7,278.2,52.6,330.8,2.5,328.3,0.0,328.3,48.9,279.4,279.4,15.2,18.41,18.41,0.0,0.0,0.0,0.0,0.0
2023-06-30,1829.2,0.0,1829.2,916.6,60.1,11.6,150.2,59.0,0.0,215.5,416.2,47.1,463.3,1.8,461.5,0.0,461.5,66.2,395.3,395.3,15.2,26.06,26.06,0.0,0.0,0.0,0.0,0.0
2023-09-30,1968.7,0.0,1968.7,873.7,85.3,96.4,134.6,63.1,0.0,225.3,490.3,56.1,546.4,1.5,544.9,0.0,544.9,80.4,464.5,464.5,15.2,30.63,30.63,0.0,0.0,0.0,0.0,0.0
2023-12-31,1721.2,0.0,1721.2,793.2,32.4,-38.1,151.2,61.7,0.0,238.3,482.5,65.0,547.5,2.1,545.4,0.0,545.4,58.9,486.5,486.5,15.2,32.04,32.04,0.0,0.0,0.0,0.0,0.0
2024-03-31,1626.3,0.0,1626.3,811.7,34.4,-94.7,145.8,62.3,0.3,275.9,390.6,56.1,446.7,3.8,442.9,0.0,442.9,58.5,384.4,384.4,15.2,25.34,25.34,0.0,0.0,0.0,0.0,0.0
2024-06-30,2012.0,0.0,2012.0,816.8,25.5,124.8,162.8,64.9,0.2,250.7,566.3,69.1,635.4,1.8,633.6,0.0,633.6,135.2,498.4,498.4,15.2,32.85,32.85,0.0,0.0,0.0,0.0,0.0
2024-09-30,2131.2,0.0,2131.2,917.8,37.9,83.3,150.2,65.9,0.0,257.2,618.9,90.5,709.4,1.4,708.0,0.0,708.0,149.5,558.5,558.5,15.2,36.82,36.82,0.0,0.0,0.0,0.0,0.0
2024-12-31,1779.8,0.0,1779.8,745.9,33.4,61.1,143.2,67.1,0.0,251.6,477.5,72.8,550.3,2.0,548.3,0.0,548.3,124.5,423.8,423.8,15.2,27.93,27.93,0.0,0.0,0.0,0.0,0.0
2025-03-31,1648.2,0.0,1648.2,738.5,13.7,-4.8,138.9,64.7,0.0,258.0,439.2,68.2,507.4,1.6,505.8,0.0,505.8,120.0,385.8,385.8,15.2,25.43,25.42,0.0,0.0,0.0,0.0,0.0
