Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-03-31,1860.55,30.0,1890.55,950.36,16.72,87.98,17.75,718.43,99.31,36.41,135.72,60.02,75.7,0.0,75.7,31.84,43.86,43.86,51.42,1.71,1.71,12.82,49.87,12.89,100.0,50.13
2015-06-30,1376.82,19.23,1396.05,666.55,-10.68,99.05,18.29,545.67,77.17,1.87,79.04,58.1,20.94,0.0,20.94,12.3,8.64,8.64,51.42,0.34,0.34,12.75,49.59,12.96,100.0,50.41
2015-09-30,1409.58,22.47,1432.05,756.05,-2.75,100.99,17.34,528.0,32.42,72.31,104.73,58.89,45.84,0.0,45.84,12.84,33.0,33.0,51.42,1.28,1.28,12.72,49.46,12.99,100.0,50.54
2015-12-31,1602.28,23.65,1625.93,763.79,-17.51,101.16,18.49,652.7,107.3,34.84,142.14,55.39,86.75,0.0,86.75,30.52,56.23,56.23,51.42,2.19,2.19,0.0,0.0,0.0,0.0,0.0
2016-03-31,2293.8,0.0,2293.8,1137.82,49.86,116.55,38.78,775.92,174.87,5.11,179.98,59.78,120.2,0.0,120.2,49.77,70.43,70.43,51.42,2.34,2.34,0.0,0.0,0.0,0.0,0.0
2016-06-30,1471.35,21.73,1493.08,723.91,-46.8,117.18,25.53,573.64,99.62,4.79,104.41,58.71,45.7,0.0,45.7,15.98,29.72,29.72,51.42,1.16,1.16,0.0,0.0,0.0,0.0,0.0
2016-09-30,1772.19,23.48,1795.67,857.03,21.45,127.23,27.56,644.47,117.93,7.13,125.06,49.18,75.88,0.0,75.88,26.99,48.89,48.89,51.42,1.9,1.9,0.0,0.0,0.0,0.0,0.0
2016-12-31,1660.88,20.13,1681.01,730.75,-7.51,130.83,26.82,655.5,144.62,8.13,152.75,47.59,105.16,0.0,105.16,34.34,70.82,70.82,51.42,2.75,2.75,0.0,0.0,0.0,0.0,0.0
2017-03-31,2596.68,0.0,2596.68,1288.23,34.49,130.68,35.48,874.69,233.11,17.03,250.14,53.35,196.79,0.0,196.79,64.41,132.38,132.38,51.42,5.15,5.15,0.0,0.0,0.0,0.0,0.0
2017-06-30,1706.12,0.0,1706.12,801.94,-18.35,132.38,23.63,629.8,136.72,5.63,142.35,46.59,95.76,0.0,95.76,32.6,63.16,63.16,51.42,2.46,2.46,0.0,0.0,0.0,0.0,0.0
2017-09-30,1883.66,0.0,1883.66,909.16,-8.98,134.5,24.22,651.63,173.13,4.77,177.9,47.73,130.17,0.0,130.17,44.95,85.22,85.22,51.42,3.31,3.31,0.0,0.0,0.0,0.0,0.0
2017-12-31,2085.71,0.0,2085.71,976.14,-4.15,136.02,23.62,755.43,198.65,4.92,203.57,49.58,153.99,0.0,153.99,51.68,102.31,102.31,51.42,3.98,3.98,0.0,0.0,0.0,0.0,0.0
2018-03-31,3361.9,0.0,3361.9,1989.0,-33.07,159.22,23.96,916.6,306.19,7.28,313.47,51.91,261.56,0.0,261.56,82.2,179.36,179.36,51.42,6.98,6.98,0.0,0.0,0.0,0.0,0.0
2018-06-30,1846.47,0.0,1846.47,845.08,27.56,155.76,26.3,637.6,154.17,13.45,167.62,56.48,111.14,0.0,111.14,38.36,72.78,72.78,51.42,2.83,2.83,0.0,0.0,0.0,0.0,0.0
2018-09-30,2233.82,0.0,2233.82,1119.79,0.1,157.62,25.78,711.44,219.09,4.14,223.23,70.39,152.84,0.0,152.84,53.94,98.9,98.9,51.42,3.85,3.85,0.0,0.0,0.0,0.0,0.0
2018-12-31,2468.46,0.0,2468.46,1324.28,-154.36,162.03,26.32,862.61,247.58,4.57,252.15,79.41,172.74,0.0,172.74,58.2,114.54,114.54,51.42,4.46,4.46,0.0,0.0,0.0,0.0,0.0
2019-03-31,3569.05,0.0,3569.05,1621.43,147.06,154.55,27.12,1258.51,360.38,15.96,376.34,77.87,298.47,0.0,298.47,87.0,211.47,211.47,51.42,8.23,8.23,0.0,0.0,0.0,0.0,0.0
2019-06-30,2113.12,0.0,2113.12,970.28,-30.77,159.63,29.69,790.63,193.66,3.14,196.8,66.95,129.85,0.0,129.85,43.91,85.94,85.94,51.42,3.34,3.34,0.0,0.0,0.0,0.0,0.0
2019-09-30,2469.57,0.0,2469.57,1234.76,-40.81,193.65,27.95,812.84,241.18,3.93,245.11,77.35,167.76,0.0,167.76,35.14,132.62,132.62,51.42,5.16,5.16,0.0,0.0,0.0,0.0,0.0
2019-12-31,2646.87,0.0,2646.87,1163.45,8.5,195.77,29.34,975.93,273.88,2.2,276.08,74.56,201.52,0.0,201.52,55.88,145.64,145.64,51.42,5.66,5.66,0.0,0.0,0.0,0.0,0.0
2020-03-31,3241.06,0.0,3241.06,1408.15,-8.36,193.64,30.71,1317.27,299.65,4.6,304.25,58.1,246.15,0.0,246.15,64.62,181.53,181.53,51.42,7.06,7.06,0.0,0.0,0.0,0.0,0.0
2020-06-30,1889.91,0.0,1889.91,790.36,11.23,174.75,31.33,703.99,178.25,8.74,186.99,60.79,126.2,0.0,126.2,35.86,90.34,90.34,51.42,3.51,3.51,0.0,0.0,0.0,0.0,0.0
2020-09-30,2844.32,0.0,2844.32,1271.12,-30.1,190.78,30.83,1136.68,245.01,6.78,251.79,61.96,189.83,0.0,189.83,49.66,140.17,140.17,51.42,5.46,5.46,0.0,0.0,0.0,0.0,0.0
2020-12-31,3016.32,0.0,3016.32,1201.06,-3.99,192.91,29.96,1289.38,307.0,4.5,311.5,59.2,252.3,0.0,252.3,67.15,185.15,185.15,51.42,7.2,7.2,0.0,0.0,0.0,0.0,0.0
2021-03-31,4101.24,0.0,4101.24,1583.45,19.28,208.93,29.66,1880.23,379.69,8.0,387.69,59.4,328.29,0.0,328.29,97.86,230.43,230.43,51.42,8.96,8.96,0.0,0.0,0.0,0.0,0.0
2021-06-30,2337.57,0.0,2337.57,878.73,43.26,200.92,29.58,989.41,195.67,2.89,198.56,57.45,141.11,0.0,141.11,37.5,103.61,103.61,51.42,4.03,4.03,0.0,0.0,0.0,0.0,0.0
2021-09-30,3356.97,0.0,3356.97,1587.46,-51.84,228.53,30.03,1278.01,284.78,3.0,287.78,63.76,224.02,-43.64,180.38,48.26,132.12,132.12,51.42,5.14,5.14,0.0,0.0,0.0,0.0,0.0
2021-12-31,3000.96,0.0,3000.96,1116.84,19.5,213.04,30.84,1344.3,276.44,7.59,284.03,70.85,213.18,0.0,213.18,60.36,152.82,152.82,51.42,5.94,5.94,0.0,0.0,0.0,0.0,0.0
2022-03-31,3877.77,0.0,3877.77,1665.61,-11.05,207.34,32.87,1733.89,249.11,5.52,254.63,77.24,177.39,-99.2,78.19,32.3,45.89,45.89,51.42,1.79,1.79,0.0,0.0,0.0,0.0,0.0
2022-06-30,2848.64,0.0,2848.64,971.91,55.01,226.71,30.74,1361.49,202.78,8.27,211.05,74.81,136.24,0.0,136.24,35.95,100.29,100.29,51.42,3.9,3.9,0.0,0.0,0.0,0.0,0.0
2022-09-30,3735.7,0.0,3735.7,1636.84,-118.46,265.97,31.48,1721.19,198.68,16.89,215.57,100.86,114.71,-75.57,39.14,3.33,35.81,35.81,51.42,1.39,1.39,0.0,0.0,0.0,0.0,0.0
2022-12-31,3867.52,0.0,3867.52,1491.1,24.31,238.53,32.32,1933.67,147.59,3.25,150.84,123.09,27.75,0.0,27.75,13.0,14.75,14.75,51.42,0.57,0.57,0.0,0.0,0.0,0.0,0.0
2023-03-31,4961.37,0.0,4961.37,2089.42,47.31,265.7,32.42,2352.65,173.87,8.31,182.17,135.15,47.02,0.0,47.02,17.62,29.4,29.4,51.42,1.14,1.14,0.0,0.0,0.0,0.0,0.0
2023-06-30,3701.49,0.0,3701.49,1315.66,-53.25,272.84,32.68,1996.89,136.67,4.03,140.7,135.27,5.43,0.0,5.43,1.66,3.77,3.77,51.42,0.15,0.15,0.0,0.0,0.0,0.0,0.0
2023-09-30,3982.29,0.0,3982.29,1704.47,-39.68,298.32,36.75,1835.25,147.18,17.1,164.28,154.92,9.36,0.0,9.36,2.59,6.77,6.77,51.42,0.26,0.26,0.0,0.0,0.0,0.0,0.0
2023-12-31,4397.76,0.0,4397.76,1996.47,6.32,271.47,37.62,1912.91,172.97,29.17,202.14,146.22,55.92,0.0,55.92,11.87,44.05,44.05,51.42,1.71,1.71,0.0,0.0,0.0,0.0,0.0
2024-03-31,5301.81,0.0,5301.81,2407.44,44.31,263.87,38.52,2302.25,245.42,11.75,257.17,136.3,120.87,0.0,120.87,27.94,92.93,92.93,51.42,3.61,3.61,0.0,0.0,0.0,0.0,0.0
2024-06-30,3888.25,0.0,3888.25,1502.56,43.42,280.03,37.75,1888.5,135.99,43.63,179.62,136.55,43.07,0.0,43.07,10.92,32.15,32.15,51.42,1.25,1.25,0.0,0.0,0.0,0.0,0.0
2024-09-30,4483.84,0.0,4483.84,1989.04,103.92,308.85,36.98,1851.84,193.21,32.72,225.93,152.03,73.9,0.0,73.9,15.75,58.15,58.15,53.24,2.26,2.26,0.0,0.0,0.0,0.0,0.0
2024-12-31,4757.64,0.0,4757.64,2232.67,-20.81,290.11,37.28,1974.75,243.64,3.79,247.43,154.1,93.33,0.0,93.33,20.44,72.89,72.89,53.24,2.74,2.74,0.0,0.0,0.0,0.0,0.0
