Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2017-06-30,169.06,0.0,169.06,13.08,26.44,52.32,77.22,9.19,86.41,0.05,86.36,0.0,86.36,30.67,55.7,55.7,483.44,1.15,1.15,0.0,0.0,0.0,0.0,0.0
2017-09-30,151.67,0.0,151.67,13.02,25.31,55.89,57.46,12.21,69.66,0.09,69.58,0.0,69.58,25.4,44.18,44.18,483.44,0.91,0.91,0.0,0.0,0.0,0.0,0.0
2017-12-31,162.68,0.0,162.68,13.1,25.09,54.94,69.57,7.4,76.97,0.12,76.85,0.0,76.85,26.86,50.0,50.0,483.44,1.03,1.03,0.0,0.0,0.0,0.0,0.0
2018-03-31,165.49,0.0,165.49,13.69,26.73,58.8,66.27,8.24,74.51,0.1,74.41,0.0,74.41,25.83,48.59,48.59,483.44,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2018-06-30,176.01,0.0,176.01,14.93,26.99,69.72,64.37,10.64,75.01,0.12,74.89,0.0,74.89,27.77,47.12,47.12,483.44,0.97,0.97,0.0,0.0,0.0,0.0,0.0
2018-09-30,171.1,0.0,171.1,15.2,27.29,58.41,70.21,14.94,85.15,0.07,85.08,0.0,85.08,29.74,55.34,55.34,483.44,1.14,1.14,0.0,0.0,0.0,0.0,0.0
2018-12-31,174.73,0.0,174.73,14.53,27.52,61.48,71.2,10.33,81.53,0.05,81.48,0.0,81.48,29.24,52.24,52.24,483.44,1.08,1.08,0.0,0.0,0.0,0.0,0.0
2019-03-31,180.13,0.0,180.13,15.03,31.04,65.59,68.49,11.1,79.59,0.12,79.46,0.0,79.46,28.54,50.93,50.93,483.44,1.05,1.05,0.0,0.0,0.0,0.0,0.0
2019-06-30,177.62,0.0,177.62,14.5,31.61,60.69,70.83,16.14,86.96,1.7,85.26,0.0,85.26,28.81,56.45,56.45,483.44,1.17,1.17,0.0,0.0,0.0,0.0,0.0
2019-09-30,199.23,0.0,199.23,13.65,32.74,58.86,93.99,11.6,105.58,1.81,103.78,0.0,103.78,36.07,67.71,67.71,483.44,1.4,1.4,0.0,0.0,0.0,0.0,0.0
2019-12-31,196.58,0.0,196.58,14.4,33.27,65.13,83.78,11.37,95.15,1.91,93.24,0.0,93.24,-27.12,120.35,120.35,483.44,2.49,2.49,0.0,0.0,0.0,0.0,0.0
2020-03-31,161.94,0.0,161.94,14.15,33.84,47.38,66.57,11.77,78.34,1.96,76.38,0.0,76.38,28.48,47.9,47.9,483.44,0.99,0.99,0.0,0.0,0.0,0.0,0.0
2020-06-30,158.98,0.0,158.98,16.25,33.13,47.23,62.37,11.08,73.45,1.7,71.76,0.0,71.76,25.34,46.42,46.42,483.44,0.96,0.96,0.0,0.0,0.0,0.0,0.0
2020-09-30,182.66,0.0,182.66,15.33,33.59,64.43,69.32,13.4,82.72,1.65,81.07,0.0,81.07,28.63,52.44,52.44,483.44,1.08,1.08,0.0,0.0,0.0,0.0,0.0
2020-12-31,198.4,0.0,198.4,18.75,33.27,69.63,76.75,8.43,85.18,1.46,83.72,0.0,83.72,29.39,54.33,54.33,483.44,1.12,1.12,0.0,0.0,0.0,0.0,0.0
2021-03-31,193.43,0.0,193.43,16.82,33.46,61.06,82.09,9.43,91.52,1.51,90.02,0.0,90.02,24.8,65.21,65.21,483.44,1.35,1.35,0.0,0.0,0.0,0.0,0.0
2021-06-30,159.62,0.0,159.62,18.04,33.41,53.65,54.52,7.31,61.83,1.33,60.49,-10.9,49.59,17.43,32.16,32.16,483.44,0.67,0.67,0.0,0.0,0.0,0.0,0.0
2021-09-30,194.7,0.0,194.7,17.15,33.33,68.56,75.65,7.11,82.77,1.13,81.64,-8.76,72.87,27.3,45.58,45.58,483.44,0.94,0.94,0.0,0.0,0.0,0.0,0.0
2021-12-31,168.56,0.0,168.56,21.23,31.81,60.64,54.89,7.08,61.97,1.04,60.93,9.81,70.74,26.97,43.76,43.76,483.44,0.91,0.91,0.0,0.0,0.0,0.0,0.0
2022-03-31,220.66,0.0,220.66,17.48,30.73,74.23,98.23,7.08,105.31,1.26,104.05,5.25,109.3,37.57,71.73,71.73,483.44,1.49,1.49,0.0,0.0,0.0,0.0,0.0
2022-06-30,208.13,0.0,208.13,20.0,30.03,74.91,83.18,8.85,92.03,2.14,89.9,-12.51,77.39,19.86,57.53,57.53,483.44,1.19,1.19,0.0,0.0,0.0,0.0,0.0
2022-09-30,227.26,0.0,227.26,19.22,28.94,87.02,92.08,10.61,102.69,2.0,100.69,-5.28,95.4,24.53,70.87,70.87,483.44,1.47,1.47,0.0,0.0,0.0,0.0,0.0
2022-12-31,250.57,0.0,250.57,18.83,29.61,90.05,112.08,11.81,123.89,1.91,121.99,-14.4,107.59,28.24,79.35,79.35,483.44,1.64,1.64,0.0,0.0,0.0,0.0,0.0
2023-03-31,234.73,0.0,234.73,16.53,27.57,88.25,102.38,16.0,118.38,1.91,116.47,-4.98,111.49,27.45,84.04,84.04,483.44,1.74,1.74,0.0,0.0,0.0,0.0,0.0
2023-06-30,214.92,0.0,214.92,19.93,28.7,89.14,77.15,18.61,95.75,2.53,93.22,-4.63,88.59,22.68,65.91,65.91,483.44,1.36,1.36,0.0,0.0,0.0,0.0,0.0
2023-09-30,252.61,0.0,252.61,19.85,28.8,82.11,121.85,21.62,143.47,2.17,141.3,3.56,144.86,37.19,107.68,107.68,483.44,2.23,2.23,0.0,0.0,0.0,0.0,0.0
2023-12-31,269.63,0.0,269.63,20.0,29.18,90.33,130.12,18.98,149.1,2.02,147.08,-0.1,146.98,36.71,110.28,110.28,483.44,2.28,2.28,0.0,0.0,0.0,0.0,0.0
2024-03-31,251.28,0.0,251.28,19.35,28.93,74.66,128.34,19.49,147.82,2.6,145.22,-51.86,93.37,23.43,69.94,69.94,483.44,1.45,1.45,0.0,0.0,0.0,0.0,0.0
2024-06-30,245.98,0.0,245.98,20.77,29.05,75.67,120.49,21.59,142.08,1.69,140.39,0.0,140.39,35.75,104.64,104.64,483.44,2.16,2.16,0.0,0.0,0.0,0.0,0.0
2024-09-30,227.04,0.0,227.04,21.21,29.14,73.26,103.43,21.46,124.89,1.6,123.29,0.0,123.29,31.79,91.5,91.5,483.44,1.89,1.89,0.0,0.0,0.0,0.0,0.0
2024-12-31,262.89,0.0,262.89,23.86,30.7,100.29,108.04,18.75,126.79,1.01,125.78,0.0,125.78,31.8,93.99,93.99,483.44,1.94,1.94,0.0,0.0,0.0,0.0,0.0
