Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Deferred Tax Assets [Net],Money Received Against Share Warrants,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Equity Share Application Money,Preference Share Capital,Revaluation Reserves,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2015-03-31,34.47,34.47,475.81,475.81,510.28,327.44,27.8,0.59,3.65,359.48,775.86,146.94,157.96,12.39,1093.15,1962.91,819.82,0.64,73.46,0.0,893.92,72.37,29.33,53.89,1049.52,0.0,296.84,521.42,11.5,67.77,15.87,913.39,1962.91,40.33,29.38,620.94,0.0,3.69,0.64,72.18,0.0,0.0,0.0,1550.04,0.93,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,34.47,34.47,1003.89,1003.89,1038.36,204.37,147.96,0.59,4.22,357.14,705.35,269.34,202.0,3.53,1180.21,2575.7,1415.71,0.13,73.34,0.0,1489.18,150.6,17.37,5.02,1662.76,98.08,244.22,438.15,50.61,1.94,79.95,912.95,2575.7,40.57,921.96,436.75,0.0,3.69,0.53,21.65,11.4,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,34.47,34.47,1091.46,1091.46,1125.93,190.16,204.67,0.0,0.66,395.5,548.14,414.26,69.07,14.6,1046.08,2567.51,1383.06,0.0,73.76,4.48,1461.29,213.99,17.91,11.11,1704.3,95.03,243.52,465.66,23.63,0.51,34.86,863.2,2567.51,0.0,1223.13,453.31,0.0,3.69,142.49,169.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,34.47,34.47,1337.88,1337.88,1372.35,164.25,227.27,0.0,0.7,392.23,522.63,380.29,115.35,76.5,1094.78,2859.35,1394.27,0.45,66.84,4.48,1466.04,337.4,18.32,48.6,1870.36,0.0,309.9,521.97,133.82,0.46,22.84,989.0,2859.35,71.82,1292.54,557.72,0.0,3.69,163.45,173.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,34.47,34.47,1613.6,1613.6,1648.07,270.66,256.72,0.0,1.31,528.69,454.99,507.96,151.71,83.21,1197.87,3374.63,1494.4,1.43,175.04,4.48,1675.35,278.68,19.35,26.36,1999.75,105.11,460.29,652.66,75.82,1.8,79.21,1374.89,3374.63,45.77,2599.16,1507.12,0.0,3.69,160.84,117.84,105.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,34.47,34.47,1657.21,1657.21,1691.68,215.01,254.87,104.31,1.99,576.18,329.67,418.54,192.22,83.91,1024.33,3292.19,1634.43,1.01,305.58,4.48,1945.51,176.73,20.33,52.17,2194.73,0.0,326.19,588.24,110.65,0.63,71.75,1097.46,3292.19,87.42,2490.01,1534.48,0.0,3.69,80.58,96.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,34.47,34.47,1892.7,1892.7,1927.17,304.74,271.47,98.62,0.86,675.69,256.92,591.5,174.41,84.39,1107.22,3710.08,1711.61,0.65,266.76,4.48,1983.5,220.28,34.3,23.11,2261.19,0.0,444.84,707.53,218.96,16.65,60.91,1448.89,3710.08,45.68,2358.36,1884.86,0.0,3.69,119.84,100.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,37.75,37.75,2567.16,2567.16,2604.91,220.34,276.3,90.87,0.46,587.97,463.65,910.97,108.52,79.33,1562.47,4755.35,1813.18,90.21,129.4,4.48,2037.27,483.0,7.22,44.7,2572.19,300.04,603.91,1105.1,108.69,0.46,64.96,2183.16,4755.35,62.78,3350.82,2229.83,0.0,3.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,37.75,37.75,2781.87,2781.87,2819.62,204.19,257.35,74.48,3.12,539.14,488.81,949.73,136.68,82.23,1657.45,5016.21,1933.73,0.67,285.46,4.48,2224.34,1005.49,7.65,52.19,3289.67,0.0,485.8,1107.77,42.06,0.52,90.39,1726.54,5016.21,89.55,4404.42,2745.54,0.0,3.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,37.75,37.75,3241.46,3241.46,3279.21,2266.05,284.35,53.8,10.18,2614.38,601.54,1435.77,167.35,85.52,2290.18,8183.77,2099.99,2.04,162.86,4.48,2269.37,3674.96,7.69,74.26,6026.28,0.0,563.44,1287.45,168.95,0.63,137.02,2157.49,8183.77,125.48,2985.31,1866.03,0.0,3.69,237.62,3437.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,37.75,37.75,3705.4,3705.4,3743.15,2269.32,285.19,86.82,16.53,2657.86,985.71,1219.77,213.68,92.17,2511.33,8912.34,2240.5,1.45,205.9,0.0,2447.85,3992.25,7.79,88.28,6536.17,0.0,769.05,1267.97,215.24,0.54,123.37,2376.17,8912.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
