Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Equity Share Application Money,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Long Term Loans And Advances,Current Investments,Capital Goods,Intangible Assets,Raw Materials,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Borrowings,Deferred Tax Liabilities [Net],Foreign Currency Monetary Item Translation Difference A/C,Short Term Borrowings,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,"Stores, Spares And Loose Tools",Trade/Other Goods
2014-03-31,42.07,42.07,8412.83,8412.83,0.0,8454.9,0.36,17.44,44.92,62.36,36.67,1106.56,108.1,1251.33,9768.95,338.13,12.43,0.0,350.57,728.24,79.31,18.12,1752.96,1157.0,6186.63,66.26,606.1,8015.99,9768.95,16.98,854.12,0.0,3022.5,0.76,31.06,0.0,728.24,0.0,576.73,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,42.31,42.31,2948.36,2948.36,0.0,2990.67,0.06,17.66,57.68,75.33,24.27,760.47,1952.45,2737.18,5803.25,297.27,0.3,0.0,297.57,728.24,91.98,19.62,1784.57,691.08,3015.41,47.89,264.3,4018.68,5803.25,17.72,857.53,3057.98,3173.64,0.72,31.06,0.0,728.24,0.0,647.16,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,42.43,42.43,3914.83,3914.83,0.0,3957.26,0.0,81.82,0.0,81.82,26.57,956.82,0.0,983.38,5022.46,251.39,2.45,10.2,264.04,748.33,64.65,625.76,1702.78,804.68,2191.14,0.0,323.87,3319.68,5022.46,0.0,927.92,1134.92,0.0,3331.22,31.06,0.0,748.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,42.55,42.55,2633.37,2633.37,0.0,2675.92,0.0,90.28,0.0,90.28,7.55,2328.57,0.0,2336.12,5102.32,242.81,0.66,10.2,253.67,754.96,110.22,694.42,1813.27,507.51,2437.67,0.0,343.87,3289.05,5102.32,19.73,940.47,630.51,0.0,3774.38,31.06,0.0,754.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,42.71,42.71,3764.4,3764.4,0.0,3807.1,0.0,105.31,0.0,105.31,55.54,682.75,0.0,738.29,4650.7,210.98,2.45,10.2,223.63,778.05,105.31,699.04,1806.03,631.79,1880.09,0.0,332.79,2844.67,4650.7,23.52,973.2,1071.87,0.0,3594.36,31.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,42.89,42.89,3672.7,3672.7,164.74,3880.33,0.05,12.35,96.57,108.92,42.31,324.85,88.93,456.08,4445.38,238.57,0.41,10.2,249.17,765.03,41.57,850.9,1906.67,486.63,1706.48,0.0,345.61,2538.71,4445.38,62.69,266.2,819.67,0.0,3284.55,31.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,42.94,42.94,5292.68,5292.68,172.68,5508.3,0.0,28.33,115.1,143.42,26.56,293.3,95.18,415.04,6066.76,283.65,0.02,10.2,293.87,768.16,74.04,942.74,2078.81,415.43,3253.92,10.6,308.0,3987.95,6066.76,51.97,207.44,0.0,0.0,3193.25,31.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,43.03,43.03,5451.52,5451.52,151.43,5645.99,0.0,24.55,125.69,150.23,17.75,265.22,108.38,391.34,6187.56,221.65,0.09,10.2,231.94,772.68,83.11,965.78,2053.52,456.29,3330.31,3.0,344.45,4134.05,6187.56,40.21,225.46,1078.21,0.0,3316.9,31.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,43.12,43.12,5603.21,5603.21,156.14,5802.46,0.0,52.87,148.73,201.6,15.88,300.72,120.57,437.17,6441.23,216.72,3.62,10.2,230.54,789.98,94.4,1021.66,2136.57,556.82,3406.35,0.0,341.49,4304.66,6441.23,9.31,194.68,1198.0,0.0,3695.27,31.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,43.2,43.2,5808.96,5808.96,153.26,6005.42,0.0,30.21,160.14,190.35,23.52,290.77,128.43,442.72,6638.48,198.35,0.02,10.2,208.57,790.57,104.12,1065.76,2169.02,630.92,3454.06,0.0,384.49,4469.47,6638.48,0.0,231.77,0.0,0.0,3777.16,31.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,43.34,43.34,6008.23,6008.23,132.64,6184.21,0.27,11.25,182.85,194.09,20.46,343.05,144.65,508.16,6886.74,166.1,2.5,10.2,178.8,791.22,128.67,1027.98,2126.67,819.84,3287.6,0.0,652.63,4760.06,6886.74,26.53,207.13,0.0,0.0,4214.61,31.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,43.4,43.4,7518.6,7518.6,0.0,7562.0,0.0,240.6,0.0,240.6,22.3,503.1,0.0,525.4,8328.0,174.1,8.8,0.0,182.9,791.9,126.8,1040.8,2142.4,859.6,4808.8,0.0,517.2,6185.6,8328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
