Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Equity Dividend Rate (%),Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2019-06-30,18735.2,984.6,19719.8,9541.4,4744.6,-194.7,859.1,918.6,2721.6,1129.2,836.4,1965.6,54.7,1910.9,1910.9,475.4,1435.5,1435.5,151.0,0.0,47.52,47.52,0.0,0.0,0.0,0.0,0.0
2019-09-30,16120.4,864.9,16985.3,8371.0,4405.5,-677.1,838.4,926.1,2441.2,680.2,920.0,1600.2,28.2,1572.0,1572.0,213.4,1358.6,1358.6,151.0,0.0,44.97,44.97,0.0,0.0,0.0,0.0,0.0
2019-12-31,19649.1,1057.7,20706.8,8410.6,5675.0,927.4,867.0,858.0,2724.7,1244.1,784.0,2028.1,21.7,2006.4,2006.4,441.6,1564.8,1564.8,151.0,0.0,51.8,51.8,0.0,0.0,0.0,0.0,0.0
2020-03-31,17185.7,1013.0,18198.7,8313.6,4771.5,-293.7,819.4,823.0,3041.5,723.4,880.4,1603.8,28.3,1575.5,1575.5,283.8,1291.7,1291.7,151.0,0.0,42.76,42.76,0.0,0.0,0.0,0.0,0.0
2020-06-30,3677.5,429.0,4106.5,1325.3,928.1,683.0,730.3,783.3,1303.2,-1646.7,1318.3,-328.4,17.3,-345.7,-345.7,-96.3,-249.4,-249.4,151.0,0.0,-8.26,-8.26,0.0,0.0,0.0,0.0,0.0
2020-09-30,17689.3,1055.2,18744.5,8862.3,4514.4,-262.4,826.8,765.9,2869.8,1167.7,602.5,1770.2,22.4,1747.8,1747.8,376.2,1371.6,1371.6,151.0,0.0,45.41,45.41,0.0,0.0,0.0,0.0,0.0
2020-12-31,22236.7,1221.1,23457.8,11043.1,5754.2,218.3,945.5,741.3,3270.6,1484.8,993.7,2478.5,28.7,2449.8,2449.8,508.4,1941.4,1941.4,151.0,0.0,64.27,64.27,0.0,0.0,0.0,0.0,0.0
2021-03-31,22958.6,1065.1,24023.7,12066.2,6050.5,-365.8,900.3,741.0,3381.4,1250.1,89.8,1339.9,32.4,1307.5,1307.5,141.4,1166.1,1166.1,151.0,0.0,38.6,38.6,0.0,0.0,0.0,0.0,0.0
2021-06-30,17770.7,0.0,17770.7,8543.2,4938.9,-191.6,1064.3,743.2,2594.8,77.9,507.8,585.7,22.2,563.5,563.5,122.7,440.8,440.8,151.0,0.0,14.59,14.59,0.0,0.0,0.0,0.0,0.0
2021-09-30,19297.8,1241.1,20538.9,9215.8,6502.3,-141.1,962.2,756.1,3144.8,98.8,522.7,621.5,22.5,599.0,599.0,123.7,475.3,475.3,151.0,0.0,15.73,15.73,0.0,0.0,0.0,0.0,0.0
