Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Long Term Borrowings,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,151.0,151.0,20827.0,20827.0,20978.0,586.6,238.6,198.0,1483.6,1224.7,4897.5,1274.2,677.7,8074.1,30535.7,10607.7,182.7,2621.4,0.0,13411.8,1304.8,0.0,1638.4,9.0,16364.0,8813.1,1705.9,1413.7,629.7,1251.1,358.2,14171.7,30535.7,7210.2,3095.5,68.3,41.6,1731.2,3087.4,135.8,4141.7,0.0,237.7,1278.3,8813.1,460.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,151.0,151.0,23553.2,23553.2,23704.2,481.0,105.4,292.6,1023.8,35.4,5561.4,1865.8,1360.4,8823.0,33551.0,11967.0,292.3,1882.8,0.0,14142.1,9817.6,0.0,1349.3,44.1,25353.1,2996.4,2615.0,1069.8,18.3,1172.8,325.6,8197.9,33551.0,9228.6,3181.8,75.8,23.1,1011.2,3300.3,203.7,4633.2,0.0,560.5,9791.1,2996.4,144.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,151.0,151.0,29733.2,29733.2,29884.2,194.3,807.5,14.8,1016.6,77.4,7407.3,3155.6,398.9,11039.2,41940.0,12163.1,346.9,1006.9,0.0,13516.9,18875.4,0.0,0.4,1701.3,34094.0,1056.8,3132.1,1322.2,42.2,147.8,2144.9,7846.0,41940.0,9368.7,3363.2,100.0,62.9,738.3,3792.6,424.5,4735.3,57.0,583.9,18404.6,1056.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,151.0,151.0,36280.1,36280.1,36431.1,466.2,1105.0,21.9,1593.1,483.6,8367.3,3926.5,449.0,13226.4,51250.6,12919.7,373.0,1252.3,0.0,14545.0,26302.2,0.0,0.3,1626.9,42474.4,2178.8,3262.2,1199.2,13.8,2.5,2119.7,8776.2,51250.6,6744.9,3725.4,115.5,20.1,1481.8,0.0,0.0,0.0,0.0,1027.4,25606.2,2178.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,151.0,151.0,41606.3,41606.3,41757.3,558.9,1585.3,26.5,2170.7,110.8,10497.0,4274.3,560.0,15442.1,59370.1,13047.3,311.7,2125.9,0.0,15484.9,34072.9,0.0,0.2,1890.7,51448.7,1217.3,3160.8,1461.8,71.1,3.0,2007.4,7921.4,59370.1,6696.8,3887.9,108.2,66.1,648.3,9328.4,0.0,0.0,5455.9,1371.0,33041.9,1217.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,151.0,151.0,45990.5,45990.5,46141.5,564.0,2036.5,39.5,2640.0,149.6,9633.0,3743.3,624.4,14150.3,62931.8,14956.7,451.1,1600.1,0.0,17007.9,31469.5,0.0,0.2,2092.6,50570.2,5045.5,3325.7,2310.4,178.9,16.0,1485.1,12361.6,62931.8,12090.3,4396.9,114.2,58.5,1331.2,12802.7,0.0,0.0,5218.6,1077.3,30609.1,5045.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,151.0,151.0,48286.0,48286.0,48437.0,598.4,2170.3,51.6,2820.3,106.3,7494.1,3014.8,679.6,11294.8,62552.1,15374.5,335.8,1337.4,70.9,17118.6,35248.8,0.0,0.2,1757.1,54124.7,1218.8,3214.9,1974.9,21.1,16.9,1980.8,8427.4,62552.1,12955.5,2487.6,74.1,64.0,917.3,9099.0,0.0,0.0,5424.6,84.3,34775.7,1218.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,151.0,151.0,51215.8,51215.8,51366.8,384.7,2164.5,44.7,2593.9,488.8,10161.7,4714.6,741.6,16106.7,70067.4,14732.8,224.2,1192.3,297.5,16446.8,33371.0,0.0,0.2,1722.7,51540.7,8415.7,3050.0,1276.6,3036.4,23.0,2725.0,18526.7,70067.4,15502.2,2875.0,91.3,475.3,672.1,7855.0,0.0,0.0,4585.7,1132.3,32422.4,8415.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,151.0,151.0,53935.0,53935.0,54086.0,0.0,2211.3,83.3,2294.6,381.9,9761.0,6009.5,861.3,17013.7,73394.3,13367.4,349.9,2639.1,290.3,16646.7,36663.2,202.7,0.2,3100.3,56613.1,4100.1,3533.1,2030.1,3036.2,30.5,4051.2,16781.2,73394.3,20420.3,4001.1,74.9,44.4,803.0,7467.2,0.0,0.0,11064.2,1484.1,39502.1,4100.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,151.0,151.0,60231.0,60231.0,60382.0,0.0,2609.8,87.6,2697.4,1215.8,11780.4,6140.7,962.4,20099.3,83178.7,17257.0,547.9,2808.1,88.9,20701.9,47756.4,341.1,0.2,2779.2,71578.8,0.0,4283.8,3295.8,37.7,29.7,3952.9,11599.9,83178.7,9626.5,3844.3,105.6,76.2,1101.2,6717.0,0.0,0.0,15830.6,1580.0,46395.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,157.2,157.2,83824.8,83824.8,83982.0,0.0,3229.3,144.8,3374.1,33.1,14582.4,7106.6,1206.6,22928.7,110284.8,18044.3,451.0,6303.4,230.5,25029.2,64601.5,112.4,0.1,2779.2,92522.4,3912.2,4119.6,4601.3,460.0,32.7,4636.6,17762.4,110284.8,28283.6,3668.7,108.2,75.2,1590.8,2189.1,0.0,0.0,18474.5,2151.5,66828.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,157.2,157.2,93889.5,93889.5,94046.7,1291.1,3435.7,126.0,4852.8,0.0,17421.1,7857.3,1442.3,26720.7,125620.2,24625.8,482.8,5357.5,0.0,30466.1,68945.8,474.3,0.1,2481.6,102367.9,5560.4,5123.0,6537.7,446.4,43.2,5541.6,23252.3,125620.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
