Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2017-06-30,2841.53,0.0,2841.53,0.0,0.0,-27.76,203.59,46.69,0.0,1170.79,1448.22,128.59,1576.81,8.15,1568.66,0.0,1568.66,599.4,969.26,-0.06,969.2,316.39,3.06,3.06,0.0,0.0,0.0,0.0,0.0
2017-09-30,2421.33,0.0,2421.33,4.15,0.0,132.54,212.38,61.96,0.0,869.25,1141.05,109.85,1250.9,10.17,1240.73,0.0,1240.73,396.33,844.4,-0.1,844.3,316.39,2.67,2.67,0.0,0.0,0.0,0.0,0.0
2017-12-31,2469.03,0.0,2469.03,2.44,0.0,-28.08,218.36,77.17,0.0,1066.45,1132.69,111.14,1243.83,11.18,1232.65,144.94,1377.59,490.95,886.64,-0.11,886.53,316.39,2.8,2.8,0.0,0.0,0.0,0.0,0.0
2018-03-31,3883.01,0.0,3883.01,10.74,0.0,-115.18,412.09,70.22,174.08,1500.29,1830.77,170.15,2000.92,7.6,1993.32,-0.64,1992.68,886.66,1106.02,-0.17,1105.85,316.39,3.5,3.5,0.0,0.0,0.0,0.0,0.0
2018-06-30,2421.99,0.0,2421.99,6.57,0.0,-19.15,236.89,61.58,31.76,742.02,1362.32,125.14,1487.46,10.81,1476.65,0.0,1476.65,501.32,975.33,-0.06,975.27,316.39,3.08,3.08,0.0,0.0,0.0,0.0,0.0
2018-09-30,2437.92,0.0,2437.92,11.99,0.0,82.27,269.57,67.52,33.89,780.79,1191.89,130.95,1322.84,9.65,1313.19,0.0,1313.19,676.7,636.49,-0.12,636.37,316.39,2.01,2.01,0.0,0.0,0.0,0.0,0.0
2018-12-31,3649.44,0.0,3649.44,17.37,0.0,-116.58,248.3,69.4,169.66,1176.33,2084.96,136.13,2221.09,9.62,2211.47,0.0,2211.47,634.7,1576.77,-0.07,1576.7,316.39,4.98,4.98,0.0,0.0,0.0,0.0,0.0
2019-03-31,3643.32,0.0,3643.32,16.07,0.0,-25.76,281.99,80.39,132.87,1145.85,2011.91,196.08,2207.99,10.24,2197.75,0.0,2197.75,743.81,1453.94,-0.17,1453.77,306.19,4.63,4.63,0.0,0.0,0.0,0.0,0.0
2019-06-30,3263.74,0.0,3263.74,7.95,0.0,-12.07,253.13,64.77,190.1,957.79,1802.07,122.82,1924.89,11.73,1913.16,0.0,1913.16,733.74,1179.42,-0.14,1179.28,306.19,3.85,3.85,0.0,0.0,0.0,0.0,0.0
2019-09-30,2241.76,0.0,2241.76,17.65,0.0,49.96,245.1,97.56,0.0,868.86,962.63,127.54,1090.17,9.72,1080.45,0.0,1080.45,377.07,703.38,-0.11,703.27,306.19,2.3,2.3,0.0,0.0,0.0,0.0,0.0
2019-12-31,3006.38,0.0,3006.38,5.88,0.0,-50.77,258.73,64.58,194.19,1006.93,1526.84,130.18,1657.02,9.76,1647.26,0.0,1647.26,270.69,1376.57,-0.21,1376.36,306.19,4.5,4.5,0.0,0.0,0.0,0.0,0.0
2020-03-31,3187.34,0.0,3187.34,5.0,0.0,-40.95,289.87,67.47,203.18,1238.3,1424.47,133.25,1557.72,-21.33,1579.05,-96.44,1482.61,1131.07,351.54,-0.33,351.21,306.19,1.15,1.15,0.0,0.0,0.0,0.0,0.0
2020-06-30,1937.5,0.0,1937.5,5.24,0.0,-56.62,253.65,57.28,119.73,860.61,697.61,71.71,769.32,9.32,760.0,0.0,760.0,226.67,533.33,-0.43,532.9,306.19,1.74,1.74,0.0,0.0,0.0,0.0,0.0
2020-09-30,2229.89,0.0,2229.89,4.36,0.0,47.24,267.19,53.4,124.94,756.0,976.76,88.36,1065.12,1.72,1063.4,0.0,1063.4,289.2,774.2,-0.54,773.66,306.19,2.53,2.53,0.0,0.0,0.0,0.0,0.0
2020-12-31,4355.1,0.0,4355.1,7.23,0.0,69.86,271.87,60.48,223.89,1013.69,2708.08,104.83,2812.91,1.64,2811.27,0.0,2811.27,702.01,2109.26,-0.35,2108.91,306.19,6.89,6.89,0.0,0.0,0.0,0.0,0.0
2021-03-31,6847.57,0.0,6847.57,25.18,0.0,-184.57,289.1,56.67,226.71,2248.9,4185.58,84.98,4270.56,4.13,4266.43,0.0,4266.43,1430.57,2835.86,1.72,2837.58,293.07,9.64,9.64,0.0,0.0,0.0,0.0,0.0
2021-06-30,6512.21,0.0,6512.21,29.71,0.0,-535.9,268.12,55.23,50.03,2522.58,4122.44,144.09,4266.53,3.0,4263.53,0.0,4263.53,1070.54,3192.99,-0.15,3192.84,293.07,10.89,10.89,0.0,0.0,0.0,0.0,0.0
2021-09-30,6793.51,0.0,6793.51,22.23,0.0,-71.71,289.44,59.58,51.96,3387.02,3054.99,88.82,3143.81,1.72,3142.09,0.0,3142.09,800.99,2341.1,-0.18,2340.92,293.07,7.99,7.99,0.0,0.0,0.0,0.0,0.0
2021-12-31,5873.77,0.0,5873.77,23.09,0.0,-168.47,311.63,60.57,37.76,3057.36,2551.83,152.87,2704.7,9.19,2695.51,0.0,2695.51,645.71,2049.8,-0.13,2049.67,293.07,6.99,6.99,0.0,0.0,0.0,0.0,0.0
2022-03-31,6702.24,0.0,6702.24,31.92,0.0,-424.42,464.49,111.47,87.99,3857.91,2572.88,332.55,2905.43,25.15,2880.28,0.0,2880.28,1065.01,1815.27,-0.22,1815.05,293.07,6.19,6.19,0.0,0.0,0.0,0.0,0.0
2022-06-30,4767.07,0.0,4767.07,15.43,0.0,-380.94,326.85,84.82,36.61,2869.01,1815.29,145.96,1961.25,15.34,1945.91,0.0,1945.91,476.34,1469.57,-0.13,1469.44,293.07,5.01,5.01,0.0,0.0,0.0,0.0,0.0
2022-09-30,3328.45,0.0,3328.45,23.68,0.0,600.86,396.89,73.83,52.12,1400.71,780.36,426.0,1206.36,18.19,1188.17,0.0,1188.17,299.36,888.81,-0.13,888.68,293.07,3.03,3.03,0.0,0.0,0.0,0.0,0.0
2022-12-31,3719.99,0.0,3719.99,26.83,0.0,-291.65,344.89,83.6,77.03,2419.52,1059.77,187.87,1247.64,29.93,1217.71,0.0,1217.71,327.62,890.09,-0.23,889.86,293.07,3.04,3.04,0.0,0.0,0.0,0.0,0.0
2023-03-31,5851.37,0.0,5851.37,4.65,0.0,-424.87,457.87,93.16,97.24,3551.11,2072.21,-11.98,2060.23,11.77,2048.46,1237.27,3285.73,1008.48,2277.25,-0.19,2277.06,293.07,7.77,7.77,0.0,0.0,0.0,0.0,0.0
2023-06-30,5394.66,0.0,5394.66,2.68,0.0,76.68,364.09,69.11,0.0,2955.45,1926.65,280.73,2207.38,6.19,2201.19,0.0,2201.19,551.12,1650.07,-0.16,1649.91,293.07,5.63,5.63,0.0,0.0,0.0,0.0,0.0
2023-09-30,4013.98,0.0,4013.98,3.63,0.0,284.48,391.77,88.55,0.0,2140.77,1104.78,320.66,1425.44,18.6,1406.84,0.0,1406.84,379.0,1027.84,-0.21,1027.63,293.07,3.51,3.51,0.0,0.0,0.0,0.0,0.0
2023-12-31,5409.9,0.0,5409.9,6.23,0.0,-73.85,397.59,81.9,0.0,3050.21,1947.82,336.51,2284.33,32.05,2252.28,-252.3,1999.98,507.3,1492.68,-0.36,1492.32,293.07,5.09,5.09,0.0,0.0,0.0,0.0,0.0
2024-03-31,6475.27,0.0,6475.27,8.43,0.0,-353.39,465.99,97.49,92.96,4124.89,2038.9,417.64,2456.54,21.4,2435.14,-29.85,2405.29,943.0,1462.29,-0.26,1462.03,293.07,4.99,4.99,0.0,0.0,0.0,0.0,0.0
2024-06-30,5377.8,0.0,5377.8,4.03,0.0,-41.34,388.19,73.61,0.0,2666.16,2287.15,364.51,2651.66,23.09,2628.57,0.0,2628.57,644.38,1984.19,-0.22,1983.97,293.07,6.77,6.77,0.0,0.0,0.0,0.0,0.0
2024-09-30,4806.57,0.0,4806.57,125.35,0.0,479.58,412.93,84.23,0.0,2348.34,1356.14,360.49,1716.63,29.09,1687.54,0.0,1687.54,418.39,1269.15,-0.19,1268.96,293.07,4.33,4.33,0.0,0.0,0.0,0.0,0.0
2024-12-31,6530.82,0.0,6530.82,153.35,113.8,-339.24,435.93,92.12,0.0,3758.05,2316.81,374.46,2691.27,60.57,2630.7,0.0,2630.7,686.86,1943.84,-0.33,1943.51,879.18,2.21,2.21,0.0,0.0,0.0,0.0,0.0
