Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,"Stores, Spares And Loose Tools",Capital Goods,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Deferred Tax Liabilities [Net],Short Term Loans And Advances,Raw Materials,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments,Trade/Other Goods
2014-03-31,396.47,396.47,29591.83,29591.83,29988.3,0.0,29.11,11.44,147.8,0.0,185.67,1153.2,1.95,1340.82,31476.92,1291.5,70.78,5276.89,0.0,6639.17,250.37,0.0,720.82,5.37,7615.73,681.19,1448.42,18657.23,725.88,23861.19,31476.92,13830.58,36.06,220.58,14.16,0.0,0.0,264.31,36.58,150.74,107.25,2348.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,396.47,396.47,31935.27,31935.27,32331.74,0.0,40.1,10.6,149.1,0.0,226.28,1140.84,621.88,1989.0,34469.84,1243.14,90.55,7710.03,0.0,9043.72,561.93,0.0,969.06,5.37,10580.08,691.88,1752.33,18443.14,1007.75,23889.76,34469.84,10492.39,11.4,215.24,13.81,0.0,0.0,264.31,32.7,400.69,98.4,1994.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,396.47,396.47,29714.57,29714.57,30111.04,0.0,50.48,20.96,193.66,1496.95,324.42,1217.4,2.1,3040.87,33345.57,1638.48,268.49,9722.88,0.0,11629.85,695.41,0.0,1739.17,5.06,14069.49,636.96,1896.08,14763.57,740.39,19276.08,33345.57,9924.74,14.13,218.81,8.6,0.0,0.0,264.31,35.28,534.19,122.22,1239.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,316.39,316.39,22202.55,22202.55,22518.94,0.0,0.0,611.2,611.2,0.0,198.78,2067.11,306.03,2571.92,25702.06,1730.76,222.05,11831.36,0.0,13784.17,726.98,453.36,731.12,2060.12,17755.75,540.04,1043.52,5289.28,1073.47,7946.31,25702.06,2724.37,16.82,169.77,10.41,0.0,0.0,264.31,28.59,594.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,316.39,316.39,24037.44,24037.44,24353.83,0.0,0.0,714.12,714.12,500.09,159.54,2854.14,27.4,3541.17,28609.12,2507.53,164.17,12519.9,0.0,15191.6,786.45,385.71,779.68,2626.23,19769.67,571.69,1472.74,5438.22,1356.8,8839.45,28609.12,3036.74,10.52,170.97,6.22,0.0,0.0,264.31,42.17,653.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,306.19,306.19,25645.34,25645.34,25951.53,0.0,0.0,768.39,768.39,364.15,202.74,2453.91,41.26,3062.06,29781.98,2554.49,166.2,13792.45,0.0,16513.14,939.32,582.73,796.49,2986.32,21818.0,666.17,1424.51,4607.72,1265.58,7963.98,29781.98,9739.05,5.71,50.88,1.27,0.0,0.0,255.79,16.96,806.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,306.19,306.19,27227.76,27227.76,27533.95,0.0,5.51,827.88,833.39,565.57,225.55,1763.01,222.47,2776.6,31143.94,2616.84,399.89,15471.56,29.64,18517.93,985.59,397.06,866.16,3075.48,23842.22,723.51,2223.71,2392.34,1962.16,7301.72,31143.94,8541.75,14.57,71.43,23.74,0.0,0.0,255.79,53.1,806.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,293.07,293.07,29463.07,29463.07,29756.14,546.43,4.57,945.16,1496.16,1448.04,360.26,3626.3,98.0,5532.6,36784.9,2677.28,441.17,17076.68,51.42,20246.55,984.88,408.28,901.16,3695.91,26236.78,921.72,2139.89,5806.01,1680.5,10548.12,36784.9,9795.84,2.22,2.94,4.28,0.0,0.0,255.79,321.25,806.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,293.07,293.07,34550.9,34550.9,34843.97,1668.22,156.13,1092.0,2916.35,1815.13,967.22,4134.88,14.39,6931.62,44691.94,3522.13,443.9,18294.69,5.0,22265.72,987.43,530.95,682.99,4449.79,28916.88,2164.9,2954.3,7940.17,2715.69,15775.06,44691.94,11783.56,1.65,46.08,0.08,0.0,0.0,255.79,622.09,809.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,293.07,293.07,22039.24,22039.24,22332.31,0.0,155.02,1255.56,1410.58,415.98,425.76,3233.84,123.23,4198.81,27941.7,2385.54,628.33,1961.72,6.49,4982.08,886.72,297.5,705.06,5309.48,12180.84,2660.58,2656.02,7048.04,3396.22,15760.86,27941.7,8951.59,5.48,11.77,3.44,0.0,0.0,255.79,476.01,707.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,293.07,293.07,25112.71,25112.71,25405.78,0.0,151.95,1430.75,1582.7,3356.54,372.52,4377.14,254.41,8360.61,35349.09,2499.06,663.59,3230.51,4.14,6397.3,991.65,265.89,724.43,5562.82,13942.09,2738.92,3499.21,12272.95,2895.92,21407.0,35349.09,7742.6,20.99,25.75,0.61,0.0,0.0,255.79,648.43,707.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
