Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Hybrid/Debt/Other Securities,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Deferred Tax Assets [Net],"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Raw Materials,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,109.98,109.98,9924.29,9924.29,10034.27,0.0,2040.58,0.0,250.09,6.11,2296.78,3973.5,4984.4,1082.25,185.88,10226.03,22557.08,906.64,17.33,254.86,0.0,0.0,1178.83,6550.59,4221.07,0.0,12061.64,1.0,1068.51,3113.02,260.88,5938.43,113.6,10495.44,22557.08,4156.04,38.66,2.47,0.0,0.42,41.84,38728.09,1961.71,0.0,1.0,111.15,0.0,7861.77,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,109.98,109.98,10168.08,10168.08,10278.06,0.0,2535.15,0.0,250.59,5.69,2791.43,2635.2,5781.89,961.19,193.69,9571.97,22641.46,874.24,23.43,270.37,0.0,0.0,1168.04,6953.42,1201.65,1.36,9412.52,1.0,584.92,3794.76,238.25,8530.05,79.96,13228.94,22641.46,3996.11,14.66,2.41,0.0,0.0,41.84,57215.29,2364.54,0.0,1.0,88.05,0.0,9051.22,15.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,109.98,109.98,3450.32,3450.32,3560.3,0.0,1615.79,0.0,552.59,9.12,2177.5,4416.23,2964.98,1248.15,30.02,8659.38,14397.18,429.22,654.07,851.15,0.0,0.0,1934.44,1081.43,789.79,0.0,3933.33,1.0,530.38,2641.97,147.07,6923.67,219.76,10463.85,14397.18,6330.82,26.32,0.73,0.41,0.0,41.84,0.0,1081.43,0.0,1.0,127.67,0.18,3038.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,109.98,109.98,3657.2,3657.2,3767.18,0.0,1857.82,0.0,78.16,16.36,1952.34,4905.4,3217.95,788.14,27.27,8938.76,14658.28,511.96,650.05,621.6,0.0,9.37,1792.98,3090.2,87.75,499.43,5716.93,1.0,594.56,2923.44,364.21,3782.93,1275.21,8941.35,14658.28,0.0,4210.43,0.0,11.05,0.0,41.84,0.0,3090.2,0.0,1.0,246.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,109.98,109.98,3798.42,3798.42,3908.4,0.0,1596.99,0.0,105.54,17.99,1720.52,4971.34,3693.18,1089.77,27.45,9781.74,15410.66,623.61,629.79,413.9,0.0,9.37,1676.67,3007.97,18.69,696.27,5613.61,1.0,1294.42,2635.37,524.66,3168.19,2173.41,9797.05,15410.66,8877.46,7880.76,0.0,5.36,0.0,41.84,0.0,3007.97,0.0,1.0,214.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,109.98,109.98,3138.84,3138.84,3248.82,0.0,928.34,0.0,103.17,17.39,1048.9,1915.33,7726.56,510.46,39.79,10192.14,14489.86,931.03,617.27,211.39,0.0,9.37,1769.06,1943.24,0.0,408.31,4288.88,1.0,1901.88,4998.42,349.7,2013.52,936.46,10200.98,14489.86,5982.21,9592.68,0.0,0.11,0.0,41.84,0.0,1943.24,0.0,1.0,168.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,109.98,109.98,3651.02,3651.02,3761.0,0.0,1051.25,0.0,62.98,25.1,1139.33,1676.89,6380.58,882.79,44.98,8985.24,13885.57,917.36,592.49,219.61,0.0,18.29,1747.75,2273.91,0.0,654.33,4754.23,1.0,1527.47,3846.48,783.29,1620.56,1352.54,9131.34,13885.57,6057.8,7391.02,0.0,0.16,0.0,41.84,0.0,2273.91,0.0,1.0,78.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,109.98,109.98,4018.01,4018.01,4127.99,0.0,1338.07,12.43,60.87,21.47,1432.84,1422.31,5050.86,915.66,42.6,7431.43,12992.26,845.73,563.5,453.12,0.0,18.56,1880.91,2464.31,0.0,597.44,4942.66,1.0,1099.19,2661.31,435.93,2729.07,1123.1,8049.6,12992.26,6614.21,5536.52,0.0,0.0,0.0,41.84,0.0,2464.31,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,109.98,109.98,4620.68,4620.68,4730.66,510.0,1921.99,138.77,150.67,27.29,2238.72,2299.84,10623.77,1201.23,47.66,14172.5,21651.88,1098.31,566.73,511.44,0.0,18.37,2194.85,3436.35,0.63,566.56,6198.39,1.0,4843.83,3516.19,485.21,5120.54,1486.72,15453.49,21651.88,7305.21,20097.58,0.0,0.0,110.28,41.84,0.0,3436.35,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,114.0,114.0,13819.78,13819.78,13933.78,0.0,900.02,156.33,148.99,37.68,1243.02,2020.23,21523.37,1363.08,53.79,24960.47,40137.27,1109.93,539.57,526.89,122.39,18.22,2317.0,9947.99,5.08,563.48,12833.55,0.0,4085.46,4688.27,1339.86,15064.43,2125.7,27303.72,40137.27,3791.51,44549.87,0.0,0.0,62.49,41.84,0.0,9947.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,114.0,114.0,16525.54,16525.54,16639.54,0.0,3357.47,152.92,132.41,46.41,3689.21,2375.01,17901.38,1517.73,57.5,21851.62,42180.37,993.16,529.02,590.79,161.55,17.99,2292.51,14070.99,45.82,658.36,17067.68,0.0,3006.61,4220.82,1014.07,14936.63,1934.56,25112.69,42180.37,4256.21,19625.64,0.0,0.0,0.0,41.84,0.0,14070.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,115.42,115.42,26583.47,26583.47,26698.89,0.0,9462.19,168.16,118.41,53.53,9802.29,3218.34,9354.23,1187.62,76.76,13836.95,50338.13,1294.06,890.33,372.62,0.0,0.0,2557.01,18838.24,3408.39,1556.13,26359.77,0.0,1896.94,2291.71,1178.42,17347.52,1263.77,23978.36,50338.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
