Date,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,(d) Others,Other Income,Interest Expended,Employees Cost,Other Expenses,Operating Profit before Provisions and contingencies,Provisions And Contingencies,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,c) Capital Adequacy Ratio - Basel -II,Basic EPS,Diluted EPS,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2020-09-30,4431.38,628.35,80.68,104.98,706.75,3272.02,612.0,708.09,1360.03,1187.34,172.69,43.32,129.37,0.0,129.37,5010.98,0.0,0.06,0.06,32344.36,7868.13,16.9,4.71,0.2,0.0,0.0,0.0,0.0,0.0
2020-12-31,4474.56,645.68,109.38,91.49,1197.26,2760.69,600.87,871.27,2285.54,2198.84,86.7,-64.01,150.71,0.0,150.71,5010.98,0.0,0.06,0.06,29546.54,6856.58,15.36,4.04,0.2,0.0,0.0,0.0,0.0,0.0
2021-03-31,3169.27,642.04,93.6,84.35,816.04,3002.59,573.85,1043.98,184.88,5239.59,-5054.71,-1266.96,-3787.75,0.0,-3787.75,5010.98,0.0,-1.51,-1.51,28609.53,9813.36,15.41,5.88,-5.7,0.0,0.0,0.0,0.0,0.0
2021-06-30,3663.0,617.38,153.04,92.0,1056.42,3123.27,645.33,892.97,920.27,644.43,275.84,69.0,206.84,0.0,206.84,5010.98,0.0,0.08,0.08,28505.95,9454.94,15.6,5.78,0.3,0.0,0.0,0.0,0.0,0.0
2021-09-30,3698.51,719.71,142.11,91.92,778.05,3140.01,705.8,906.33,678.16,377.37,300.79,75.29,225.5,0.0,225.5,5010.98,0.0,0.09,0.09,28740.59,9586.25,14.97,5.55,0.3,0.0,0.0,0.0,0.0,0.0
2021-12-31,3842.42,770.12,199.39,86.38,733.72,3134.33,732.67,1034.35,730.68,374.64,356.04,89.61,266.43,0.0,266.43,5010.98,0.0,0.11,0.11,28654.49,9323.34,14.65,5.29,0.4,0.0,0.0,0.0,0.0,0.0
2022-03-31,3890.98,770.89,207.53,78.13,881.69,3128.05,771.89,1155.05,774.23,271.04,503.19,135.73,367.46,0.0,367.46,5010.99,0.0,0.15,0.15,27975.98,8204.53,13.93,4.53,0.5,0.0,0.0,0.0,0.0,0.0
2022-06-30,4033.58,784.04,242.33,74.9,781.43,3284.57,827.13,1214.75,589.83,174.73,415.1,104.47,310.63,0.0,310.63,5011.0,0.0,0.12,0.12,27746.75,7765.01,13.45,4.17,0.4,0.0,0.0,0.0,0.0,0.0
2022-09-30,4314.58,846.5,234.54,78.76,919.73,3483.02,824.1,1296.59,790.4,582.81,207.59,54.77,152.82,0.0,152.82,5011.17,0.0,0.06,0.06,27419.11,6926.03,12.89,3.6,0.2,0.0,0.0,0.0,0.0,0.0
2022-12-31,4619.39,892.16,226.7,133.72,1143.21,3901.35,857.4,1342.8,913.63,844.75,68.88,17.36,51.52,0.0,51.52,5750.67,0.0,0.02,0.02,3903.68,1973.36,2.02,1.03,0.1,0.0,0.0,0.0,0.0,0.0
2023-03-31,4854.86,1041.9,137.46,182.02,1082.27,4110.92,854.07,1444.62,888.9,617.56,271.34,68.91,202.43,0.0,202.43,5750.96,0.0,0.07,0.07,4394.57,1658.09,2.17,0.83,0.2,0.0,0.0,0.0,0.0,0.0
2023-06-30,4971.88,1164.95,98.18,208.21,1141.12,4443.59,945.68,1376.66,818.41,360.3,458.11,115.59,342.52,0.0,342.52,5751.13,0.0,0.12,0.12,4072.67,2100.69,2.0,1.0,0.4,0.0,0.0,0.0,0.0,0.0
2023-09-30,5122.88,1142.97,211.78,233.07,1209.98,4785.61,891.74,1442.0,801.33,500.38,300.95,75.74,225.21,0.0,225.21,5751.6,0.0,0.08,0.08,4319.03,1885.19,2.0,0.9,0.2,0.0,0.0,0.0,0.0,0.0
2023-12-31,5354.71,1264.68,96.82,268.64,1194.6,4967.97,910.89,1436.54,864.05,554.74,309.31,77.85,231.46,0.0,231.46,5752.31,0.0,0.08,0.08,4457.41,1934.36,2.0,0.9,0.2,0.0,0.0,0.0,0.0,0.0
2024-03-31,5638.01,1385.66,51.62,371.88,1568.6,5294.15,1025.97,1793.18,902.47,470.86,431.61,-20.28,451.89,0.0,451.89,5753.58,0.0,0.16,0.15,3982.56,1329.73,1.7,0.6,0.5,0.0,0.0,0.0,0.0,0.0
2024-06-30,5719.12,1494.55,119.81,385.67,1198.99,5475.11,980.09,1577.65,885.29,211.77,673.52,171.09,502.43,0.0,502.43,6267.13,0.0,0.16,0.16,3844.9,1246.03,1.7,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2024-09-30,5840.06,1443.53,51.11,395.79,1406.6,5530.05,1007.63,1624.14,975.27,297.1,678.17,125.13,553.04,0.0,553.04,6269.38,0.0,0.18,0.18,3889.43,1168.02,1.6,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2024-12-31,5904.92,1416.82,120.48,386.92,1512.01,5605.62,1003.87,1652.64,1079.02,258.68,820.34,208.07,612.27,0.0,612.27,6270.17,0.0,0.2,0.19,3963.47,1142.62,1.6,0.5,0.6,0.0,0.0,0.0,0.0,0.0
2025-03-31,5835.67,1339.58,101.69,339.19,1739.26,5339.77,1016.82,1684.42,1314.38,318.07,996.31,258.19,738.12,0.0,738.12,6270.82,0.0,0.24,0.23,3935.61,800.14,1.6,0.3,0.7,0.0,0.0,0.0,0.0,0.0
