Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2020-03-31,2179.44,2179.44,33.14,1927.24,14.92,123.82,80.32,6.76,87.09,23.35,63.74,-526.12,-462.38,45.54,-507.92,0.0,-507.92,147.51,0.0,-34.43,-34.37
2020-06-30,1695.94,1695.94,15.15,1545.98,14.75,81.76,38.31,4.15,42.46,23.5,18.97,-11.27,7.7,7.6,0.1,0.0,0.1,147.58,0.0,0.01,0.01
2020-09-30,1766.64,1766.64,16.63,1620.32,13.68,89.19,26.82,15.95,42.77,18.25,24.52,0.0,24.52,21.13,3.39,0.0,3.39,147.64,0.0,0.23,0.23
2020-12-31,1907.11,1907.11,17.38,1743.01,12.61,107.29,26.82,8.12,34.94,11.53,23.4,0.0,23.4,21.61,1.79,0.0,1.79,147.64,0.0,0.12,0.12
2021-03-31,2113.72,2113.72,22.13,1909.45,11.47,247.96,-77.29,2.16,-75.14,10.18,-85.32,0.0,-85.32,19.81,-105.13,0.0,-105.13,147.68,0.0,-7.12,-7.02
2021-06-30,2125.01,2125.01,24.01,1919.5,10.66,128.29,42.55,18.65,61.2,12.78,48.42,0.0,48.42,6.67,41.75,0.0,41.75,147.68,0.0,2.83,2.78
2021-09-30,2273.86,2273.86,23.67,2047.48,10.07,201.01,-8.36,1.74,-6.63,12.08,-18.7,-20.22,-38.92,-2.57,-36.35,0.0,-36.35,147.79,0.0,-2.46,-2.43
2021-12-31,2637.06,2637.06,32.84,2320.64,13.66,226.2,43.71,72.53,116.24,11.88,104.36,0.0,104.36,17.81,86.55,0.0,86.55,147.88,0.0,5.86,5.78
2022-03-31,2722.57,2722.57,30.52,2416.91,13.71,200.32,61.11,38.66,99.76,10.96,88.8,-22.03,66.77,13.88,52.89,0.0,52.89,147.99,0.0,3.58,3.55
2022-06-30,2832.3,2832.3,41.36,2509.14,13.28,214.27,54.25,2.67,56.92,10.58,46.35,0.0,46.35,-0.89,47.24,0.0,47.24,148.08,0.0,3.19,3.17
2022-09-30,3030.92,3030.92,44.75,2724.43,13.6,221.27,26.86,3.18,30.04,13.37,16.67,0.0,16.67,-3.86,20.54,0.0,20.54,148.15,0.0,1.39,1.38
2022-12-31,3168.53,3168.53,47.96,2831.26,17.04,244.82,27.46,23.98,51.44,16.09,35.35,23.52,58.87,0.0,58.87,0.0,58.87,148.2,0.0,3.97,3.95
2023-03-31,3164.6,3164.6,43.28,2850.8,21.19,233.1,16.22,40.93,57.14,17.45,39.69,-27.82,11.87,8.35,3.52,0.0,3.52,148.23,0.0,0.24,0.24
2023-06-30,3332.68,3332.68,40.68,3023.27,16.46,221.47,30.81,14.4,45.21,15.94,29.28,3.03,32.31,-1.21,33.52,0.0,33.52,148.39,0.0,2.26,2.25
2023-09-30,3452.78,3452.78,51.85,3106.87,16.58,253.42,24.06,43.5,67.57,16.7,50.87,-14.3,36.56,-12.93,49.49,0.0,49.49,148.42,0.0,3.33,3.31
2023-12-31,3959.28,3959.28,47.1,3546.21,46.96,244.65,74.36,74.2,148.56,22.9,125.66,-42.77,82.89,-18.55,101.43,0.0,101.43,148.48,0.0,6.83,6.79
2024-03-31,4041.58,4041.58,46.74,3618.54,45.81,247.26,83.23,27.88,111.11,21.22,89.89,3.27,93.16,-10.78,103.94,0.0,103.94,148.51,0.0,7.0,6.95
2024-06-30,4211.94,4211.94,45.06,3807.36,47.83,240.77,70.92,36.34,107.26,19.01,88.25,-9.52,78.73,-6.82,85.55,0.0,85.55,148.51,0.0,5.76,5.72
2024-09-30,4381.91,4381.91,50.26,3943.74,47.97,257.55,82.39,87.0,169.39,22.33,147.06,-0.35,146.71,-4.88,151.59,0.0,151.59,148.63,0.0,10.09,10.02
2024-12-31,4707.64,4707.64,50.94,4261.42,46.21,262.98,86.08,50.25,136.33,20.37,115.96,-22.26,93.7,-5.98,99.68,0.0,99.68,148.69,0.0,6.71,6.66
2025-03-31,3364.64,3364.64,0.07,3178.62,9.31,134.42,42.23,19.29,61.51,8.89,52.62,-138.42,-85.8,-4.54,-81.26,0.0,-81.26,148.92,0.0,-5.46,-5.46
