Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Loans And Advances,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,19.33,19.33,1865.47,1865.47,1884.8,1655.89,172.18,41.21,-0.75,1868.52,688.11,343.08,61.13,28.37,1120.69,4874.02,2328.57,0.88,476.34,0.0,2805.78,426.51,0.44,3442.55,0.0,529.08,618.47,9.8,273.94,0.19,1431.47,4874.02,1314.62,1.22,1.61,3093.13,96.45,16.87,370.29,61.32,0.0,0.0,209.81,1444.44,15.5,1.22,244.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,19.33,19.33,2272.34,2272.34,2291.68,1359.28,188.65,0.01,1.37,1549.31,633.45,379.91,424.87,35.39,1473.61,5314.6,2413.48,1.28,634.04,0.0,3048.8,58.36,1.46,3275.03,386.5,392.01,601.83,431.13,226.85,1.25,2039.57,5314.6,662.86,252.88,2.48,3099.04,122.79,16.87,59.95,3.17,425.07,0.0,166.41,1406.77,34.1,0.78,100.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,19.33,19.33,2775.96,2775.96,2795.29,832.28,238.17,0.01,3.64,1074.11,456.03,336.72,702.9,8.65,1504.3,5373.71,2849.6,4.16,231.07,0.0,3084.83,562.06,0.0,3783.41,270.4,286.4,553.33,302.84,174.85,2.47,1590.3,5373.71,902.25,202.13,9.98,2710.84,74.22,16.87,576.6,3.17,250.26,29.4,136.52,843.39,11.06,0.86,31.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,19.33,19.33,3531.9,3531.9,3551.23,218.84,352.87,15.08,12.6,599.39,548.46,363.34,687.6,5.62,1605.02,5755.64,2792.81,3.99,109.67,51.79,2958.26,887.94,197.22,4043.42,461.8,459.69,412.19,13.7,23.91,340.93,1712.22,5755.64,2134.04,0.0,0.0,0.0,0.0,16.87,468.8,419.14,130.9,330.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,38.66,38.66,4056.57,4056.57,4095.23,2.5,328.88,8.78,12.97,353.13,616.07,397.39,375.45,7.42,1396.33,5844.69,2794.53,3.44,118.28,51.07,2967.32,620.05,273.84,3861.21,483.18,594.19,501.93,24.58,14.08,365.52,1983.48,5844.69,2429.82,1952.15,0.0,0.0,3591.58,36.2,563.59,56.46,0.0,483.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,38.66,38.66,4640.05,4640.05,4678.71,2.23,325.54,23.7,17.34,368.81,827.1,356.54,190.88,7.73,1382.25,6429.77,2706.65,2.29,585.42,77.15,3371.51,319.6,303.34,3994.45,763.46,713.0,568.12,55.61,4.63,330.5,2435.32,6429.77,1412.1,2814.68,0.0,4152.46,0.0,36.2,232.01,87.59,433.68,329.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,38.66,38.66,4989.44,4989.44,5028.1,1.79,178.31,34.43,23.54,238.07,859.42,361.0,240.44,4.21,1465.07,6731.24,3190.1,1.26,585.56,85.71,3862.63,711.97,279.62,4854.22,351.12,580.35,649.24,45.5,4.33,246.48,1877.02,6731.24,1110.56,1831.79,0.0,3737.86,0.0,36.2,648.58,63.39,67.18,283.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,38.66,38.66,5968.55,5968.55,6007.21,1.25,203.5,32.66,24.82,262.23,892.1,633.45,240.06,5.11,1770.72,8040.16,3247.23,0.56,855.52,86.39,4189.7,1026.21,432.85,5648.76,392.03,909.27,730.13,57.12,4.17,298.68,2391.4,8040.16,1399.44,2141.92,0.0,4248.69,0.0,36.2,908.7,117.51,75.65,316.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,38.66,38.66,6885.89,6885.89,6924.55,500.79,250.91,31.28,23.95,806.93,1941.79,807.53,371.82,4.47,3125.61,10857.09,3906.5,0.26,1258.4,79.34,5244.5,1212.74,596.96,7054.2,684.53,1639.4,1097.68,35.25,3.41,342.62,3802.89,10857.09,2128.18,3763.53,0.0,6161.4,0.0,36.2,927.37,285.37,342.99,341.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,38.66,38.66,7550.48,7550.48,7589.14,1038.09,241.29,126.24,26.45,1432.07,2215.84,486.55,544.47,4.26,3251.12,12272.33,5278.18,0.23,1391.6,70.76,6740.77,1262.69,381.9,8385.36,774.6,1592.35,1253.54,37.78,3.79,224.91,3886.97,12272.33,1506.64,4784.28,0.0,6816.52,0.0,36.2,860.64,402.05,370.17,404.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,38.66,38.66,8823.27,8823.27,8861.93,691.44,349.36,91.11,30.28,1162.19,2345.45,892.58,338.41,4.43,3580.87,13604.99,6218.91,0.5,944.43,64.25,7228.09,1337.79,446.47,9012.35,1348.99,1270.52,1543.34,52.76,6.75,370.28,4592.64,13604.99,1736.78,2905.5,0.0,6395.57,0.0,36.2,699.38,638.41,689.36,659.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
