Date,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,(d) Others,Other Income,Interest Expended,Employees Cost,Other Expenses,Operating Profit before Provisions and contingencies,Provisions And Contingencies,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,a) % of Share by Govt.,b) Capital Adequacy Ratio - Basel -I,c) Capital Adequacy Ratio - Basel -II,Basic EPS,Diluted EPS,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,28581.66,10019.41,234.27,807.55,5087.98,25910.86,5906.38,3711.53,9202.1,3999.73,0.0,5202.37,1509.94,3692.43,3692.43,756.62,59.15,0.0,0.0,4.88,4.88,56420.77,28669.14,4.29,2.24,0.72,309.11,40.85,447.51,100.0,59.15
2015-09-30,28981.65,10564.66,179.93,931.32,6197.25,26405.01,6142.09,4041.82,10265.89,4360.6,0.0,5905.29,2026.22,3879.07,3879.07,776.28,60.18,0.0,13.19,5.08,5.08,56834.28,28591.96,4.15,2.14,0.75,309.11,39.82,467.16,100.0,60.18
2015-12-31,28860.22,10712.0,101.85,879.43,6177.51,26947.03,6122.57,4063.49,9597.92,7949.38,0.0,1648.54,533.2,1115.34,1115.34,776.28,60.18,0.0,0.0,1.43,1.43,72791.73,40249.12,5.1,2.89,0.21,0.0,0.0,0.0,0.0,0.0
2016-03-31,29242.48,11007.91,105.02,2586.36,10585.2,27540.59,6942.78,4851.7,14191.9,13174.05,0.0,1017.85,-245.96,1263.81,1263.81,776.28,60.18,0.0,0.0,1.64,1.64,98172.8,55807.02,6.5,3.81,0.23,0.0,0.0,0.0,0.0,0.0
2016-06-30,29883.76,10704.39,182.64,822.73,7335.08,27281.21,6256.55,4336.98,11053.86,7413.1,0.0,3640.76,1119.8,2520.96,2520.96,776.28,60.18,0.0,0.0,3.25,3.25,101541.18,57420.98,6.94,4.05,0.44,0.0,0.0,0.0,0.0,0.0
2016-09-30,29933.82,11385.23,194.44,805.36,8424.14,27881.39,6853.19,4784.09,11224.32,7896.72,0.0,3327.6,789.28,2538.32,2538.32,776.28,60.18,0.0,0.0,3.27,3.27,105782.96,60013.45,7.14,4.19,0.44,0.0,0.0,0.0,0.0,0.0
2016-12-31,29831.27,12608.66,488.69,996.97,9661.92,29174.05,7137.29,4732.91,12543.26,8942.83,0.0,3600.43,990.43,2610.0,2610.0,776.28,60.18,0.0,0.0,3.36,3.36,108172.32,61430.45,7.23,4.24,0.42,0.0,0.0,0.0,0.0,0.0
2017-03-31,29861.16,13507.03,887.7,3136.68,10327.5,29321.85,6242.25,6129.51,16026.46,11740.09,0.0,4286.37,1471.55,2814.82,2814.82,797.35,61.23,0.0,0.0,3.55,3.55,112342.99,58277.38,6.9,3.71,0.43,0.0,0.0,0.0,0.0,0.0
2017-06-30,36141.69,16597.71,945.79,1220.23,8005.66,37299.41,7724.48,6013.13,11874.06,8929.48,0.0,2944.58,939.05,2005.53,2005.53,863.21,57.07,0.0,0.0,2.44,2.44,188068.49,107759.66,9.97,5.97,0.25,0.0,0.0,0.0,0.0,0.0
2017-09-30,35801.23,17314.71,773.2,960.58,10579.91,36263.82,7703.24,6899.6,14562.97,19137.43,5436.17,861.71,-719.84,1581.55,1581.55,863.21,57.07,0.0,0.0,1.83,1.83,186114.6,97896.29,9.83,5.43,0.2,0.0,0.0,0.0,0.0,0.0
2017-12-31,35185.39,18146.84,275.11,1195.55,8084.17,36115.37,8496.79,6520.33,11754.57,18876.21,0.0,-7121.64,-4705.27,-2416.37,-2416.37,863.21,56.61,0.0,0.0,-2.8,-2.8,199141.34,102370.12,10.35,5.61,-0.3,0.0,0.0,0.0,0.0,0.0
2018-03-31,34234.86,18278.36,255.89,3172.17,12494.78,35967.0,9254.17,7331.71,15883.18,28096.07,0.0,-12212.89,-4494.72,-7718.17,-7718.17,892.46,58.03,0.0,0.0,-8.92,-8.92,223427.46,110854.7,10.91,5.73,-0.92,0.0,0.0,0.0,0.0,0.0
2018-06-30,38865.48,18587.51,244.59,1115.6,6679.49,37014.82,9708.42,6796.3,11973.13,19228.26,0.0,-7255.13,-2379.28,-4875.85,-4875.85,892.46,57.66,0.0,0.0,-5.46,-5.46,212839.92,99236.26,10.69,5.29,-0.57,0.0,0.0,0.0,0.0,0.0
2018-09-30,38326.5,19080.46,229.26,1157.26,7814.5,37887.79,9696.37,6679.52,12344.3,12092.17,1560.55,1812.68,867.81,944.87,944.87,892.46,57.7,0.0,0.0,1.06,1.06,205864.12,94809.98,9.95,4.84,0.11,0.0,0.0,0.0,0.0,0.0
2018-12-31,41820.5,18824.41,306.31,1325.39,8035.23,39585.62,11171.93,6929.34,12624.95,6006.22,0.0,6618.73,2663.92,3954.81,3954.81,892.46,57.7,0.0,0.0,4.43,4.43,187764.57,80943.51,8.71,3.95,0.45,0.0,0.0,0.0,0.0,0.0
2019-03-31,42627.75,17913.78,398.91,2044.94,12685.12,40031.55,10477.99,8227.87,16933.09,16501.89,0.0,431.2,-407.2,838.4,838.4,892.46,57.13,0.0,0.0,0.94,0.94,172750.36,65894.74,7.53,3.01,0.09,0.0,0.0,0.0,0.0,0.0
2019-06-30,43863.4,16955.08,390.19,1429.14,8015.42,39699.02,10918.09,6789.96,13246.16,9182.94,0.0,4063.22,1751.02,2312.2,2312.2,892.46,57.13,0.0,0.0,2.59,2.59,168493.94,65623.86,7.53,3.07,0.25,0.0,0.0,0.0,0.0,0.0
2019-09-30,45242.45,16701.2,844.93,1523.81,8538.39,39712.07,11302.59,7121.66,14714.46,13138.93,3484.3,5059.83,2048.1,3011.73,3011.73,892.46,57.13,0.0,0.0,3.37,3.37,161636.05,59939.22,7.19,2.79,0.33,0.0,0.0,0.0,0.0,0.0
2019-12-31,48063.33,17231.98,736.41,1660.27,9105.92,39913.2,11455.62,7206.53,18222.56,7252.9,0.0,10969.66,5386.3,5583.36,5583.36,892.46,56.92,0.0,0.0,6.26,6.26,159661.19,58248.61,6.94,2.65,0.6,0.0,0.0,0.0,0.0,0.0
2020-03-31,42579.66,17316.46,948.87,1836.41,13346.11,39914.48,12038.67,8340.58,15733.78,13495.08,2731.34,4970.04,1389.23,3580.81,3580.81,892.46,56.92,0.0,0.0,4.01,4.01,149091.85,51871.3,6.15,2.23,0.37,0.0,0.0,0.0,0.0,0.0
2020-06-30,44101.11,18705.48,1794.42,1899.37,7957.48,39858.82,11865.06,6212.63,16521.35,12501.3,1539.73,5559.78,1370.44,4189.34,4189.34,892.46,56.92,0.0,0.0,4.69,4.69,129660.69,42703.63,5.44,1.86,0.42,0.0,0.0,0.0,0.0,0.0
2020-09-30,43377.57,20253.66,508.94,2673.94,8527.69,38632.61,12570.15,7679.28,16459.76,10118.31,0.0,6341.45,1767.29,4574.16,4574.16,892.46,56.92,0.0,0.0,5.13,5.13,125862.99,36450.69,5.28,1.59,0.44,0.0,0.0,0.0,0.0,0.0
2020-12-31,43736.75,20472.07,648.24,1877.44,9246.15,37914.56,13118.01,7614.92,17333.16,10342.39,0.0,6990.77,1794.55,5196.22,5196.22,892.46,56.92,0.0,0.0,5.82,5.82,117244.23,29031.72,4.77,1.23,0.49,0.0,0.0,0.0,0.0,0.0
2021-03-31,40213.71,20376.88,1365.93,3145.12,16225.32,38034.64,13382.78,10209.39,19700.15,11051.03,0.0,8649.12,2198.37,6450.75,6450.75,892.46,56.92,0.0,0.0,7.23,7.23,126389.02,36809.72,4.98,1.5,0.58,0.0,0.0,0.0,0.0,0.0
2021-06-30,41143.53,20369.83,1035.07,3016.0,11802.74,37926.0,12538.29,7928.06,18974.82,10051.96,0.0,8922.86,2418.86,6504.0,6504.0,892.46,56.92,0.0,0.0,7.29,7.29,134259.48,43152.52,5.32,1.77,0.57,0.0,0.0,0.0,0.0,0.0
2021-09-30,42316.89,21074.66,1231.31,4858.63,8207.6,38297.59,12577.8,8734.62,18079.08,188.75,-7418.39,10471.94,2845.37,7626.57,7626.57,892.46,56.92,0.0,0.0,8.55,8.55,123941.77,37118.61,4.9,1.52,0.66,0.0,0.0,0.0,0.0,0.0
2021-12-31,43752.74,21593.07,1187.73,3144.58,8673.42,38990.72,12471.48,8367.7,18521.64,6973.97,0.0,11547.67,3115.79,8431.88,8431.88,892.46,56.92,0.0,0.0,9.45,9.45,120028.77,34539.68,4.5,1.34,0.71,0.0,0.0,0.0,0.0,0.0
2022-03-31,44610.57,21839.64,923.8,3359.24,11880.15,39535.39,12556.03,10805.15,19716.83,7237.45,0.0,12479.38,3365.85,9113.53,9113.53,892.46,56.92,0.0,0.0,10.21,10.21,112023.37,27965.71,3.97,1.02,0.74,0.0,0.0,0.0,0.0,0.0
2022-06-30,46473.53,22439.62,1178.32,2584.9,2312.2,41480.44,12051.41,8704.16,12752.56,4392.38,0.0,8360.18,2292.1,6068.08,6068.08,892.46,56.92,0.0,0.0,6.8,6.8,113271.72,28257.92,3.91,1.0,0.48,0.0,0.0,0.0,0.0,0.0
2022-09-30,52382.94,23669.56,735.91,3071.18,8874.27,44676.15,12867.35,10070.34,21120.02,3038.67,0.0,18081.35,4816.83,13264.52,13264.52,892.46,56.92,0.0,0.0,14.86,14.86,106804.14,23572.19,3.52,0.8,1.04,0.0,0.0,0.0,0.0,0.0
2022-12-31,58865.01,24525.36,732.26,2493.41,11467.73,48547.42,14756.65,9560.42,25219.28,5760.57,0.0,19458.71,5253.37,14205.34,14205.34,892.46,56.92,0.0,0.0,15.92,15.92,96346.5,23484.31,3.14,0.77,1.08,0.0,0.0,0.0,0.0,0.0
2023-03-31,63679.17,25293.73,844.52,3133.64,13961.4,52558.55,17616.43,12116.37,24621.11,3315.71,0.0,21305.4,4610.89,16694.51,16694.51,892.46,56.92,0.0,0.0,18.71,18.71,90927.78,21466.64,2.78,0.67,1.23,0.0,0.0,0.0,0.0,0.0
2023-06-30,67127.94,25006.96,1359.31,2481.24,12063.38,57070.5,16600.67,9070.73,25296.93,2501.31,0.0,22795.62,5911.33,16884.29,16884.29,892.46,56.92,0.0,0.0,18.92,18.92,91327.84,22995.37,2.76,0.71,1.22,0.0,0.0,0.0,0.0,0.0
2023-09-30,70259.53,27002.31,1290.59,2826.37,10790.63,61878.84,18926.39,11947.58,19416.62,115.28,0.0,19301.34,4971.32,14330.02,14330.02,892.46,56.92,0.0,0.0,16.06,16.06,86974.08,21352.4,2.55,0.64,1.01,0.0,0.0,0.0,0.0,0.0
2023-12-31,73516.97,28430.73,1274.53,3511.55,11458.9,66918.05,19361.82,11576.73,20336.08,687.85,-7100.0,12548.23,3384.27,9163.96,9163.96,892.46,56.92,0.0,0.0,10.27,10.27,86748.81,22408.36,2.42,0.64,0.62,0.0,0.0,0.0,0.0,0.0
2024-03-31,77133.8,28200.51,1165.76,4542.56,17369.25,69387.44,16348.1,13928.79,28747.55,1609.78,0.0,27137.77,6439.42,20698.35,20698.35,892.46,56.92,0.0,0.0,23.19,23.19,84276.33,21051.08,2.24,0.57,1.36,0.0,0.0,0.0,0.0,0.0
2024-06-30,78692.57,28265.23,1062.13,3506.05,11161.87,70400.53,15465.97,10372.77,26448.58,3449.42,0.0,22999.16,5964.0,17035.16,17035.16,892.46,56.92,0.0,0.0,19.09,19.09,84226.04,21554.69,2.21,0.57,1.1,0.0,0.0,0.0,0.0,0.0
2024-09-30,81528.57,28023.64,980.89,3337.46,15270.55,72251.02,14807.35,12789.0,29293.74,4505.73,0.0,24788.01,6456.57,18331.44,18331.44,892.46,56.92,0.0,0.0,20.54,20.54,83369.23,20294.32,2.13,0.53,1.17,0.0,0.0,0.0,0.0,0.0
2024-12-31,83399.48,29286.3,1243.9,3496.95,11040.76,75981.12,16073.72,12861.74,23550.81,911.06,0.0,22639.75,5748.31,16891.44,16891.44,892.46,56.92,0.0,0.0,18.93,18.93,84360.38,21377.64,2.07,0.53,1.04,0.0,0.0,0.0,0.0,0.0
2025-03-31,85709.69,29456.17,1129.09,3371.23,24209.88,76891.55,18005.2,17693.27,31286.04,6441.69,0.0,24844.35,6201.76,18642.59,18642.59,892.46,56.92,0.0,0.0,20.89,20.89,76880.2,19666.92,1.82,0.47,1.12,0.0,0.0,0.0,0.0,0.0
