Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2022-03-31,690.96,0.0,690.96,12.99,25.38,0.92,55.55,12.96,0.0,318.82,264.35,25.83,290.18,2.98,287.21,-4.0,283.2,69.42,213.78,213.78,160.0,0.0,2.67,2.67
2022-06-30,852.59,0.0,852.59,19.65,30.49,-0.55,55.33,13.57,0.0,426.72,307.37,24.42,331.78,2.48,329.3,0.0,329.3,83.78,245.52,245.52,160.0,0.0,3.07,3.07
2022-09-30,805.8,0.0,805.8,19.29,25.05,0.18,66.39,18.57,0.0,390.02,286.3,25.99,312.3,4.83,307.46,0.0,307.46,81.43,226.03,226.03,160.0,0.0,2.82,2.82
2022-12-31,918.06,0.0,918.06,19.21,34.13,-0.65,67.72,10.37,0.0,471.85,315.43,30.75,346.19,4.9,341.29,1.35,342.64,87.11,255.53,255.53,160.0,0.0,3.19,3.19
2023-03-31,965.02,0.0,965.02,17.52,31.02,-0.3,56.08,11.22,0.0,536.1,313.39,39.27,352.66,3.9,348.76,25.85,374.6,95.8,278.8,278.8,160.0,0.0,3.48,3.48
2023-06-30,1001.79,0.0,1001.79,19.02,49.53,0.83,66.27,13.69,0.0,523.15,329.3,39.21,368.51,4.13,364.38,-51.9,312.48,80.26,232.22,232.22,160.0,0.0,2.9,2.9
2023-09-30,995.32,0.0,995.32,18.09,39.25,-2.05,63.82,14.0,0.0,509.66,352.56,47.07,399.63,4.42,395.21,0.0,395.21,100.53,294.68,294.68,160.0,0.0,3.68,3.68
2023-12-31,1118.3,0.0,1118.3,18.14,50.43,0.56,75.18,13.9,0.0,580.03,380.07,45.56,425.63,4.75,420.87,-14.51,406.36,106.36,300.0,300.0,160.0,0.0,3.75,3.75
2024-03-31,1154.77,0.0,1154.77,16.74,35.75,-0.86,83.78,15.62,0.0,656.68,347.06,32.63,379.7,5.35,374.35,7.89,382.23,97.87,284.37,284.37,160.0,0.0,3.55,3.55
2024-06-30,1120.15,0.0,1120.15,17.35,71.62,0.65,74.45,13.87,0.0,581.13,361.07,51.35,412.41,2.82,409.59,2.21,411.8,104.12,307.68,307.68,160.0,0.0,3.85,3.85
2024-09-30,1064.0,0.0,1064.0,16.47,45.81,-0.71,76.89,13.11,0.0,552.6,359.82,59.78,419.59,3.08,416.51,0.0,416.51,108.7,307.82,307.82,160.0,0.0,3.85,3.85
2024-12-31,1224.66,0.0,1224.66,16.21,52.55,-1.3,74.19,13.35,0.0,666.07,403.58,56.35,459.93,3.22,456.71,0.0,456.71,115.5,341.21,341.21,160.0,0.0,4.27,4.27
