Date,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,(d) Others,Other Income,Interest Expended,Employees Cost,Other Expenses,Operating Profit before Provisions and contingencies,Provisions And Contingencies,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,a) % of Share by Govt.,b) Capital Adequacy Ratio - Basel -I,c) Capital Adequacy Ratio - Basel -II,Basic EPS,Diluted EPS,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,2547.96,664.01,5.9,103.39,204.87,2298.06,385.74,232.56,609.77,483.91,125.86,66.42,59.44,59.44,1063.18,5988.01,79.8,0.0,12.45,0.56,0.56,7574.86,4708.11,7.86,5.04,0.16,21.48,20.2,84.84,100.0,79.8
2015-09-30,2474.89,706.86,18.32,56.96,246.45,2287.91,366.41,234.99,614.17,418.98,195.19,123.16,72.03,72.03,1063.18,5988.01,79.8,0.0,12.05,0.68,0.68,7986.34,5442.46,7.98,5.59,0.19,21.48,20.2,84.84,100.0,79.8
2015-12-31,2515.83,676.25,11.38,51.71,220.81,2283.74,411.14,239.2,541.9,345.01,196.89,107.83,89.06,89.06,1168.34,5988.01,81.61,0.0,12.38,0.77,0.77,8301.62,5595.73,7.97,5.52,0.24,0.0,0.0,0.0,0.0,0.0
2016-03-31,2396.15,688.08,16.41,118.88,347.16,2304.57,377.69,305.08,579.34,679.51,-100.17,19.67,-119.84,-119.84,1168.33,6323.03,81.61,0.0,12.16,-1.03,-1.03,10385.85,6832.03,9.34,6.35,0.31,0.0,0.0,0.0,0.0,0.0
2016-06-30,2255.14,721.72,39.02,140.38,287.89,2291.77,445.15,248.5,458.73,842.5,-383.77,13.63,-397.4,-397.4,1168.33,6323.03,81.61,0.0,12.53,-3.4,-3.4,13039.63,8609.44,12.64,8.73,1.02,0.0,0.0,0.0,0.0,0.0
2016-09-30,2200.9,642.98,92.25,77.7,283.48,2169.19,446.2,254.64,427.28,708.86,-281.58,55.57,-337.15,-337.15,1168.33,6323.03,81.61,0.0,0.0,-2.89,-2.89,14433.9,9713.13,14.08,9.94,-0.88,0.0,0.0,0.0,0.0,0.0
2016-12-31,2060.75,715.98,83.12,61.66,552.26,2219.37,461.6,277.83,514.97,585.41,-70.44,112.07,-182.51,-182.51,1168.33,6323.03,81.61,0.0,0.0,-1.56,-1.56,15417.65,10358.92,15.08,10.67,-0.45,0.0,0.0,0.0,0.0,0.0
2017-03-31,1953.17,748.79,187.52,80.88,384.44,2206.94,454.34,267.43,426.09,1833.37,-1407.28,-951.83,-455.45,-455.45,1168.33,5004.73,81.61,0.0,0.0,-3.9,-3.9,17188.71,11229.56,16.93,11.76,-1.09,0.0,0.0,0.0,0.0,0.0
2017-06-30,1824.16,720.17,146.46,54.1,464.95,2052.09,391.69,232.58,533.48,1151.6,-618.12,-205.92,-412.2,-412.2,1168.33,5004.73,81.61,0.0,0.0,-3.53,-3.53,18049.23,11259.04,18.59,12.48,-1.03,0.0,0.0,0.0,0.0,0.0
2017-09-30,1875.64,734.73,186.44,137.94,368.87,1971.62,381.43,258.74,691.83,790.92,-99.09,-75.85,-23.24,-23.24,1257.22,5004.73,82.91,0.0,0.0,-0.19,-0.19,17239.27,10990.34,18.54,12.68,-0.06,0.0,0.0,0.0,0.0,0.0
2017-12-31,1757.09,719.69,142.75,104.85,270.17,1871.77,445.52,257.9,419.36,1474.08,-1054.72,-458.02,-596.7,-596.7,1379.94,5004.73,75.54,0.0,0.0,-4.65,-4.65,18128.26,10670.24,19.05,12.17,-1.53,0.0,0.0,0.0,0.0,0.0
2018-03-31,1615.82,787.82,114.03,174.73,402.06,1811.2,399.42,337.11,546.73,2040.58,-1493.85,-1380.34,-113.51,-113.51,2598.45,6215.52,87.01,0.0,0.0,-0.79,-0.79,18433.23,9641.19,19.48,11.24,-0.29,0.0,0.0,0.0,0.0,0.0
2018-06-30,1619.51,817.31,159.13,44.6,346.55,1782.06,473.03,261.69,470.32,1632.88,-1162.56,-43.56,-1119.0,-1119.0,2598.45,0.0,87.01,0.0,0.0,-4.31,-4.31,17800.3,9195.01,21.18,12.2,-2.83,0.0,0.0,0.0,0.0,0.0
2018-09-30,1643.49,975.06,83.58,86.05,404.62,1785.32,348.29,264.85,794.34,857.71,-63.37,-90.37,27.0,27.0,2598.45,6215.52,87.01,0.0,0.0,0.1,0.1,16872.84,8742.86,18.64,10.61,0.07,0.0,0.0,0.0,0.0,0.0
2018-12-31,1663.12,878.66,52.72,51.17,410.7,1773.47,511.78,339.35,431.77,4421.55,-3989.78,-225.52,-3764.26,-3764.26,2598.45,6215.52,87.01,0.0,0.0,-14.31,-14.31,15509.36,4646.9,17.31,5.91,-9.62,0.0,0.0,0.0,0.0,0.0
2019-03-31,1640.52,1018.58,60.99,55.11,385.59,1775.27,461.07,423.27,501.18,414.79,86.39,14.01,72.38,72.38,2753.17,1613.17,87.74,0.0,0.0,0.13,0.13,15324.49,4559.33,16.4,5.52,0.18,0.0,0.0,0.0,0.0,0.0
2019-06-30,1522.19,1027.84,52.03,170.58,419.24,1775.81,429.98,327.64,658.45,920.72,-262.27,-343.36,81.09,81.09,5824.11,1613.17,92.49,0.0,0.0,0.14,0.14,16649.58,4856.27,17.9,5.98,0.2,0.0,0.0,0.0,0.0,0.0
2019-09-30,1616.41,-1954.09,58.06,3179.86,395.67,1826.86,396.79,320.48,751.78,359.23,392.55,277.89,114.66,114.66,5824.11,1613.17,92.49,0.0,0.0,0.2,0.2,15408.51,4406.56,16.86,5.48,0.27,0.0,0.0,0.0,0.0,0.0
2019-12-31,1692.97,1097.69,44.27,181.34,442.32,1830.18,436.41,350.24,841.76,917.42,-75.66,-210.92,135.26,135.26,5824.11,1613.17,92.49,0.0,0.0,0.23,0.23,15745.54,4506.85,16.77,5.46,0.31,0.0,0.0,0.0,0.0,0.0
2020-03-31,1577.7,989.04,86.62,152.94,392.0,1783.8,480.64,338.79,595.07,910.11,-315.04,-372.61,57.57,57.57,5824.11,3666.65,92.49,0.0,0.0,0.1,0.1,12152.15,4145.38,12.81,4.77,0.13,0.0,0.0,0.0,0.0,0.0
2020-06-30,1691.08,996.85,162.76,45.55,368.57,1808.32,486.01,260.41,710.07,608.94,101.13,0.11,101.02,101.02,5824.11,3666.65,92.49,0.0,0.0,0.17,0.17,10558.53,3677.39,10.93,4.1,0.22,0.0,0.0,0.0,0.0,0.0
2020-09-30,1707.72,1051.0,65.66,43.45,451.18,1747.41,450.92,314.95,805.73,420.92,384.81,254.74,130.07,130.07,6560.16,3666.65,93.33,0.0,0.0,0.21,0.21,9105.44,3219.9,8.81,3.3,0.28,0.0,0.0,0.0,0.0,0.0
2020-12-31,1878.22,1031.61,54.84,42.17,570.16,1700.73,623.8,350.28,902.19,497.74,404.45,250.38,154.07,154.07,6560.16,3666.65,93.33,0.0,0.0,0.23,0.23,8072.43,2579.6,7.69,2.59,0.34,0.0,0.0,0.0,0.0,0.0
2021-03-31,1876.91,1073.95,31.81,114.96,1235.36,1714.61,694.48,384.21,1539.69,1310.76,228.93,63.85,165.08,165.08,6560.16,4400.4,93.33,0.0,0.0,0.25,0.25,7779.68,2544.32,7.23,2.48,0.35,0.0,0.0,0.0,0.0,0.0
2021-06-30,1952.37,1086.73,28.0,36.45,690.98,1697.63,496.99,489.51,1110.4,650.44,459.96,251.95,208.01,208.01,6560.16,4400.4,93.33,0.0,0.0,0.32,0.32,7021.63,2352.75,6.35,2.22,0.41,0.0,0.0,0.0,0.0,0.0
2021-09-30,1941.28,1119.45,10.58,135.97,492.81,1707.71,566.84,364.85,1060.69,515.6,545.09,281.42,263.67,263.67,6730.5,440.0,90.97,0.0,0.0,0.39,0.39,6403.17,1910.31,5.56,1.73,0.53,0.0,0.0,0.0,0.0,0.0
2021-12-31,2105.69,1103.61,32.29,40.49,611.15,1755.19,524.31,451.26,1162.47,752.32,410.15,85.52,324.63,324.63,6730.5,4400.4,90.97,0.0,0.0,0.48,0.48,6104.65,1544.91,4.73,1.24,0.6,0.0,0.0,0.0,0.0,0.0
2022-03-31,2232.22,1074.9,19.83,99.36,522.24,1814.29,482.45,472.81,1179.0,365.38,813.62,458.39,355.23,355.23,6730.5,5913.93,90.97,0.0,0.0,0.53,0.53,5327.21,1276.57,3.94,0.97,0.65,0.0,0.0,0.0,0.0,0.0
2022-06-30,2409.51,1001.12,22.01,24.83,316.85,1771.76,389.74,411.06,1201.76,548.41,653.35,201.45,451.9,451.9,6730.5,5577.41,90.97,0.0,0.0,0.67,0.67,5259.62,1206.43,3.74,0.88,0.81,0.0,0.0,0.0,0.0,0.0
2022-09-30,2661.89,1124.72,7.58,20.87,502.3,1928.03,467.01,460.45,1461.87,579.27,882.6,347.54,535.06,535.06,6730.5,5577.41,90.97,0.0,0.0,0.79,0.79,5038.87,986.49,3.4,0.68,0.92,0.0,0.0,0.0,0.0,0.0
2022-12-31,3046.04,1042.59,9.8,30.61,640.74,2149.42,606.22,433.85,1580.29,581.9,998.39,223.36,775.03,775.03,6730.5,5577.41,90.97,0.0,0.0,1.15,1.15,4612.12,715.01,2.94,0.47,1.3,0.0,0.0,0.0,0.0,0.0
2023-03-31,3368.38,1097.01,13.04,16.98,821.86,2308.47,595.31,558.2,1855.29,944.75,910.54,70.5,840.04,840.04,6730.5,7406.94,90.97,0.0,0.0,1.25,1.25,4334.0,435.18,2.47,0.25,1.32,0.0,0.0,0.0,0.0,0.0
2023-06-30,3672.51,1082.4,16.59,17.11,628.84,2448.89,665.53,439.81,1863.22,776.11,1087.11,205.03,882.08,882.08,7081.37,7406.94,86.46,0.0,0.0,1.29,1.29,4006.73,413.87,2.28,0.24,1.33,0.0,0.0,0.0,0.0,0.0
2023-09-30,3864.34,1169.36,15.99,18.24,667.59,2635.93,675.8,503.37,1920.42,984.79,935.63,15.85,919.78,919.78,7081.37,7406.94,86.46,0.0,0.0,1.3,1.3,4016.97,410.46,2.19,0.23,1.37,0.0,0.0,0.0,0.0,0.0
2023-12-31,4025.56,1110.09,17.55,18.25,679.89,2705.69,646.5,487.07,2012.08,942.66,1069.42,33.91,1035.51,1035.51,7081.37,0.0,88.46,0.0,0.0,1.46,1.46,3858.22,405.03,2.04,0.22,1.55,0.0,0.0,0.0,0.0,0.0
2024-03-31,4263.83,1098.91,85.64,18.32,1021.55,2882.33,850.3,546.0,2209.62,942.3,1267.32,49.65,1217.67,1217.67,7081.37,0.0,86.46,0.0,0.0,1.72,1.72,3833.05,408.99,1.88,0.2,1.73,0.0,0.0,0.0,0.0,0.0
2024-06-30,4457.67,1300.57,96.48,19.92,893.93,3075.54,899.94,498.79,2294.3,950.47,1343.83,50.34,1293.49,1293.49,7081.37,0.0,86.46,0.0,0.0,1.83,1.83,3872.76,414.7,1.85,0.2,1.72,0.0,0.0,0.0,0.0,0.0
2024-09-30,4683.74,1313.02,10.13,10.49,791.8,3210.62,811.64,584.95,2201.97,822.12,1379.85,53.08,1326.77,1326.77,7081.37,0.0,86.46,0.0,0.0,1.87,1.87,4009.84,432.53,1.84,0.2,1.74,0.0,0.0,0.0,0.0,0.0
2024-12-31,4916.93,1366.99,31.01,9.72,787.78,3381.38,849.68,578.36,2303.01,840.7,1462.31,55.86,1406.45,1406.45,7691.55,0.0,79.6,0.0,0.0,1.83,1.83,4124.3,442.77,1.8,0.2,1.78,0.0,0.0,0.0,0.0,0.0
2025-03-31,5233.17,1379.85,65.01,52.75,980.66,3614.35,880.97,696.38,2519.74,983.25,1536.49,43.41,1493.08,1493.08,7691.55,18903.46,79.6,0.0,0.0,1.94,1.94,4184.52,431.78,1.74,0.18,1.78,0.0,0.0,0.0,0.0,0.0
