Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,"Stores, Spares And Loose Tools",Capital Goods,Expenditure In Foreign Currency,Other Earnings,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Deferred Tax Liabilities [Net],Equity Share Application Money,Long Term Borrowings,Short Term Borrowings,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,Trade/Other Goods
2015-03-31,320.94,320.94,683.15,683.15,1004.09,723.7,4.67,728.37,108.59,208.28,8.42,325.29,2057.75,592.67,3.44,167.74,763.85,10.0,3.5,18.18,191.8,987.33,0.0,1.17,167.9,672.41,149.57,79.37,1070.42,2057.75,171.84,0.0,28.23,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,320.94,320.94,736.74,736.74,1057.68,544.94,0.46,580.46,130.12,396.96,44.73,571.81,2209.95,708.15,2.38,287.74,998.27,10.0,0.0,13.83,139.61,1161.71,0.0,0.59,257.77,559.76,143.76,86.36,1048.24,2209.95,559.87,0.0,0.0,56.11,0.0,10.0,0.0,35.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,320.94,320.94,836.39,836.39,1157.33,349.58,0.46,369.68,217.44,539.8,21.43,778.67,2305.68,689.26,4.64,359.72,1053.62,10.0,0.0,3.71,69.14,1136.47,0.0,0.22,368.05,603.93,1.15,195.86,1169.21,2305.68,1680.26,0.0,7.89,0.05,0.0,10.0,0.0,19.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,320.94,320.94,928.45,928.45,1249.39,351.04,1.85,361.66,274.07,335.04,38.36,647.47,2258.52,684.35,3.64,364.17,1052.16,10.0,0.0,3.77,98.86,1164.79,0.0,0.0,454.99,444.84,2.52,191.38,1093.73,2258.52,550.28,0.0,1.55,0.21,0.0,10.0,0.0,8.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,320.94,320.94,962.79,962.79,1283.73,125.41,4.68,147.03,263.7,424.37,36.71,724.78,2155.54,785.9,3.96,299.9,1089.76,10.0,0.0,3.47,31.64,1134.87,7.04,0.87,456.99,334.57,4.3,216.9,1020.67,2155.54,542.25,0.0,0.0,0.03,0.0,10.0,7.04,16.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,320.94,320.94,1040.34,1040.34,1361.28,150.03,9.9,163.46,353.97,357.33,20.08,731.38,2256.12,781.34,7.85,252.54,1041.73,10.0,0.0,3.32,237.36,1292.41,0.0,0.49,474.98,170.2,4.69,313.35,963.71,2256.12,274.58,0.0,0.0,0.15,0.0,10.0,0.0,3.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,320.94,320.94,1081.79,1081.79,1402.73,158.65,9.77,168.42,520.78,511.36,12.91,1045.05,2616.2,746.71,13.07,214.84,974.62,10.0,24.23,4.82,59.03,1072.7,0.0,1.21,761.44,520.22,5.17,255.46,1543.5,2616.2,114.87,1.98,6.05,0.04,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,320.94,320.94,1195.08,1195.08,1516.02,123.04,9.45,132.49,482.56,600.4,27.94,1110.9,2759.41,766.44,8.41,163.94,938.79,10.0,25.02,0.0,357.24,1331.05,30.05,0.94,666.47,276.17,0.32,454.41,1428.36,2759.41,366.76,0.0,1.95,0.82,0.0,10.0,30.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,320.94,320.94,1315.56,1315.56,1636.5,167.3,8.64,175.94,564.74,857.46,31.15,1453.35,3265.79,815.79,5.48,156.93,978.2,10.0,31.21,0.0,233.51,1252.92,40.07,0.92,1032.57,239.86,0.21,699.24,2012.87,3265.79,1068.11,0.0,6.12,0.0,0.0,0.0,40.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,320.94,320.94,1506.3,1506.3,1827.24,128.49,0.0,128.49,770.52,1255.25,68.08,2093.85,4049.58,907.35,5.98,129.59,1042.92,0.0,45.3,0.0,437.2,1525.42,90.29,3.01,1267.79,485.15,0.15,677.77,2524.16,4049.58,1668.0,0.0,5.62,0.08,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,320.94,320.94,1678.68,1678.68,1999.62,222.09,0.0,222.09,1429.75,1423.45,86.3,2939.5,5161.21,1067.56,13.3,123.71,1204.57,0.0,66.15,0.0,104.05,1374.77,39.23,0.01,1581.36,526.38,0.34,1639.12,3786.44,5161.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
