Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2019-12-31,173.86,0.0,173.86,37.17,0.0,0.0,39.9,23.96,83.64,-10.81,58.1,47.29,36.62,10.67,0.0,10.67,-35.73,46.4,46.4,754.96,0.61,0.61,0.0,0.0,0.0,0.0,0.0
2020-03-31,167.79,0.0,167.79,34.99,0.0,0.0,39.37,24.66,85.26,-16.49,56.32,39.83,41.81,-1.98,6.38,4.4,-3.72,8.12,8.12,754.96,0.11,0.11,0.0,0.0,0.0,0.0,0.0
2020-06-30,100.56,0.0,100.56,22.86,0.0,0.0,34.6,27.16,53.76,-37.82,53.55,15.73,35.35,-19.62,50.72,31.1,11.2,19.9,19.9,754.96,0.26,0.26,0.0,0.0,0.0,0.0,0.0
2020-09-30,153.13,0.0,153.13,36.93,0.0,0.0,33.72,27.59,67.56,-12.67,54.5,41.83,36.12,5.71,0.0,5.71,1.56,4.15,4.15,754.96,0.06,0.06,0.0,0.0,0.0,0.0,0.0
2020-12-31,184.36,0.0,184.36,44.6,0.0,0.0,39.44,28.1,73.22,-1.0,56.55,55.55,35.82,19.73,12.68,32.41,11.16,21.25,21.25,754.96,0.28,0.28,0.0,0.0,0.0,0.0,0.0
2021-03-31,194.82,0.0,194.82,46.19,0.0,0.0,39.89,27.93,112.18,-31.37,27.38,-3.99,34.16,-38.15,-6.94,-45.09,-3.99,-41.1,-41.1,754.96,-0.54,-0.54,0.0,0.0,0.0,0.0,0.0
2021-06-30,203.52,0.0,203.52,0.0,56.16,-4.85,40.95,27.93,86.44,-3.11,33.49,30.38,32.72,-2.34,0.0,-2.34,-0.61,-1.73,-1.73,754.96,-0.02,-0.02,0.0,0.0,0.0,0.0,0.0
2021-09-30,220.87,0.0,220.87,0.0,50.47,1.92,37.36,27.98,98.24,4.9,33.45,38.35,32.06,6.29,0.0,6.29,2.12,4.17,4.17,754.96,0.05,0.05,0.0,0.0,0.0,0.0,0.0
2021-12-31,227.96,0.0,227.96,0.0,51.2,0.37,38.8,28.23,99.27,10.09,35.05,45.14,31.56,13.58,0.0,13.58,5.03,8.55,8.55,754.96,0.11,0.11,0.0,0.0,0.0,0.0,0.0
2022-03-31,210.26,0.0,210.26,0.0,51.47,-2.45,37.12,28.49,104.74,-9.11,32.11,23.0,33.24,-10.24,-16.28,-26.52,-2.28,-24.24,-24.24,754.96,-0.33,-0.33,0.0,0.0,0.0,0.0,0.0
