Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Current Investments,Capital Goods,Preference Share Capital,Equity Share Application Money,Deferred Tax Liabilities [Net],Foreign Currency Monetary Item Translation Difference A/C,Government/Other Grants,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods
2014-03-31,462.79,462.79,3246.8,3246.8,0.0,3709.58,1251.66,33.43,8.09,1293.18,0.0,51.03,96.55,9.19,156.77,5159.53,139.32,6.83,121.35,0.0,267.5,2102.68,0.2,593.22,23.79,2987.39,4.72,87.29,26.29,1163.64,197.73,2172.14,5159.53,709.59,60.06,48.83,2102.68,692.46,692.46,30.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,462.81,462.81,3216.7,3216.7,0.0,3679.51,597.33,23.36,11.41,632.1,0.0,96.94,738.44,12.22,847.59,5159.2,144.34,45.78,169.0,0.0,359.12,2102.73,0.0,640.91,57.0,3159.76,7.24,105.06,6.29,1360.06,212.4,1999.45,5159.2,548.97,66.87,51.51,2102.73,308.4,308.4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,463.13,463.13,3145.14,3145.14,0.0,3608.27,615.72,23.93,12.67,652.33,428.82,116.04,91.55,12.37,648.78,4909.37,126.57,45.12,177.54,0.0,349.23,2415.5,0.0,906.38,36.94,3708.05,5.83,102.34,9.25,712.21,151.7,1201.32,4909.37,614.71,39.7,54.97,2415.5,220.0,220.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,517.73,517.73,3754.14,3754.14,0.0,4271.86,183.11,0.0,10.37,193.48,441.75,140.27,100.66,12.96,695.64,5160.98,141.82,43.82,192.6,6.4,384.64,3602.67,67.0,697.97,71.24,4823.53,5.58,75.54,5.69,74.7,175.93,337.46,5160.98,1901.79,0.0,0.0,3602.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,518.66,518.66,3708.16,3708.16,0.0,4226.82,231.61,0.0,11.27,242.89,194.48,145.77,192.35,13.36,545.96,5015.67,168.22,34.73,159.34,7.07,369.37,3657.7,63.41,460.97,64.93,4616.37,6.95,70.96,88.91,123.54,108.94,399.3,5015.67,1113.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,754.95,754.95,7581.91,7581.91,26.38,8363.24,319.72,26.88,11.5,358.1,1100.98,195.5,89.33,13.13,1398.94,10120.29,147.96,32.05,157.78,7.08,344.87,8309.88,54.63,983.47,63.9,9756.75,5.98,83.66,32.73,30.16,211.0,363.53,10120.29,1786.67,1.11,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,754.96,754.96,8120.61,8120.61,0.9,8876.47,621.35,600.58,13.95,1235.88,83.76,212.09,158.14,14.53,468.51,10580.86,871.1,35.1,29.18,3.64,939.03,8153.11,74.53,991.32,64.15,10222.14,10.18,81.35,3.95,18.0,245.24,358.72,10580.86,1424.67,4.84,8.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,754.96,754.96,8126.57,8126.57,0.0,8881.53,663.78,550.4,13.92,1228.11,85.35,214.45,142.75,29.95,472.51,10582.14,812.49,40.34,6.32,0.42,859.57,8898.47,66.65,309.73,62.28,10196.7,8.79,63.43,3.51,13.56,296.15,385.44,10582.14,1592.59,1.06,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,754.96,754.96,8113.61,8113.61,0.0,8868.56,585.52,491.33,18.05,1094.9,56.81,276.62,106.43,22.89,462.74,10426.21,732.7,37.58,6.33,0.0,776.61,8845.29,64.54,224.93,109.15,10020.52,13.8,75.69,1.07,0.0,315.13,405.69,10426.21,1618.27,1.06,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,754.96,754.96,8208.58,8208.58,0.0,8963.54,281.58,344.96,21.62,648.16,88.2,415.63,231.17,21.98,756.98,10368.67,457.74,34.12,2.67,0.0,494.53,8847.6,57.06,146.16,133.21,9678.55,12.87,97.36,1.03,0.0,578.86,690.12,10368.67,1621.52,0.02,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,754.96,754.96,8332.21,8332.21,0.0,9087.16,254.05,259.9,25.66,539.62,61.55,518.55,157.82,22.22,760.13,10386.91,434.75,32.56,259.38,0.82,727.52,8834.04,38.1,16.05,129.71,9745.42,12.93,131.22,119.95,160.99,216.41,641.5,10386.91,300.9,21.46,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
