Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Expenditure In Foreign Currency,Long Term Borrowings,Raw Materials,"Stores, Spares And Loose Tools",Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Short Term Borrowings,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments,Trade/Other Goods,Capital Goods
2014-03-31,63.6,63.6,2798.88,2798.88,2862.48,287.14,169.16,274.33,730.63,64.77,167.08,120.03,351.88,3944.98,1860.69,1.68,11.18,0.0,0.0,1873.56,260.35,0.0,513.3,0.0,2647.21,47.16,51.81,41.84,1148.72,8.24,1297.77,3944.98,1057.15,0.02,0.0,60.42,107.05,200.05,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,63.6,63.6,3177.97,3177.97,3241.57,207.88,180.79,239.87,628.53,51.49,140.07,120.32,311.87,4181.98,1754.72,1.5,45.91,0.0,0.0,1802.13,299.0,0.0,773.29,0.0,2874.42,52.08,81.15,18.69,1155.64,0.0,1307.56,4181.98,944.13,0.0,0.0,60.42,111.57,238.7,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,63.6,63.6,3303.11,3303.11,3366.71,162.47,180.27,336.14,678.88,68.14,173.06,121.58,362.77,4408.37,1750.31,1.31,74.75,0.0,0.0,1826.37,324.16,0.0,657.97,0.0,2808.5,43.53,97.35,32.46,1426.54,0.0,1599.87,4408.37,1387.28,0.0,0.0,60.42,103.42,264.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,63.6,63.6,3905.0,3905.0,3968.6,223.17,85.88,366.97,676.02,96.99,339.98,0.0,436.97,5081.58,1762.95,191.51,21.08,0.0,118.26,2093.8,657.46,0.0,4.44,913.98,3669.68,68.84,119.06,22.29,13.47,1188.24,1411.9,5081.58,1239.38,0.0,0.0,60.42,239.9,212.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,63.6,63.6,4337.11,4337.11,4400.71,149.23,81.06,396.8,627.09,109.87,301.69,0.0,411.56,5439.36,1730.75,321.09,10.67,0.0,92.88,2155.39,863.18,0.0,2.89,979.11,4000.58,72.43,111.17,29.87,13.02,1212.3,1438.78,5439.36,635.63,0.0,0.0,60.42,350.68,205.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,63.6,63.6,4221.91,4221.91,4285.51,119.71,89.66,433.72,643.1,109.6,133.58,0.0,243.18,5171.79,1679.85,357.76,0.76,0.0,91.83,2130.21,426.29,0.0,2.06,1138.41,3696.96,98.13,147.48,19.68,10.74,1198.79,1474.83,5171.79,702.59,0.0,0.0,60.42,260.51,156.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,63.6,63.6,3999.36,3999.36,4062.96,111.36,77.89,474.99,664.25,137.12,159.94,0.0,297.06,5024.28,1613.85,351.77,4.3,0.0,90.59,2060.5,259.45,0.0,1.93,1263.03,3584.9,95.12,139.53,71.16,9.13,1124.45,1439.38,5024.28,830.31,0.0,0.0,60.42,112.58,137.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,63.6,63.6,3937.02,3937.02,4000.62,0.0,59.05,521.02,580.07,173.87,173.43,0.0,347.3,4927.99,1150.91,342.61,5.62,0.0,89.35,1588.49,291.98,54.56,2.77,1348.46,3286.26,98.5,141.31,242.96,7.87,1151.09,1641.73,4927.99,898.35,0.0,0.0,60.42,181.21,101.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,63.6,63.6,4667.54,4667.54,4731.14,81.27,55.3,589.94,726.51,209.25,212.92,0.0,422.17,5879.82,1092.01,328.24,11.6,11.33,88.11,1531.3,587.06,0.0,6.38,2107.04,4231.77,89.81,204.92,66.16,3.03,1284.13,1648.05,5879.82,1139.95,0.0,0.0,60.42,455.88,122.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,63.6,63.6,5695.81,5695.81,5759.41,50.71,16.28,561.78,628.77,203.29,264.99,25.49,493.76,6881.95,1048.56,315.44,11.56,11.45,86.88,1473.9,479.18,0.0,5.74,2928.68,4887.49,106.98,188.98,75.62,3.0,1619.88,1994.46,6881.95,1182.84,0.0,0.0,60.42,308.76,161.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,63.6,63.6,6009.78,6009.78,6073.38,46.82,68.03,585.3,700.15,271.79,253.57,24.91,550.27,7323.81,1021.06,443.04,104.67,186.64,85.64,1841.05,553.07,0.0,5.81,2341.23,4741.16,106.48,101.27,488.24,5.01,1881.65,2582.65,7323.81,1724.15,0.0,0.0,60.42,387.69,156.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
