Date,Net Sales/Income from operations,Total Income From Operations,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2016-09-30,241.53,241.53,-3.23,1.94,26.68,33.54,150.47,32.15,58.38,90.53,0.3,90.23,0.0,90.23,17.37,72.86,0.0,72.86,63.6,2.29,2.29,8.27,26.0,23.53,100.0,74.0
2016-12-31,370.33,370.33,-11.52,7.48,26.62,42.41,281.6,23.74,44.58,68.32,0.37,67.95,0.0,67.95,21.41,46.54,0.0,46.54,63.6,1.46,1.46,8.27,26.0,23.53,100.0,74.0
2017-03-31,525.49,525.49,-12.36,27.01,23.41,43.55,338.84,105.03,27.87,132.9,0.37,132.53,0.0,132.53,42.52,90.01,0.0,90.01,63.6,2.83,2.83,8.27,26.0,23.53,100.0,74.0
2017-06-30,608.41,608.41,-0.93,0.0,26.64,38.62,374.09,169.99,0.61,170.6,0.38,170.22,0.0,170.22,27.29,142.93,0.0,142.93,63.6,4.49,4.49,0.0,0.0,0.0,0.0,0.0
2017-09-30,370.28,370.28,-2.85,0.0,28.4,36.87,219.39,88.48,6.78,95.25,0.39,94.86,0.0,94.86,-18.19,113.05,0.0,113.05,63.6,3.55,3.55,0.0,0.0,0.0,0.0,0.0
2017-12-31,528.52,528.52,0.28,0.0,47.2,37.59,327.25,116.2,3.53,119.73,0.47,119.26,0.0,119.26,40.7,78.56,0.0,78.56,63.6,2.47,2.47,0.0,0.0,0.0,0.0,0.0
2018-03-31,635.06,635.06,-0.44,0.0,87.51,-1.42,413.36,136.05,36.92,172.97,0.38,172.59,0.0,172.59,72.52,100.07,0.0,100.07,63.6,3.15,3.15,0.0,0.0,0.0,0.0,0.0
2018-06-30,672.36,672.36,-4.55,0.0,33.17,27.54,361.6,254.6,2.03,256.63,0.38,256.25,0.0,256.25,69.5,186.76,0.0,186.76,63.6,5.87,5.87,0.0,0.0,0.0,0.0,0.0
2018-09-30,325.98,325.98,-6.68,0.0,33.54,17.39,191.5,90.23,6.0,96.22,0.4,95.83,-297.65,-201.82,20.55,-222.38,0.0,-222.38,63.6,-6.99,-6.99,0.0,0.0,0.0,0.0,0.0
2018-12-31,438.56,438.56,-6.03,0.0,33.14,23.13,322.23,66.1,7.17,73.27,0.4,72.87,0.0,72.87,22.5,50.37,0.0,50.37,63.6,1.58,1.58,0.0,0.0,0.0,0.0,0.0
2019-03-31,560.44,560.44,10.95,0.0,22.44,28.08,328.04,170.93,9.73,180.66,0.66,180.0,0.0,180.0,55.96,124.04,0.0,124.04,63.6,3.9,3.9,0.0,0.0,0.0,0.0,0.0
2019-06-30,537.27,537.27,6.15,0.0,32.33,23.48,352.66,122.66,2.16,124.82,0.39,124.43,0.0,124.43,28.57,95.86,0.0,95.86,63.6,3.01,3.01,0.0,0.0,0.0,0.0,0.0
2019-09-30,298.83,298.83,-3.3,0.0,40.42,22.14,199.74,39.83,5.06,44.89,0.39,44.5,0.0,44.5,5.87,38.63,0.0,38.63,63.6,1.21,1.21,0.0,0.0,0.0,0.0,0.0
2019-12-31,372.76,372.76,-2.06,0.0,36.13,22.42,292.51,23.77,6.28,30.05,0.38,29.67,0.0,29.67,1.38,28.3,0.0,28.3,63.6,0.89,0.89,0.0,0.0,0.0,0.0,0.0
2020-03-31,463.02,463.02,0.83,0.0,35.61,23.54,344.33,58.72,4.41,63.12,0.73,62.39,0.0,62.39,22.5,39.9,0.0,39.9,63.6,1.25,1.25,0.0,0.0,0.0,0.0,0.0
2020-06-30,273.11,273.11,1.03,0.0,33.5,21.99,206.0,10.6,2.59,13.19,0.46,12.72,0.0,12.72,-123.93,136.65,0.0,136.65,63.6,4.3,4.3,0.0,0.0,0.0,0.0,0.0
2020-09-30,235.12,235.12,0.72,0.0,34.11,21.85,170.59,7.86,2.22,10.08,0.53,9.54,0.0,9.54,-2.4,11.95,0.0,11.95,63.6,0.38,0.38,0.0,0.0,0.0,0.0,0.0
2020-12-31,358.39,358.39,1.37,0.0,35.87,22.72,330.0,-31.57,11.04,-20.53,0.49,-21.01,0.0,-21.01,-17.19,-3.82,0.0,-3.82,63.6,-0.12,-0.12,0.0,0.0,0.0,0.0,0.0
2021-03-31,601.49,601.49,-5.37,0.0,27.38,27.65,510.62,41.2,6.57,47.78,0.48,47.3,-396.59,-349.3,-164.05,-185.24,0.0,-185.24,63.6,-5.83,-5.83,0.0,0.0,0.0,0.0,0.0
2021-06-30,498.33,498.33,3.04,0.0,30.5,20.84,433.25,10.71,34.15,44.86,0.51,44.35,0.0,44.35,6.84,37.51,0.0,37.51,63.6,1.18,1.18,0.0,0.0,0.0,0.0,0.0
2021-09-30,451.88,451.88,-1.68,0.0,31.9,20.03,394.33,7.3,42.42,49.72,0.54,49.19,0.0,49.19,8.05,41.13,0.0,41.13,63.6,1.29,1.29,0.0,0.0,0.0,0.0,0.0
2021-12-31,724.58,724.58,4.15,0.0,33.38,21.23,484.96,180.87,39.29,220.16,0.53,219.63,0.0,219.63,69.78,149.85,0.0,149.85,63.6,4.71,4.71,0.0,0.0,0.0,0.0,0.0
2022-03-31,1091.48,1091.48,0.55,0.0,37.12,35.88,599.96,417.97,5.45,423.42,0.56,422.86,0.0,422.86,247.08,175.79,0.0,175.79,63.6,5.53,5.53,0.0,0.0,0.0,0.0,0.0
2022-06-30,1196.68,1196.68,-7.5,0.0,39.43,21.45,682.31,460.99,6.05,467.04,0.57,466.47,0.0,466.47,121.57,344.9,0.0,344.9,63.6,10.85,10.85,0.0,0.0,0.0,0.0,0.0
2022-09-30,582.76,582.76,6.2,0.0,35.49,18.81,326.68,195.57,8.95,204.52,0.57,203.96,0.0,203.96,53.35,150.6,0.0,150.6,63.6,4.74,4.74,0.0,0.0,0.0,0.0,0.0
2022-12-31,901.39,901.39,-9.75,0.0,35.77,20.51,493.83,361.04,10.08,371.12,1.73,369.39,0.0,369.39,104.29,265.1,0.0,265.1,63.6,8.34,8.34,0.0,0.0,0.0,0.0,0.0
2023-03-31,951.76,951.76,0.76,0.0,47.76,20.39,502.25,380.6,236.17,616.77,0.58,616.19,0.0,616.19,165.49,450.7,0.0,450.7,63.6,14.17,14.17,0.0,0.0,0.0,0.0,0.0
2023-06-30,765.6,765.6,-5.2,0.0,38.08,19.47,485.97,227.28,61.09,288.37,0.56,287.81,0.0,287.81,72.28,215.53,0.0,215.53,63.6,6.78,6.78,0.0,0.0,0.0,0.0,0.0
2023-09-30,382.74,382.74,7.63,0.0,36.55,18.39,285.46,34.7,77.0,111.71,0.56,111.14,0.0,111.14,34.68,76.46,0.0,76.46,63.6,2.4,2.4,0.0,0.0,0.0,0.0,0.0
2023-12-31,564.27,564.27,-0.46,0.0,37.67,19.86,405.87,101.33,60.24,161.57,0.56,161.01,0.0,161.01,43.53,117.48,0.0,117.48,63.6,3.69,3.69,0.0,0.0,0.0,0.0,0.0
2024-03-31,750.75,750.75,0.54,0.0,35.71,21.01,508.5,184.99,70.64,255.64,1.23,254.4,0.0,254.4,50.28,204.12,0.0,204.12,63.6,6.42,6.42,0.0,0.0,0.0,0.0,0.0
2024-06-30,818.13,818.13,0.85,0.0,38.21,21.39,567.12,190.56,59.72,250.28,0.69,249.59,0.0,249.59,65.02,184.57,0.0,184.57,63.6,5.8,5.8,0.0,0.0,0.0,0.0,0.0
2024-09-30,593.01,593.01,0.34,0.0,39.42,20.92,411.33,121.0,62.23,183.23,0.7,182.53,0.0,182.53,53.35,129.18,0.0,129.18,63.6,4.07,4.07,0.0,0.0,0.0,0.0,0.0
2024-12-31,653.41,653.41,2.91,0.0,38.18,26.43,519.42,66.47,114.58,181.05,0.7,180.35,0.0,180.35,31.63,148.72,0.0,148.72,63.6,4.68,4.68,0.0,0.0,0.0,0.0,0.0
2025-03-31,786.29,786.29,8.94,0.0,33.07,26.63,550.34,167.31,117.03,284.34,0.09,284.25,0.0,284.25,58.86,225.39,0.0,225.39,63.6,7.09,7.09,0.0,0.0,0.0,0.0,0.0
