Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Hybrid/Debt/Other Securities,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Revaluation Reserves,Deferred Tax Liabilities [Net],Capital Goods,Equity Share Application Money,Raw Materials,Preference Share Capital,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools",Trade/Other Goods
2014-03-31,1998.7,1998.7,64727.2,64729.3,0.0,66728.0,0.0,7271.7,3939.4,209.5,12368.1,1251.0,6266.3,10645.4,945.3,19108.0,98204.1,24068.2,15810.0,1244.2,0.0,41122.4,34034.8,0.0,14518.0,1790.1,91465.3,489.1,1.1,2165.5,446.0,2421.8,1215.3,6738.8,98204.1,103187.1,2926.5,86.2,0.0,3503.5,1566.39,30510.0,25816.9,488.1,2.6,2.1,947.5,1614.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,1998.7,1998.7,76272.1,76274.2,0.0,78272.9,0.0,19626.7,4203.6,196.9,25099.3,625.9,7123.2,14067.5,1234.9,23051.5,126423.7,25655.2,27789.2,2656.1,6410.8,62511.3,38395.8,0.0,8838.1,1922.1,111667.3,4721.1,9.4,3311.0,388.7,5394.2,932.0,14756.4,126423.7,118113.1,3017.2,295.8,0.0,3727.4,1566.39,52360.0,30945.0,4755.0,1.7,2.1,1072.1,3722.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,1998.7,1998.7,109730.4,109730.4,0.0,111729.1,0.0,41457.0,2074.4,222.3,45452.1,699.9,11970.6,15057.4,118.9,27846.8,185028.0,31267.3,60658.2,2858.8,971.5,95755.8,69896.5,2307.0,2886.1,2761.6,173607.0,0.8,5.3,3172.4,46.6,4337.6,3858.3,11421.0,185028.0,10790.0,0.0,0.0,0.0,0.0,1566.39,51945.2,20091.1,0.0,0.0,0.0,1698.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,1998.7,1998.7,99208.6,99208.6,0.0,101207.3,0.0,50342.1,4038.8,233.0,54613.9,9752.6,14969.8,10964.9,129.1,35816.4,191637.6,38117.6,73405.2,1181.8,8418.4,121123.0,45959.0,880.8,1038.9,5952.9,174954.6,0.0,3.9,3211.8,173.4,7208.1,6085.8,15310.1,191637.6,27419.4,0.0,0.0,0.0,0.0,1566.39,30296.1,11847.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,1998.7,1998.7,100862.2,100862.2,0.0,102860.9,0.0,54468.1,3784.9,183.0,58436.0,10947.7,17699.0,14867.5,126.2,43640.4,204937.3,47691.1,74918.3,2738.7,2804.0,128152.1,48128.2,1424.4,1029.0,4707.7,183441.4,0.0,6.3,4319.6,545.1,7249.6,9375.3,21495.9,204937.3,31187.0,19654.0,0.0,0.0,4508.8,1566.39,31301.5,14017.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,1998.7,1998.7,96307.2,96307.2,0.0,98305.9,0.0,58612.0,5095.7,192.7,63900.4,25140.5,19124.5,16327.4,108.8,60701.2,222907.5,57009.9,76802.0,5366.2,270.3,139448.4,35910.2,4980.3,15103.2,7950.5,203392.6,1669.6,1.0,3840.3,235.3,1081.5,12687.2,19514.9,222907.5,19352.7,22677.5,0.0,0.0,4592.9,1566.39,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,2727.8,2727.8,98347.2,98347.2,0.0,101075.0,354.2,70471.2,35069.3,191.9,105732.4,11892.0,19247.8,21312.4,40759.0,93211.2,300372.8,89331.4,72347.9,1233.2,25.5,162938.0,30051.8,22701.4,18725.2,7175.1,241591.5,8675.0,3.1,3810.0,3397.6,758.0,42137.6,58781.3,300372.8,12840.4,11969.4,0.0,0.0,4506.0,1566.39,0.0,5.2,0.0,26.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,2746.0,2746.0,74614.1,74614.1,0.0,77360.1,0.0,89908.8,38818.3,220.5,128947.6,4498.9,22295.0,24488.9,20156.6,71439.4,277747.1,90404.5,66983.9,1283.1,23.2,158694.7,48528.7,15838.6,576.4,14036.8,237675.2,3744.3,0.8,3178.2,1036.5,1566.9,30545.2,40071.9,277747.1,27558.8,10767.7,0.0,0.0,4897.0,1566.39,18956.3,20198.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,2795.0,2795.0,76134.8,76134.8,0.0,78929.8,0.0,94325.8,36884.3,230.4,131440.5,9082.3,25164.4,19348.2,20889.3,74484.2,284854.5,91983.8,77938.1,1071.5,1670.8,172664.2,49153.1,16448.6,0.0,8770.8,247036.7,790.4,0.4,2539.0,328.5,4971.0,29188.5,37817.8,284854.5,18344.1,8612.2,0.0,0.0,2947.9,1566.39,14920.7,31737.2,790.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,2836.6,2836.6,75639.3,75639.3,163.3,78639.2,354.2,136230.0,41855.4,253.4,178338.8,4411.0,25998.9,26543.3,21291.8,78245.0,335577.2,104786.3,82622.8,6959.8,33595.9,227964.8,43171.5,14643.9,0.0,9220.0,295000.2,3519.9,0.0,2116.5,1443.0,4176.3,29321.3,40577.0,335577.2,32603.4,10663.5,0.0,0.0,3651.5,1566.39,18479.3,18753.9,3519.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,2876.6,2876.6,97985.3,97985.3,0.0,100861.9,0.0,119499.6,42876.1,284.9,162660.6,6482.6,28753.1,29751.6,23303.5,88290.8,351813.3,119113.0,102604.4,4322.6,7689.1,233729.1,57640.6,12993.8,0.0,9415.4,313778.9,0.0,0.0,2500.3,740.8,4216.2,30577.1,38034.4,351813.3,25890.0,13124.2,0.0,0.0,3647.8,1566.39,37624.2,33223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
