Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Raw Materials,Capital Goods,Deferred Tax Liabilities [Net],Intangible Assets Under Development,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools",Trade/Other Goods
2014-03-31,15.87,15.87,784.19,784.19,800.06,4.02,84.49,12.07,100.58,219.27,366.37,232.15,47.53,865.33,1765.97,309.05,1.25,2.88,0.0,313.65,214.94,3.08,160.75,50.75,743.17,0.0,132.07,341.44,20.94,169.51,358.83,1022.8,1765.97,507.04,26.2,85.45,32.9,13.27,0.0,214.94,0.0,61.05,6.04,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,15.88,15.88,780.43,780.43,796.31,3.17,111.28,12.6,127.05,234.19,405.02,331.77,33.83,1004.81,1928.17,309.1,1.41,7.07,0.0,317.57,233.41,10.99,150.37,93.83,806.17,0.0,187.66,394.67,14.25,122.07,403.34,1122.0,1928.17,570.01,22.2,105.61,22.34,13.27,0.0,233.41,0.0,36.98,15.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,15.88,15.88,788.29,788.29,804.17,2.12,145.59,15.71,163.42,251.72,393.94,294.53,32.15,972.34,1939.93,292.84,3.87,6.13,0.0,302.85,243.41,18.84,147.34,135.88,848.31,0.0,206.22,349.22,20.0,145.84,370.32,1091.61,1939.93,435.57,36.36,123.52,1.02,13.27,0.0,243.41,0.0,39.71,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,15.88,15.88,822.13,822.13,838.01,0.86,101.63,16.39,118.88,187.76,413.89,348.78,37.14,987.57,1944.46,285.16,6.08,3.26,0.5,295.01,238.8,19.17,16.86,271.93,841.76,0.0,259.51,339.97,25.47,93.39,384.35,1102.69,1944.46,289.74,0.0,0.0,0.0,13.27,0.0,238.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,15.88,15.88,879.62,879.62,895.5,35.85,53.88,17.93,107.66,116.9,442.0,463.67,38.38,1060.94,2064.1,275.46,5.38,11.77,0.5,293.1,273.11,23.04,13.17,157.48,759.91,0.0,312.65,381.79,60.74,97.57,451.44,1304.19,2064.1,321.71,0.0,0.0,0.0,13.27,0.0,273.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,15.88,15.88,924.38,924.38,940.26,23.72,42.4,20.67,86.79,123.77,536.98,443.87,41.6,1146.22,2173.27,276.58,3.02,23.75,0.5,303.85,297.92,34.08,10.22,118.62,764.7,0.0,367.03,471.27,35.41,95.0,439.87,1408.57,2173.27,356.28,0.0,0.0,0.0,13.27,0.0,297.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,15.88,15.88,960.79,960.79,976.67,59.21,45.95,20.28,125.45,225.0,450.64,518.61,42.81,1237.06,2339.18,300.5,3.81,48.01,0.5,352.81,291.57,28.78,6.89,153.26,833.3,45.03,419.7,339.06,196.79,113.95,391.37,1505.88,2339.18,329.38,0.0,0.0,0.0,13.27,0.0,291.57,45.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,15.88,15.88,1052.34,1052.34,1068.22,33.75,31.97,19.1,84.83,80.0,468.27,514.38,32.5,1095.15,2248.19,295.1,3.42,71.99,0.5,371.01,336.49,33.07,5.19,150.28,896.03,126.82,374.49,349.19,62.24,112.51,326.9,1352.16,2248.19,326.44,0.0,0.0,0.0,13.27,0.0,336.49,126.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,15.88,15.88,1109.51,1109.51,1125.39,82.47,80.47,20.43,183.37,153.96,452.11,407.95,42.55,1056.57,2365.34,348.51,2.28,21.44,0.5,372.73,311.39,36.58,15.0,129.91,865.61,158.42,419.26,408.8,156.36,0.96,355.93,1499.73,2365.34,242.08,0.0,0.0,0.0,13.27,0.0,311.39,158.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,15.88,15.88,1235.81,1235.81,1251.69,49.25,83.29,20.88,153.42,65.89,454.91,409.38,49.33,979.5,2384.61,331.43,3.59,78.48,0.5,413.99,297.54,47.98,8.15,113.09,880.75,193.74,439.38,369.0,150.05,5.96,345.74,1503.86,2384.61,302.35,0.0,0.0,0.0,13.27,0.0,297.54,193.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,15.88,15.88,1436.34,1436.34,1452.22,0.0,81.32,25.72,107.04,39.13,500.89,407.8,50.17,997.98,2557.24,426.62,2.91,23.68,0.5,453.72,297.54,47.96,3.15,107.07,909.44,229.22,491.83,444.27,154.88,5.95,321.64,1647.8,2557.24,297.77,90.22,0.0,171.37,13.27,0.0,297.54,229.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
