Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Equity Share Application Money,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Preference Share Capital,Long Term Borrowings,Short Term Borrowings,Raw Materials,Capital Goods,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Deferred Tax Liabilities [Net],Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,"Stores, Spares And Loose Tools",Trade/Other Goods
2014-03-31,55.98,55.98,1329.83,1329.83,1385.81,0.14,0.0,34.66,34.66,100.35,48.85,48.25,197.46,1618.07,268.77,44.16,2.6,0.9,316.43,144.7,1.22,101.96,0.0,564.3,40.04,266.45,580.79,74.25,92.24,1053.76,1618.07,156.46,233.69,0.0,1216.98,0.0,45.24,144.7,40.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,56.18,56.18,1524.43,1524.43,1580.61,0.0,0.0,47.26,47.26,85.05,50.22,77.72,212.98,1840.85,264.77,43.84,2.38,0.9,311.89,446.03,0.59,110.44,0.0,868.95,33.61,298.39,442.46,84.25,113.2,971.9,1840.85,241.16,218.46,0.0,1218.12,0.0,45.24,446.03,33.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,56.24,56.24,1626.77,1626.77,1683.01,0.13,0.0,55.02,55.02,119.01,58.95,10.6,188.56,1926.71,258.41,24.12,0.63,0.9,284.06,458.72,5.65,148.58,0.0,897.02,79.05,280.24,495.63,74.93,99.86,1029.7,1926.71,696.38,206.45,0.0,1171.5,0.0,45.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,56.3,56.3,1825.9,1825.9,1882.2,0.0,0.0,64.2,64.2,132.1,77.4,7.4,216.9,2163.3,231.3,24.3,9.2,7.1,271.9,460.5,2.6,10.6,149.8,895.4,92.5,295.0,653.9,15.3,211.2,1267.9,2163.3,1412.8,229.3,0.0,0.0,1207.1,45.24,460.5,0.0,92.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,56.3,56.3,2005.1,2005.1,2061.4,0.0,0.0,70.1,70.1,193.3,69.2,7.1,269.6,2401.1,225.2,29.2,21.3,25.1,300.8,463.9,16.7,12.7,109.2,903.3,113.0,415.1,726.6,26.7,216.4,1497.8,2401.1,1032.0,176.5,0.0,0.0,1326.6,45.24,463.9,0.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,55.2,55.2,2181.3,2181.3,2236.5,0.0,0.0,86.3,86.3,196.3,51.3,9.7,257.3,2580.1,246.0,20.4,28.7,46.8,341.9,510.1,19.4,49.1,97.9,1018.4,27.8,507.9,712.7,32.0,281.3,1561.7,2580.1,1146.2,181.6,0.0,0.0,1457.7,44.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,55.0,55.0,2043.3,2043.3,2098.3,0.0,101.4,83.4,184.8,258.4,114.9,16.3,389.6,2672.7,407.3,28.2,1.4,61.3,498.2,510.7,27.4,100.2,101.7,1238.2,0.0,565.8,583.7,43.6,241.4,1434.5,2672.7,1134.0,95.0,0.0,0.0,1328.0,44.19,510.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,55.0,55.0,2342.2,2342.2,2397.2,0.7,82.0,95.6,177.6,275.2,168.2,20.0,463.4,3038.9,354.5,17.8,3.6,73.4,449.3,500.8,20.4,98.4,89.6,1158.5,0.0,429.7,1154.3,67.1,229.3,1880.4,3038.9,1317.8,54.0,0.0,0.0,1118.0,44.19,500.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,55.2,55.2,2543.5,2543.5,2598.7,0.0,88.9,105.2,194.1,259.8,112.6,21.0,393.4,3186.2,362.5,14.8,7.0,0.0,384.3,804.7,20.3,111.1,114.9,1435.3,86.6,458.9,874.9,54.0,276.5,1750.9,3186.2,1128.5,58.7,0.0,0.0,1388.3,44.19,589.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,55.3,55.3,2647.6,2647.6,2702.9,0.0,102.8,100.4,203.2,312.2,138.7,40.9,491.8,3397.9,385.8,88.5,0.2,0.0,474.5,1337.6,33.9,119.6,56.8,2022.4,171.8,707.5,115.3,54.3,326.6,1375.5,3397.9,1786.5,97.1,0.0,0.0,1778.6,44.19,1151.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,55.5,55.5,2878.8,2878.8,2934.3,0.0,96.1,120.9,217.0,345.2,101.5,38.7,485.4,3636.7,376.7,76.7,0.7,0.0,454.1,1382.0,32.8,74.7,56.5,2000.1,66.8,939.8,188.3,58.9,382.8,1636.6,3636.7,83.6,93.2,0.0,0.0,1967.5,44.19,756.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,55.5,55.5,3711.4,3711.4,3766.9,0.0,53.9,136.8,190.7,114.2,171.9,37.3,323.4,4281.0,336.8,53.4,1.6,0.0,391.8,1442.6,32.2,101.6,56.2,2024.4,165.4,984.8,652.8,128.5,325.1,2256.6,4281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
