Date,Equity Share Capital,Total Share Capital,Revaluation Reserves,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Deferred Tax Assets [Net],Preference Share Capital,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,77.01,77.01,7.33,2441.73,2449.07,2526.08,916.31,234.21,276.68,27.14,1454.35,163.1,154.74,500.19,68.66,886.7,4867.12,1861.22,3.63,141.67,0.0,0.0,2006.52,352.03,191.41,30.07,2580.02,981.97,515.11,74.71,501.08,81.06,133.17,2287.1,4867.12,221.78,141.34,71.19,0.0,27.65,339.04,73.85,613.62,404.8,20.17,4.21,0.0,10.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,77.01,77.01,7.2,2539.9,2547.1,2624.11,1101.78,242.94,353.17,31.17,1729.06,140.83,188.09,235.47,73.7,638.09,4991.26,1920.67,1.9,122.7,0.0,0.0,2045.27,362.54,224.24,29.08,2661.12,955.36,552.11,88.13,466.77,103.68,164.09,2330.14,4991.26,281.97,110.95,61.13,0.0,27.65,342.57,153.38,220.98,753.31,25.91,10.55,0.44,29.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,77.01,77.01,0.0,2632.22,2632.22,2709.22,794.9,272.61,361.8,33.08,1462.39,142.76,159.26,606.25,74.19,982.47,5154.08,2024.38,0.55,63.25,0.0,0.0,2088.17,201.17,266.53,38.1,2593.97,1256.23,567.14,94.24,362.24,106.5,173.76,2560.11,5154.08,281.35,131.22,40.29,0.0,27.65,315.39,9.14,65.82,1192.4,48.15,4.55,0.48,66.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,77.01,77.01,0.0,3097.12,3097.12,3174.13,1835.33,160.24,428.23,29.28,2453.08,21.39,193.55,558.16,16.91,790.01,6417.21,2007.57,3.68,58.67,1.92,1.0,2072.85,2593.96,3.46,142.55,4812.82,332.37,490.33,89.49,300.72,1.54,389.94,1603.11,6417.21,63.67,0.0,0.0,0.0,27.65,0.0,2365.16,0.0,332.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,77.01,77.01,0.0,4051.44,4051.44,4128.45,1712.15,334.28,484.62,28.13,2559.17,36.76,309.25,621.4,10.4,977.81,7665.43,3041.75,9.13,94.85,2.36,1.1,3149.2,2648.09,3.01,116.95,5917.24,412.75,528.41,158.95,200.08,1.35,446.64,1747.76,7665.43,56.31,109.05,0.0,59.57,27.65,0.0,2389.72,0.0,312.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,77.01,77.01,0.0,4148.96,4148.96,4225.97,1594.07,336.49,510.08,31.07,2471.71,25.22,424.38,641.97,11.2,1102.77,7800.45,3074.37,11.87,54.99,2.11,1.04,3144.38,2675.14,1.73,189.21,6010.46,497.78,588.16,190.09,107.46,1.24,405.26,1789.99,7800.45,853.18,66.05,0.0,31.33,27.65,0.0,117.54,0.0,486.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,77.01,77.01,0.0,4271.4,4271.4,4348.41,1256.42,380.31,532.66,36.43,2205.82,63.17,355.45,867.17,16.14,1301.93,7856.16,3043.99,21.06,146.99,1.92,0.98,3214.94,2563.75,0.46,140.53,5919.68,582.45,583.64,179.32,209.64,1.11,380.32,1936.48,7856.16,854.97,283.87,0.0,38.14,27.65,159.94,122.56,0.0,582.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,77.01,77.01,0.0,4750.27,4750.27,4827.28,978.64,310.01,615.21,40.33,1944.19,30.42,396.54,738.54,10.76,1176.26,7947.73,3050.35,26.97,189.87,1.37,0.97,3269.53,2569.47,0.29,248.56,6087.85,524.29,591.56,196.67,121.59,1.24,424.53,1859.88,7947.73,858.8,286.48,0.0,40.56,27.65,288.92,0.06,0.0,524.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,77.01,77.01,944.4,4173.73,5118.13,5195.14,952.96,373.18,608.77,40.73,1975.64,226.35,477.6,475.59,12.57,1192.11,8362.89,3304.16,29.32,198.16,1.74,1.25,3534.63,2687.8,0.46,248.49,6471.38,618.91,602.71,221.77,125.37,1.03,321.72,1891.51,8362.89,754.65,141.44,0.0,74.36,27.65,407.31,0.06,24.99,593.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,77.01,77.01,0.0,5061.23,5061.23,5138.24,817.42,365.89,613.02,41.45,1837.78,163.12,571.15,465.77,11.9,1211.94,8187.96,3425.18,31.67,113.64,0.31,1.81,3572.61,2691.07,0.4,294.48,6558.56,315.21,754.74,227.19,81.43,1.06,249.77,1629.4,8187.96,496.01,523.39,0.0,80.57,27.65,396.29,14.24,89.98,225.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,77.01,77.01,0.0,5524.55,5524.55,5601.56,593.42,424.77,630.37,26.61,1675.17,248.95,515.22,534.85,34.37,1333.39,8610.12,3487.51,17.61,197.84,0.28,1.62,3704.86,2982.91,0.6,310.15,6998.52,419.65,653.41,236.47,62.93,1.23,237.91,1611.6,8610.12,548.33,269.11,0.0,57.18,27.65,686.82,15.55,164.16,255.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
