Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Equity Share Application Money,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,89.68,89.68,6889.36,6889.36,0.0,6979.04,0.0,24.24,247.93,9.51,76.92,358.6,115.16,983.85,126.51,235.8,1461.32,8798.96,2170.91,8.55,267.05,0.0,2446.51,989.05,319.7,0.0,3755.26,174.61,1372.24,2859.92,146.28,259.44,231.21,5043.7,8798.96,538.52,639.75,42.93,5717.7,589.91,40.15,0.0,989.05,0.0,174.61,720.63,56.07,89.36,99.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,89.9,89.9,8937.84,8937.84,0.0,9027.74,0.0,19.14,189.22,8.5,103.12,319.98,20.95,1042.04,101.48,495.52,1659.99,11007.71,2020.67,14.93,489.96,0.0,2525.56,1790.26,239.45,0.32,4555.59,1653.97,1739.51,2515.21,59.3,292.5,191.63,6452.12,11007.71,366.4,510.57,42.93,5848.15,411.18,40.15,0.0,1790.26,0.0,1654.22,865.4,65.66,89.43,85.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,90.12,90.12,11822.95,11822.95,0.0,11913.07,0.0,13.86,126.97,105.18,121.96,367.97,372.96,1128.94,342.45,110.75,1955.1,14236.14,2327.84,17.09,624.25,0.0,2969.18,3740.82,39.01,230.65,6979.66,0.0,1913.96,4545.15,34.96,11.99,750.42,7256.48,14236.14,6772.36,635.27,125.53,6724.39,416.1,40.15,0.0,3740.82,0.0,0.0,736.47,70.21,105.0,108.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,90.32,90.32,14689.92,14689.92,0.0,14780.24,0.0,8.89,210.21,115.43,167.86,502.39,579.62,1478.49,367.03,140.47,2565.61,17848.24,2992.98,19.54,480.76,0.0,3493.28,4801.92,53.52,248.75,8597.47,2112.0,2125.66,3902.45,172.84,15.0,922.82,9250.77,17848.24,7207.43,0.0,0.0,0.0,0.0,40.15,0.0,4801.92,0.0,2113.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,90.42,90.42,15694.54,15694.54,0.0,15784.96,0.0,4.08,258.33,91.13,206.29,559.83,8.21,1427.87,753.09,147.04,2336.21,18681.0,3027.23,313.43,849.99,321.05,4511.7,5130.26,61.69,259.9,9963.55,232.59,2180.02,4946.31,110.96,17.63,1229.94,8717.45,18681.0,7044.23,1933.47,0.0,5314.13,0.0,40.15,0.0,5130.26,0.0,232.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,90.5,90.5,16808.35,16808.35,218.42,17117.27,0.0,0.53,266.22,99.34,209.46,575.55,1.68,1254.02,251.31,490.38,1997.39,19690.21,3067.2,305.75,903.82,295.27,4572.04,5281.09,62.74,289.83,10205.7,2107.38,2305.98,3724.32,61.44,22.91,1262.48,9484.51,19690.21,8718.61,2228.2,0.0,5941.36,0.0,40.15,153.86,5127.23,205.49,1902.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,90.6,90.6,17167.9,17167.9,214.62,17473.12,0.08,0.31,192.94,185.63,272.63,651.51,5.29,1566.13,432.81,551.56,2555.79,20680.5,3446.19,67.69,694.63,127.37,4335.88,5126.7,44.72,334.69,9841.99,2329.73,2484.61,3616.33,1305.93,34.89,1067.02,10838.51,20680.5,6863.36,1947.01,0.0,5144.99,0.0,40.15,0.0,5126.7,1032.2,1300.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,90.74,90.74,18285.3,18285.3,189.48,18565.52,0.05,0.15,217.32,181.73,307.96,707.16,298.79,1196.39,501.67,588.98,2585.83,21858.56,3556.17,82.66,795.83,155.03,4589.69,7241.59,65.87,344.04,12241.19,2320.99,2708.19,3190.54,284.01,12.64,1101.0,9617.37,21858.56,5051.4,2108.12,0.0,5102.71,0.0,40.15,0.0,7199.62,95.78,2122.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,90.9,90.9,17897.56,17897.56,161.73,18150.19,0.0,0.0,186.75,132.23,306.29,625.27,790.47,1351.53,939.07,456.84,3537.91,22313.37,3617.55,72.63,773.74,173.7,4637.62,8688.69,0.21,549.03,13875.55,822.4,3177.14,2722.01,64.56,2.27,1649.44,8437.82,22313.37,4058.71,3814.31,0.0,5359.4,0.0,40.15,0.0,8646.46,149.44,672.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,91.0,91.0,18172.5,18172.5,148.36,18411.86,0.0,0.0,185.02,142.61,316.33,643.96,613.46,1566.29,959.49,488.61,3627.85,22683.67,3677.82,344.11,737.99,188.6,4948.52,9534.56,4.04,625.63,15112.75,439.77,3019.47,2674.42,100.97,2.06,1334.23,7570.92,22683.67,4214.68,2175.17,0.0,4805.73,0.0,40.15,0.0,42.6,0.0,439.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,91.14,91.14,20398.85,20398.85,113.02,20603.01,0.08,0.0,156.01,140.06,329.76,625.83,18.13,2036.27,1144.11,495.43,3693.94,24922.86,3498.22,614.95,411.12,34.71,4559.0,10771.82,3.57,300.6,15634.99,808.85,2969.31,3842.15,138.64,2.47,1526.45,9287.87,24922.86,3837.26,2294.26,0.0,7434.11,0.0,40.15,0.0,196.43,0.0,808.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
