Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2022-09-30,15985.73,0.0,15985.73,14557.98,43.29,192.21,211.51,980.74,94.24,1074.98,81.1,993.88,0.0,993.88,249.63,744.25,744.25,1500.0,12694.22,4.96,4.96,0.0,0.0,0.0,0.0,0.0
2022-12-31,15775.87,0.0,15775.87,13856.71,44.68,192.32,199.12,1483.04,183.87,1666.91,81.35,1585.56,0.0,1585.56,405.02,1180.54,1180.54,1500.0,0.0,7.87,7.87,0.0,0.0,0.0,0.0,0.0
2023-03-31,13873.93,0.0,13873.93,12637.07,34.11,188.57,259.68,754.5,153.75,908.25,90.21,818.04,0.0,818.04,203.79,614.25,614.25,1500.0,0.0,4.09,4.09,0.0,0.0,0.0,0.0,0.0
2023-06-30,11656.05,0.0,11656.05,10300.86,50.04,191.85,123.37,989.93,146.74,1136.67,74.55,1062.12,0.0,1062.12,272.27,789.85,789.85,1500.0,0.0,5.27,5.27,0.0,0.0,0.0,0.0,0.0
2023-09-30,12532.01,0.0,12532.01,11106.91,44.54,194.81,165.83,1019.92,156.73,1176.65,74.7,1101.95,0.0,1101.95,283.85,818.1,818.1,1500.0,0.0,5.45,5.45,0.0,0.0,0.0,0.0,0.0
2023-12-31,14747.21,0.0,14747.21,12617.87,50.2,195.48,373.15,1510.51,156.47,1666.98,69.67,1597.31,0.0,1597.31,406.64,1190.67,1190.67,1500.0,0.0,7.94,7.94,0.0,0.0,0.0,0.0,0.0
2024-03-31,13793.16,0.0,13793.16,12438.47,46.96,194.42,203.71,909.6,156.8,1066.4,70.75,995.65,0.0,995.65,258.07,737.58,737.58,1500.0,0.0,4.92,4.92,0.0,0.0,0.0,0.0,0.0
2024-06-30,13415.13,0.0,13415.13,11466.59,57.74,194.57,327.79,1368.44,218.13,1586.57,66.69,1519.88,0.0,1519.88,378.3,1141.58,1141.58,1500.0,0.0,7.61,7.61,0.0,0.0,0.0,0.0,0.0
2024-09-30,13021.82,0.0,13021.82,11437.09,52.04,196.26,332.19,1004.24,201.56,1205.8,65.43,1140.37,0.0,1140.37,292.75,847.62,847.62,1500.0,0.0,5.65,5.65,0.0,0.0,0.0,0.0,0.0
2024-12-31,12226.86,0.0,12226.86,10562.58,62.92,209.6,353.69,1038.07,196.1,1234.17,65.07,1169.1,0.0,1169.1,302.11,866.99,866.99,1500.0,0.0,5.78,5.78,0.0,0.0,0.0,0.0,0.0
2025-03-31,12315.75,0.0,12315.75,10831.61,46.69,205.78,-75.47,1307.14,199.54,1506.68,60.85,1445.83,0.0,1445.83,375.65,1070.18,1070.18,1500.0,0.0,7.13,7.13,0.0,0.0,0.0,0.0,0.0
