Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Short Term Loans And Advances,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2014-03-31,750.0,750.0,4236.12,4236.12,4986.12,2647.74,553.0,300.0,3.8,3504.54,248.72,1886.84,1017.39,269.07,3422.02,11912.68,6261.27,3.77,879.93,7144.97,90.0,252.0,0.0,7486.97,49.88,955.69,2015.67,1232.73,13.98,4425.71,11912.68,6291.61,167.37,18.75,0.0,1.51,0.0,90.0,0.0,49.88,157.76,33629.99,3.61,54.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,750.0,750.0,4938.63,4938.63,5688.63,2373.81,727.0,900.0,4.28,4005.09,0.0,320.89,914.75,189.32,1424.96,11118.68,6932.02,10.57,746.9,7689.49,90.0,673.89,0.0,8453.38,0.0,882.63,1342.77,364.09,0.37,2665.3,11118.68,6780.28,28.52,15.0,0.0,440.69,0.0,90.0,0.0,0.0,75.44,35917.9,1.64,127.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,750.0,750.0,5863.97,5863.97,6613.97,2232.93,588.58,1400.0,5.6,4227.11,0.0,772.13,803.07,9.85,1585.05,12426.13,6803.67,6.87,1550.48,8361.02,90.0,18.66,370.55,8840.23,0.0,246.1,988.52,2182.89,168.39,3585.9,12426.13,404.97,19.62,15.0,0.0,349.59,0.0,0.0,0.0,0.0,0.0,22929.71,7.4,192.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,750.0,750.0,7343.89,7343.89,8093.89,1450.03,730.18,1385.76,6.56,3572.53,0.0,944.6,1208.63,9.45,2162.68,13829.1,8418.51,4.53,48.55,8471.59,164.38,22.67,267.83,8926.47,2770.73,540.52,1210.79,327.34,53.25,4902.63,13829.1,0.0,20510.07,0.0,0.0,62.23,0.0,0.0,2770.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,1500.0,1500.0,8220.47,8220.47,9720.47,733.41,1048.17,1283.63,7.81,3073.02,0.0,1569.9,1278.22,12.1,2860.22,15653.71,8027.23,2.39,220.27,8249.89,164.38,22.95,198.71,8635.93,3957.84,491.1,1600.78,862.52,105.54,7017.78,15653.71,4474.85,24587.0,0.0,0.0,49.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,1500.0,1500.0,8566.07,8566.07,10066.07,101.2,1336.03,1086.09,11.08,2534.4,0.0,1295.24,1172.37,16.75,2484.36,15084.83,7664.03,1.05,348.21,8013.29,164.38,24.92,920.44,9123.03,824.89,569.44,1382.45,2960.28,224.74,5961.8,15084.83,5600.42,33126.0,0.0,0.0,57.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,1500.0,1500.0,9452.97,9452.97,10952.97,64.39,888.29,4354.83,14.86,5322.37,0.0,1166.07,1239.42,18.12,2423.61,18698.95,11187.99,0.2,4.68,11192.87,164.38,22.31,270.57,11650.13,184.67,480.89,1602.57,4432.01,348.68,7048.82,18698.95,5082.31,29254.0,0.0,0.0,13.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,1500.0,1500.0,10149.5,10149.5,11649.5,23.0,880.59,4274.23,30.88,5208.7,41.4,1035.45,930.16,67.43,2074.44,18932.64,10312.92,0.22,25.48,10338.62,164.38,21.22,246.53,10770.75,1385.19,337.18,1874.53,4342.34,222.65,8161.89,18932.64,3925.7,19957.46,0.0,0.0,38.86,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,1500.0,1500.0,11925.47,11925.47,13425.47,0.0,832.4,4066.8,58.01,4957.21,23.0,1526.47,1124.64,62.29,2736.4,21119.08,9556.99,0.2,192.63,9749.82,174.38,21.45,2465.06,12410.71,875.84,576.68,2684.44,4319.55,251.86,8708.37,21119.08,5805.75,35956.0,0.0,0.0,29.38,750.0,0.0,0.0,875.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,1500.0,1500.0,13434.74,13434.74,14934.74,0.0,703.1,3812.81,72.12,4588.03,0.0,1643.96,1135.39,120.47,2899.82,22422.59,8787.46,2.85,1125.88,9916.19,174.79,23.39,467.22,10581.59,869.7,1153.05,3839.7,5680.03,298.52,11841.0,22422.59,7999.22,53248.4,0.0,0.0,57.76,750.0,0.0,0.0,869.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,1500.0,1500.0,15462.8,15462.8,16962.8,0.0,617.2,3241.21,96.98,3955.39,0.0,2864.55,1146.43,146.69,4157.67,25075.86,8144.55,2.41,1552.41,9699.37,174.79,23.74,2288.59,12186.49,0.0,1465.44,3626.08,7409.73,388.12,12889.37,25075.86,9479.63,44429.44,0.0,0.0,11.19,750.0,174.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
