Date,Equity Share Capital,Total Share Capital,Revaluation Reserves,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Other Assets,Deferred Tax Assets [Net],Preference Share Capital,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Provisions,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2014-03-31,34.14,34.14,578.74,2178.23,2756.96,2791.1,0.54,73.09,49.5,123.12,6.97,146.23,86.96,6.36,246.53,3160.76,651.34,0.47,17.56,1248.11,109.79,87.45,0.0,1445.36,588.01,435.21,341.92,29.27,304.8,16.19,1715.4,3160.76,989.78,78.39,6.98,8.14,0.74,0.0,7.66,4.65,0.0,0.0,60.73,637.51,578.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,33.5,33.5,537.79,2230.76,2768.55,2802.05,0.79,80.64,40.22,121.64,0.03,66.09,87.9,17.9,171.92,3095.61,626.2,0.32,33.31,1197.64,294.73,46.37,0.0,1538.75,325.72,489.52,297.92,15.65,407.43,20.62,1556.87,3095.61,2743.37,253.77,5.47,10.64,1.02,0.0,11.39,11.17,0.0,0.0,75.71,547.57,537.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,33.5,33.5,496.9,2250.8,2747.7,2781.2,0.0,88.13,30.97,119.1,6.93,132.01,64.51,11.04,214.49,3114.79,613.23,0.21,30.97,1141.34,265.63,46.21,0.0,1453.18,363.91,495.59,264.99,8.29,514.13,14.7,1661.61,3114.79,2379.54,147.53,2.94,2.94,1.19,0.0,23.7,13.94,0.0,0.0,78.25,582.46,496.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,33.5,33.5,0.0,2779.34,2779.34,2812.84,11.2,235.56,17.79,264.54,6.31,138.52,51.1,11.38,207.31,3284.69,1085.8,0.15,118.38,1204.32,476.71,7.02,26.08,1714.13,358.87,484.21,308.62,5.76,349.44,63.65,1570.56,3284.69,2247.06,64.2,5.87,1.46,1.34,0.0,85.14,16.34,0.0,368.43,407.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,33.5,33.5,0.0,2937.85,2937.85,2971.35,5.6,256.77,14.64,277.01,9.74,130.24,54.87,5.35,200.21,3448.57,1221.95,0.14,17.4,1239.49,544.83,6.36,21.68,1812.36,174.32,508.73,394.15,9.74,434.41,114.86,1636.21,3448.57,1872.76,274.53,9.6,11.2,3.12,0.0,573.44,12.84,0.0,5.78,539.06,174.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,33.5,33.5,0.0,3152.7,3152.7,3186.2,445.87,259.48,24.7,730.05,43.39,273.42,91.85,6.85,415.51,4331.76,1161.61,0.13,22.93,1184.67,669.56,6.63,15.27,1876.12,89.07,768.69,495.44,60.48,459.48,582.47,2455.64,4331.76,1935.83,437.88,13.31,0.84,1.56,0.0,1085.22,4.71,0.0,4.67,664.89,89.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,33.5,33.5,0.0,3083.32,3083.32,3116.82,750.34,222.58,33.65,1006.57,52.09,570.4,39.93,132.35,794.77,4918.16,1922.83,0.13,28.53,1951.49,786.19,109.52,19.27,2866.48,10.16,712.47,366.83,2.89,674.67,284.67,2051.68,4918.16,1589.86,337.88,24.18,753.67,1.09,0.0,740.56,2.37,0.0,0.0,783.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,33.5,33.5,0.0,3210.1,3210.1,3243.6,620.6,274.32,33.49,928.41,96.97,733.26,65.55,69.42,965.2,5137.21,1844.2,0.13,8.71,1853.04,714.34,557.91,28.37,3153.65,167.66,869.94,461.01,50.04,234.32,200.6,1983.56,5137.21,1080.69,348.52,35.58,0.0,9.37,0.7,556.41,1.29,0.0,0.0,700.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,33.5,33.5,0.0,3568.7,3568.7,3602.2,514.89,298.48,30.96,844.33,117.94,381.42,124.76,20.84,644.97,5091.49,1739.53,0.13,11.88,1751.53,968.04,57.93,14.9,2792.41,78.38,1287.75,503.63,39.12,143.6,246.6,2299.08,5091.49,977.65,47.46,24.31,0.0,41.77,0.0,199.19,0.9,0.0,0.0,983.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,67.0,67.0,4.09,4634.77,4638.86,4705.86,161.83,306.92,67.37,536.11,82.36,295.6,70.25,94.14,542.35,5784.32,2010.55,0.13,14.33,2025.01,545.08,4.08,15.17,2589.34,576.29,1502.96,644.08,49.67,77.49,344.49,3194.98,5784.32,807.85,0.0,0.0,0.0,408.17,0.0,246.76,0.0,33.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,67.0,67.0,4.09,5542.77,5546.86,5613.86,0.0,358.47,63.17,421.64,0.0,292.32,63.73,73.43,429.48,6464.98,1945.02,0.12,2.65,1947.79,893.16,3.64,17.37,2861.96,1100.3,1573.45,520.57,55.31,0.0,353.39,3603.02,6464.98,723.97,0.0,0.0,0.0,394.01,0.0,0.41,0.0,33.5,0.0,977.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
