Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,"Stores, Spares And Loose Tools",Capital Goods,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,Money Received Against Share Warrants,Long Term Provisions,Equity Share Application Money,Preference Share Capital,Revaluation Reserves,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Deferred Tax Assets [Net],Trade/Other Goods
2014-03-31,69.56,69.56,2895.16,2895.16,2964.73,1005.24,328.86,2.76,1336.86,15.93,248.72,158.72,131.64,555.01,4856.59,1975.91,12.79,463.57,17.39,2469.66,541.76,487.61,0.0,3499.03,148.27,264.97,468.45,208.9,248.93,18.04,1357.56,4856.59,1266.72,6.28,0.0,3.74,0.48,53.43,79.44,501.39,144.36,13.59,104.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,69.56,69.56,3091.51,3091.51,3161.07,1460.8,401.95,0.15,1862.9,55.78,320.1,289.68,130.44,795.99,5819.96,2413.86,13.69,512.16,0.0,2939.7,598.86,585.06,0.0,4123.63,114.16,332.5,549.55,249.23,419.92,30.98,1696.33,5819.96,1424.79,5.47,0.0,8.24,0.49,92.76,113.41,557.88,115.84,6.79,109.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,69.56,69.56,3360.57,3360.57,3430.13,1948.95,476.91,0.26,2426.12,153.01,401.28,374.71,53.17,982.18,6838.43,2824.11,107.52,579.1,0.0,3510.72,842.45,702.41,0.0,5055.58,67.32,422.15,615.11,255.76,372.45,50.05,1782.84,6838.43,2188.89,7.36,0.0,9.23,0.44,97.39,105.69,798.65,63.58,16.79,98.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,69.56,69.56,3509.45,3509.45,3579.01,2619.81,233.67,10.28,2863.77,48.91,392.02,247.61,61.84,750.37,7193.15,3484.34,115.68,327.55,0.0,3927.56,977.71,0.0,543.45,5448.72,86.05,442.5,663.59,272.75,0.0,279.53,1744.43,7193.15,632.84,6.62,80.91,8.8,0.0,92.24,110.44,938.34,0.0,86.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,69.56,69.56,3623.94,3623.94,3693.5,2547.1,246.61,9.79,2803.5,349.53,473.39,424.64,67.52,1315.07,7812.07,3630.13,131.39,698.3,0.0,4459.82,898.27,0.0,474.16,5832.24,2.01,538.68,749.94,294.56,0.0,394.65,1979.83,7812.07,1735.81,2.13,45.57,13.4,0.45,94.1,97.52,858.9,0.0,2.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,69.56,69.56,3813.85,3813.85,3883.42,2597.33,310.37,4.15,2911.85,455.69,536.43,544.93,96.04,1633.08,8428.35,3844.77,125.04,818.81,0.0,4788.62,1072.71,19.59,544.41,6425.33,12.57,561.15,909.32,277.66,8.0,234.34,2003.02,8428.35,1065.38,6.6,10.52,21.81,0.31,99.02,77.43,1033.34,0.0,12.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,69.6,69.6,3918.8,3918.8,3988.4,2499.7,291.3,1421.8,4212.8,456.9,727.2,650.5,108.4,1943.0,10144.2,5937.8,117.9,200.1,26.5,6282.3,1048.8,38.2,459.9,7829.2,27.5,707.4,966.1,346.5,7.0,260.5,2315.0,10144.2,868.8,6.3,114.1,17.7,0.2,90.8,68.5,1009.4,0.0,27.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,71.9,71.9,5129.6,5129.6,5201.5,1965.4,297.8,743.2,3006.4,0.0,849.6,574.2,97.5,1521.3,9729.2,4895.6,142.4,196.9,22.3,5257.2,1134.5,31.2,268.6,6691.5,956.2,210.3,1204.0,408.2,5.3,253.7,3037.7,9729.2,1452.4,1.1,32.8,12.1,0.1,62.8,108.4,1095.2,0.0,956.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,71.9,71.9,6038.8,6038.8,6110.7,1908.1,524.1,676.1,3108.3,116.1,653.2,349.1,70.8,1189.2,10408.2,5100.6,20.1,22.4,1.5,5144.6,1558.3,32.0,218.1,6953.0,500.8,146.8,824.2,556.9,4.1,1422.4,3455.2,10408.2,863.4,8.0,31.1,15.6,0.1,82.0,118.7,1518.2,0.0,500.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,71.9,71.9,6852.9,6852.9,6924.8,1520.1,382.8,709.4,2612.3,240.5,632.9,292.8,77.1,1243.3,10780.4,5049.4,28.6,89.0,7.4,5174.4,1925.6,235.6,294.1,7629.7,291.6,98.3,820.0,318.0,80.3,1542.5,3150.7,10780.4,928.8,11.8,44.8,16.8,0.6,58.7,156.8,1885.0,0.0,291.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,71.9,71.9,7639.0,7639.0,7710.9,1785.5,376.4,1162.2,3324.1,170.2,757.5,341.2,101.3,1370.2,12405.2,5970.8,60.8,172.5,27.2,6231.3,1937.7,244.6,316.5,8730.1,683.5,118.7,808.3,342.2,79.1,1643.3,3675.1,12405.2,649.8,7.1,7.9,46.6,0.3,120.6,347.8,1896.5,0.0,683.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
