Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,1305.73,1305.73,302.14,460.1,-92.1,190.67,48.65,43.62,223.64,129.01,5.27,134.28,26.86,107.42,0.0,107.42,19.91,87.51,0.0,87.51,69.56,6.29,6.29,9.05,65.03,1.73,36.23,12.45
2015-09-30,1409.73,1409.73,267.26,470.78,-8.19,202.3,49.54,44.87,236.5,146.67,0.94,147.61,30.85,116.76,0.0,116.76,27.21,89.55,0.0,89.55,69.56,6.44,6.44,0.0,0.0,0.0,0.0,0.0
2015-12-31,1425.0,1425.0,258.6,462.03,14.03,219.73,53.78,48.65,236.25,131.93,66.19,198.12,32.03,166.09,-25.68,140.41,18.08,122.33,0.0,122.33,69.56,8.79,8.79,0.0,0.0,0.0,0.0,0.0
2016-03-31,1447.86,1447.86,270.47,451.31,8.66,223.02,48.53,0.0,312.25,133.62,9.48,143.1,43.83,99.27,0.0,99.27,17.96,81.31,0.0,81.31,69.56,5.84,5.84,0.0,0.0,0.0,0.0,0.0
2016-06-30,1465.43,1465.43,295.53,492.09,-28.74,215.45,55.73,49.41,254.81,131.15,5.3,136.45,44.38,92.07,0.0,92.07,19.9,72.17,0.0,72.17,69.56,5.19,5.19,0.0,0.0,0.0,0.0,0.0
2016-09-30,1634.1,1634.1,282.74,556.68,6.63,230.92,60.3,58.1,277.12,161.61,9.44,171.05,46.88,124.17,0.0,124.17,32.18,91.99,0.0,91.99,69.56,6.61,6.61,0.0,0.0,0.0,0.0,0.0
2016-12-31,1680.61,1680.61,299.78,619.67,-30.25,247.14,61.76,61.34,288.85,132.32,3.08,135.4,51.33,84.07,0.0,84.07,11.24,72.83,0.0,72.83,69.56,5.23,5.23,0.0,0.0,0.0,0.0,0.0
2017-03-31,1661.64,1661.64,668.84,560.09,-362.57,248.28,62.79,0.0,376.94,107.27,9.13,116.4,57.8,58.6,0.0,58.6,10.44,48.16,0.0,48.16,69.56,3.46,3.46,0.0,0.0,0.0,0.0,0.0
2017-06-30,1684.46,1684.46,307.74,635.46,-58.22,261.22,64.64,0.0,364.63,108.99,-3.75,105.24,55.46,49.78,0.0,49.78,14.57,35.21,0.0,35.21,69.56,2.53,2.53,0.0,0.0,0.0,0.0,0.0
2017-09-30,1851.64,1851.64,319.87,622.32,3.9,283.01,66.48,0.0,401.3,154.76,2.63,157.39,58.75,98.64,0.0,98.64,27.74,70.9,0.0,70.9,69.56,5.1,5.1,0.0,0.0,0.0,0.0,0.0
2017-12-31,1896.14,1896.14,320.02,678.1,-7.65,283.71,67.75,0.0,400.69,153.52,7.86,161.38,63.54,97.84,0.0,97.84,30.4,67.44,0.0,67.44,69.56,4.85,4.85,0.0,0.0,0.0,0.0,0.0
2018-03-31,1862.92,1862.92,320.37,678.34,-18.96,290.86,73.14,0.0,378.73,140.44,5.84,146.28,62.42,83.86,0.0,83.86,24.22,59.64,0.0,59.64,69.56,4.29,4.29,0.0,0.0,0.0,0.0,0.0
2018-06-30,1910.39,1910.39,324.22,747.31,-62.33,295.86,72.4,0.0,378.68,154.25,2.05,156.3,62.07,94.23,0.0,94.23,34.07,60.16,0.0,60.16,69.56,4.32,4.32,0.0,0.0,0.0,0.0,0.0
2018-09-30,2090.12,2090.12,355.4,760.26,-14.93,311.39,73.88,0.0,420.19,183.93,-0.07,183.86,66.02,117.84,0.0,117.84,38.86,78.98,0.0,78.98,69.56,5.68,5.68,0.0,0.0,0.0,0.0,0.0
2018-12-31,2169.04,2169.04,357.47,779.94,-4.51,340.48,76.57,0.0,427.8,191.29,8.11,199.4,69.0,130.4,0.0,130.4,43.47,86.93,0.0,86.93,69.56,6.25,6.25,0.0,0.0,0.0,0.0,0.0
2019-03-31,2167.11,2167.11,354.6,761.79,9.77,347.36,77.04,0.0,427.78,188.77,2.15,190.92,70.93,119.99,0.0,119.99,43.31,76.68,0.0,76.68,69.56,5.51,5.51,0.0,0.0,0.0,0.0,0.0
2019-06-30,2229.2,2229.2,364.7,826.43,-28.03,352.84,109.81,0.0,387.45,216.0,4.74,220.74,99.91,120.83,0.0,120.83,41.51,79.32,0.0,79.32,69.56,5.7,5.7,0.0,0.0,0.0,0.0,0.0
2019-09-30,2463.58,2463.58,398.02,924.91,-31.32,380.94,120.32,0.0,426.61,244.1,3.94,248.04,107.69,140.35,0.0,140.35,49.75,90.6,0.0,90.6,69.56,6.51,6.51,0.0,0.0,0.0,0.0,0.0
2019-12-31,2529.5,2529.5,397.6,968.5,-34.4,392.44,123.08,0.0,428.67,253.61,3.01,256.62,110.98,145.64,0.0,145.64,50.89,94.75,0.0,94.75,69.56,6.81,6.81,0.0,0.0,0.0,0.0,0.0
2020-03-31,2572.15,2572.15,371.8,1034.35,-10.58,392.95,129.05,0.0,435.29,219.29,-0.77,218.52,107.29,111.23,164.35,275.58,69.98,205.6,0.0,205.6,69.56,14.78,14.78,0.0,0.0,0.0,0.0,0.0
2020-06-30,1961.52,1961.52,235.99,1067.74,-133.45,376.78,126.44,0.0,373.01,-84.99,1.69,-83.3,102.62,-185.92,0.0,-185.92,-36.81,-149.11,0.0,-149.11,69.56,-10.72,-10.72,0.0,0.0,0.0,0.0,0.0
2020-09-30,2414.45,2414.45,360.75,1051.2,14.59,336.38,116.33,0.0,403.31,131.89,4.79,136.68,97.15,39.53,-1.09,38.44,5.92,32.52,0.0,32.52,69.56,2.34,2.34,0.0,0.0,0.0,0.0,0.0
2020-12-31,2367.01,2367.01,375.42,1025.44,-7.62,268.98,91.78,0.0,382.87,230.14,0.93,231.07,75.77,155.3,0.0,155.3,49.08,106.22,0.0,106.22,69.56,7.64,7.64,0.0,0.0,0.0,0.0,0.0
2021-03-31,2410.07,2410.07,357.71,1010.83,-1.15,292.97,101.4,0.0,413.88,234.43,10.74,245.17,68.27,176.9,-8.0,168.9,53.38,115.52,0.0,115.52,71.89,8.1,8.1,0.0,0.0,0.0,0.0,0.0
2021-06-30,2994.71,2994.71,377.7,1589.82,-125.13,318.03,96.0,0.0,443.7,294.59,8.74,303.33,63.76,239.57,-6.74,232.83,82.79,150.04,0.0,150.04,71.89,10.44,10.44,0.0,0.0,0.0,0.0,0.0
2021-09-30,2823.2,2823.2,676.47,872.12,78.93,320.03,93.73,0.0,436.79,345.13,8.29,353.42,64.39,289.03,0.0,289.03,103.14,185.89,0.0,185.89,71.89,12.93,12.93,0.0,0.0,0.0,0.0,0.0
2021-12-31,2846.17,2846.17,459.85,1203.05,-16.23,306.41,97.41,0.0,468.68,327.0,11.82,338.82,62.1,276.72,0.0,276.72,101.31,175.41,0.0,175.41,71.89,12.2,12.2,0.0,0.0,0.0,0.0,0.0
2022-03-31,1420.73,1420.73,415.31,0.0,0.0,270.92,104.7,0.0,402.45,227.35,18.66,246.01,57.57,188.44,0.0,188.44,39.69,148.75,4.92,153.67,71.89,10.69,10.69,0.0,0.0,0.0,0.0,0.0
2022-06-30,1529.69,1529.69,464.29,0.0,0.0,265.09,89.15,0.0,411.97,299.19,10.52,309.71,59.59,250.12,0.0,250.12,-83.02,333.14,0.0,333.14,71.89,23.17,23.17,0.0,0.0,0.0,0.0,0.0
2022-09-30,1715.58,1715.58,494.56,0.0,0.0,316.36,91.99,0.0,451.59,361.08,42.91,403.99,58.4,345.59,0.0,345.59,66.4,279.19,0.0,279.19,71.89,19.42,19.42,0.0,0.0,0.0,0.0,0.0
2022-12-31,1638.74,1638.74,464.33,0.0,0.0,322.46,88.86,0.0,435.07,328.02,55.31,383.33,60.21,323.12,0.0,323.12,77.53,245.59,0.0,245.59,71.89,17.08,17.08,0.0,0.0,0.0,0.0,0.0
2023-03-31,1640.83,1640.83,437.93,0.0,0.0,335.55,96.69,0.0,444.15,326.51,42.77,369.28,60.6,308.68,0.0,308.68,81.82,226.86,0.0,226.86,71.89,15.78,15.78,0.0,0.0,0.0,0.0,0.0
2023-06-30,1688.4,1688.4,461.7,0.0,0.0,333.4,93.1,0.0,475.6,324.6,17.8,342.4,60.9,281.5,0.0,281.5,67.4,214.1,0.0,214.1,71.9,14.89,14.89,0.0,0.0,0.0,0.0,0.0
2023-09-30,1866.5,1866.5,514.2,0.0,0.0,357.8,93.4,0.0,515.4,385.7,64.6,450.3,59.6,390.7,0.0,390.7,95.9,294.8,0.0,294.8,71.9,20.5,20.5,0.0,0.0,0.0,0.0,0.0
2023-12-31,1824.3,1824.3,496.5,0.0,0.0,350.1,97.2,0.0,527.4,353.1,51.5,404.6,60.6,344.0,0.0,344.0,81.2,262.8,0.0,262.8,71.9,18.28,18.28,0.0,0.0,0.0,0.0,0.0
2024-03-31,1894.6,1894.6,526.6,0.0,0.0,383.9,115.3,0.0,533.7,335.1,46.0,381.1,68.7,312.4,0.0,312.4,73.6,238.8,0.0,238.8,71.9,16.61,16.61,0.0,0.0,0.0,0.0,0.0
2024-06-30,1936.6,1936.6,536.2,0.0,0.0,380.7,102.9,0.0,548.9,367.9,27.3,395.2,63.5,331.7,0.0,331.7,80.0,251.7,0.0,251.7,71.9,17.51,17.51,0.0,0.0,0.0,0.0,0.0
2024-09-30,2135.4,2135.4,580.9,0.0,0.0,412.4,108.3,0.0,601.8,432.0,120.9,552.9,65.4,487.5,0.0,487.5,117.9,369.6,0.0,369.6,71.9,25.71,25.71,0.0,0.0,0.0,0.0,0.0
2024-12-31,2054.8,2054.8,569.3,0.0,0.0,393.5,108.4,0.0,580.2,403.4,107.9,511.3,62.0,449.3,0.0,449.3,107.7,341.6,0.0,341.6,71.9,23.76,23.76,0.0,0.0,0.0,0.0,0.0
