Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2017-12-31,1116.87,0.0,1116.87,728.48,2.71,-8.94,61.53,43.17,188.98,100.94,2.99,103.94,1.41,102.53,-26.88,75.65,26.92,48.73,48.73,140.66,0.0,3.46,3.46
2018-03-31,1272.27,0.0,1272.27,820.74,2.86,13.73,64.2,45.44,211.16,114.14,6.91,121.05,2.74,118.31,0.0,118.31,36.41,81.9,81.9,140.66,0.0,5.82,5.82
2018-06-30,1314.85,0.0,1314.85,869.03,2.16,-15.67,68.09,41.53,213.35,136.37,2.88,139.25,3.4,135.85,0.0,135.85,45.79,90.07,90.07,140.66,0.0,6.4,6.4
2018-09-30,1435.07,0.0,1435.07,959.8,9.24,-20.27,68.31,43.23,232.48,142.28,5.29,147.57,3.78,143.8,0.0,143.8,49.21,94.59,94.59,140.66,0.0,6.72,6.72
2018-12-31,1326.94,0.0,1326.94,851.68,6.72,17.38,72.42,46.02,217.83,114.89,3.71,118.6,5.55,113.05,-20.8,92.25,29.33,62.92,62.92,140.66,0.0,4.47,4.47
2019-03-31,1340.6,0.0,1340.6,827.51,4.97,11.18,68.92,44.93,220.32,162.77,4.34,167.11,4.35,162.76,0.0,162.76,52.48,110.28,110.28,140.66,0.0,7.84,7.84
2019-06-30,1361.16,0.0,1361.16,843.18,2.92,-22.36,75.64,48.58,216.23,196.97,3.3,200.27,3.57,196.7,0.0,196.7,67.64,129.06,129.06,140.66,0.0,9.17,9.17
2019-09-30,1292.04,0.0,1292.04,782.62,4.47,16.83,73.72,48.73,217.75,147.94,8.42,156.36,3.13,153.22,0.0,153.22,16.66,136.56,136.56,140.66,0.0,9.71,9.71
2019-12-31,1160.98,0.0,1160.98,699.07,10.92,12.68,72.97,49.74,201.51,114.1,9.88,123.97,2.41,121.56,0.0,121.56,31.34,90.22,90.22,140.66,0.0,6.41,6.41
2020-03-31,1124.39,0.0,1124.39,675.8,9.54,11.67,73.8,52.2,217.32,84.07,14.6,98.66,1.7,96.96,0.0,96.96,25.11,71.85,71.85,140.66,0.0,5.11,5.11
2020-06-30,356.17,0.0,356.17,220.75,2.5,-6.96,67.03,46.49,70.29,-43.92,4.16,-39.75,2.03,-41.79,0.0,-41.79,-9.93,-31.86,-31.86,140.66,0.0,-2.26,-2.26
2020-09-30,1289.19,0.0,1289.19,777.36,11.36,-15.34,72.8,54.0,210.8,178.21,3.48,181.69,1.4,180.29,0.0,180.29,45.9,134.39,134.39,140.66,0.0,9.55,9.55
2020-12-31,1528.81,0.0,1528.81,955.09,18.8,-23.92,72.32,52.55,246.46,207.51,3.23,210.74,1.03,209.72,-11.23,198.49,47.94,150.55,150.55,140.66,0.0,10.7,10.7
2021-03-31,1598.85,0.0,1598.85,1015.99,11.94,1.79,74.42,50.37,257.98,186.37,2.67,189.04,0.34,188.7,0.0,188.7,49.59,139.11,139.11,140.66,0.0,9.89,9.89
2021-06-30,1151.97,0.0,1151.97,753.06,10.34,-30.55,76.75,50.18,188.56,103.63,5.83,109.46,0.34,109.12,-31.45,77.67,20.87,56.8,56.8,140.66,0.0,4.04,4.04
2021-09-30,1501.19,0.0,1501.19,968.18,10.53,-3.32,71.24,51.34,242.07,161.15,4.51,165.66,0.51,165.15,0.0,165.15,42.78,122.37,122.37,140.66,0.0,8.7,8.7
2021-12-31,1489.5,0.0,1489.5,991.28,17.05,4.69,71.51,50.36,239.43,115.19,4.41,119.59,0.55,119.04,0.0,119.04,31.19,87.85,87.85,140.66,0.0,6.25,6.25
2022-03-31,1554.42,0.0,1554.42,1032.65,16.15,-11.75,70.82,51.86,249.73,144.96,9.64,154.6,0.41,154.19,0.0,154.19,39.46,114.73,114.73,140.66,0.0,8.16,8.16
2022-06-30,1616.07,0.0,1616.07,1124.43,15.85,-45.58,82.01,57.12,265.15,117.08,4.01,121.1,0.76,120.34,-10.29,110.05,29.13,80.93,80.93,140.66,0.0,5.75,5.75
2022-09-30,1905.41,0.0,1905.41,1294.67,16.04,-26.17,79.03,59.51,309.98,172.35,5.89,178.24,1.38,176.86,0.0,176.86,45.58,131.27,131.27,140.66,0.0,9.33,9.33
2022-12-31,1596.79,0.0,1596.79,1036.38,18.39,9.23,79.02,60.29,276.1,117.39,7.96,125.35,1.34,124.01,0.0,124.01,31.8,92.21,92.21,140.66,0.0,6.56,6.56
2023-03-31,1649.23,0.0,1649.23,1055.61,13.64,20.12,84.11,63.79,280.27,131.7,10.34,142.04,0.79,141.25,0.0,141.25,36.74,104.51,104.51,140.66,0.0,7.43,7.43
2023-06-30,1825.37,0.0,1825.37,1199.22,16.33,-11.44,91.14,64.27,299.97,165.89,10.71,176.6,1.04,175.56,0.0,175.56,45.02,130.54,130.54,140.66,0.0,9.28,9.28
2023-09-30,1973.62,0.0,1973.62,1308.38,16.5,-24.85,95.22,65.09,330.61,182.67,10.68,193.35,0.95,192.4,0.0,192.4,49.86,142.54,142.54,140.66,0.0,10.13,10.13
2023-12-31,1993.38,0.0,1993.38,1312.38,15.87,-6.89,95.69,65.85,345.25,165.24,13.59,178.83,0.55,178.28,0.0,178.28,45.88,132.4,132.4,140.66,0.0,9.41,9.41
2024-03-31,2078.63,0.0,2078.63,1266.79,11.68,36.75,98.08,67.31,368.02,230.01,14.49,244.49,0.46,244.04,0.0,244.04,61.72,182.31,182.31,140.66,0.0,12.96,12.96
2024-06-30,2120.4,0.0,2120.4,1390.28,13.48,-33.81,107.68,69.23,368.56,204.99,14.22,219.2,0.69,218.51,0.0,218.51,55.65,162.86,162.86,140.66,0.0,11.58,11.58
2024-09-30,2299.5,0.0,2299.5,1494.22,17.66,-13.73,107.5,72.71,395.4,225.74,17.62,243.36,0.48,242.89,0.0,242.89,58.07,184.82,184.82,140.66,0.0,13.14,13.14
2024-12-31,2177.26,0.0,2177.26,1428.85,19.63,-34.13,109.25,73.47,380.73,199.45,14.36,213.81,0.72,213.09,0.0,213.09,56.2,156.9,156.9,140.66,0.0,11.15,11.15
2025-03-31,2248.99,0.0,2248.99,1373.0,19.91,53.09,111.35,74.25,386.18,231.22,20.39,251.61,0.68,250.93,-17.36,233.57,59.49,174.08,174.08,140.66,0.0,12.38,12.38
