Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Capital Work-In-Progress,Intangible Assets Under Development,Long Term Loans And Advances,Equity Share Application Money,Government/Other Grants,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Long Term Provisions,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2014-03-31,109.18,109.18,652.98,652.98,0.0,762.16,0.44,0.0,4.11,4.55,0.0,38.35,144.05,32.4,214.8,981.5,82.29,3.11,95.15,362.13,6.35,0.08,479.05,253.06,5.03,231.12,6.92,6.32,502.45,981.5,6.09,20.47,53.28,0.0,103.59,0.0,366.69,0.0,255.66,9.75,0.0,15.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,120.22,120.22,1542.19,1542.19,0.0,1662.4,0.28,0.0,6.5,6.78,0.0,43.58,184.06,45.24,272.88,1942.05,81.76,2.24,93.49,540.97,6.37,5.61,657.7,897.32,9.77,300.75,15.54,60.98,1284.35,1942.05,1.58,30.73,62.02,0.0,103.59,0.0,545.53,68.31,834.32,9.49,0.0,11.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,120.92,120.92,1643.1,1643.1,0.0,1764.01,0.38,0.0,5.64,6.02,0.0,26.99,217.85,42.86,287.69,2057.72,90.2,1.99,102.02,573.62,5.96,152.82,848.46,35.73,11.81,952.22,34.68,174.82,1209.26,2057.72,1.38,35.96,65.3,0.0,103.59,0.0,578.18,8.88,28.23,9.49,0.34,14.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,121.08,121.08,1862.03,1862.03,0.0,1983.11,0.36,0.0,4.87,5.23,0.0,41.78,344.46,41.61,427.85,2416.18,58.6,1.29,60.23,740.86,29.52,96.27,926.88,216.21,7.53,290.81,24.68,950.08,1489.31,2416.18,0.0,27.27,67.3,0.0,103.59,0.0,740.86,9.56,206.65,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,121.59,121.59,1985.86,1985.86,0.0,2107.45,0.28,0.0,4.12,4.4,0.0,50.6,419.73,45.61,515.95,2627.79,50.65,2.27,52.92,826.3,35.86,245.74,1160.82,1145.57,4.4,145.82,0.0,171.18,1466.97,2627.79,0.0,35.91,71.7,0.0,103.59,0.0,826.3,0.0,1145.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,122.01,122.01,2184.69,2184.69,17.21,2323.91,0.37,0.0,4.23,4.6,0.0,61.74,501.09,49.65,612.48,2940.99,49.99,4.89,56.88,1033.31,41.55,252.37,1384.11,339.95,6.01,105.25,0.0,1105.67,1556.88,2940.99,0.73,29.92,84.5,0.0,103.59,0.0,1033.31,0.0,339.95,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,122.27,122.27,2269.66,2269.66,39.74,2431.66,0.24,0.0,56.63,56.87,0.0,59.21,508.4,54.88,622.48,3111.01,128.4,4.07,132.47,1467.22,33.46,173.23,1806.37,255.4,7.01,427.49,0.0,614.74,1304.64,3111.01,2.31,24.56,91.49,0.0,103.59,0.0,1467.22,0.0,255.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,128.52,128.52,4435.67,4435.67,0.0,4564.2,0.07,0.0,44.84,44.91,0.0,60.07,570.5,66.21,696.78,5305.89,31.84,75.32,107.15,1500.04,36.25,669.41,2312.84,0.0,5.39,635.15,0.0,2352.51,2993.04,5305.89,1.04,25.38,78.77,0.0,103.59,0.0,1500.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,128.71,128.71,13843.41,13843.41,0.0,13972.12,0.35,1079.27,31.97,1111.59,0.0,104.03,902.07,79.28,1085.38,16169.08,87.68,3.12,90.79,12187.71,0.0,787.41,13065.91,440.93,7.91,132.32,0.0,2522.01,3103.17,16169.08,4.48,24.18,107.64,0.0,103.59,0.0,12187.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,129.01,129.01,10636.01,10636.01,161.46,10926.48,1.27,639.44,67.94,708.64,0.85,80.72,1113.1,84.4,1279.07,12914.19,154.3,16.71,171.01,9126.02,0.0,488.45,9785.48,754.68,8.98,224.2,23.0,2117.85,3128.71,12914.19,52.93,27.87,131.75,0.0,103.59,6088.13,3037.9,0.0,754.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,129.13,129.13,25169.24,25169.24,177.95,25476.32,1.27,2431.97,200.22,2633.45,1.26,74.6,1238.67,110.52,1425.05,29534.82,290.69,9.59,300.28,24891.67,0.0,449.14,25641.09,726.74,7.08,998.12,0.0,2161.79,3893.73,29534.82,121.63,28.79,154.49,0.0,103.59,21755.25,3136.41,0.0,726.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
