Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-09-30,174.11,0.0,174.11,75.26,5.05,37.46,28.04,28.3,19.47,47.77,0.02,47.76,0.0,47.76,13.84,33.91,0.0,33.91,120.62,2.82,2.8,6.8,56.37,5.26,100.0,43.63
2015-12-31,173.38,0.0,173.38,80.4,5.44,27.1,27.41,33.04,21.59,54.63,0.02,54.61,-11.46,43.15,21.42,21.73,0.0,21.73,120.72,1.8,1.79,0.0,0.0,0.0,0.0,0.0
2016-03-31,204.2,0.0,204.2,88.95,5.98,21.17,31.75,56.35,20.31,76.66,0.02,76.64,0.0,76.64,19.46,57.18,0.0,57.18,120.92,4.74,4.7,0.0,0.0,0.0,0.0,0.0
2016-06-30,197.6,0.0,197.6,96.31,5.98,25.8,27.72,41.8,24.32,66.12,0.03,66.09,0.0,66.09,21.74,44.36,0.0,44.36,120.92,3.63,3.6,0.0,0.0,0.0,0.0,0.0
2016-09-30,210.0,0.0,210.0,91.47,6.16,22.12,26.93,63.31,1.83,65.14,0.03,65.11,0.0,65.11,-14.95,80.07,0.0,80.07,121.12,6.59,6.54,0.0,0.0,0.0,0.0,0.0
2016-12-31,186.1,0.0,186.1,93.81,6.3,18.43,26.79,40.77,25.04,65.8,0.03,65.78,0.0,65.78,18.66,47.12,0.0,47.12,121.12,3.95,3.91,0.0,0.0,0.0,0.0,0.0
2017-03-31,208.42,0.0,208.42,93.57,5.62,21.7,29.96,57.56,11.34,68.9,0.02,68.88,-3.98,64.89,31.01,33.88,-1.02,32.87,121.22,2.74,2.73,0.0,0.0,0.0,0.0,0.0
2017-06-30,222.46,0.0,222.46,99.1,5.44,25.42,27.62,64.89,26.39,91.28,0.02,91.27,0.0,91.27,27.04,64.23,0.0,64.23,121.22,5.3,5.24,0.0,0.0,0.0,0.0,0.0
2017-09-30,225.21,0.0,225.21,93.77,5.31,20.62,22.01,83.5,26.18,109.68,0.03,109.65,-4.08,105.57,27.02,78.55,0.0,78.55,121.52,6.49,6.42,0.0,0.0,0.0,0.0,0.0
2017-12-31,227.16,0.0,227.16,95.42,5.25,29.3,23.6,73.59,21.99,95.58,0.02,95.56,-16.92,78.64,25.29,53.35,0.0,53.35,121.52,4.39,4.34,0.0,0.0,0.0,0.0,0.0
2018-03-31,240.66,0.0,240.66,104.77,5.55,47.83,28.72,53.79,22.53,76.31,0.02,76.3,-70.33,5.96,19.72,-13.76,0.0,-13.76,121.77,-1.13,-1.12,0.0,0.0,0.0,0.0,0.0
2018-06-30,259.53,0.0,259.53,110.59,5.31,37.64,27.04,78.96,23.63,102.59,0.02,102.57,-15.97,86.6,23.61,63.0,0.0,63.0,121.92,5.18,5.14,0.0,0.0,0.0,0.0,0.0
2018-09-30,265.01,0.0,265.01,111.77,5.21,40.36,30.36,77.3,27.49,104.79,0.02,104.77,0.0,104.77,26.68,78.09,0.0,78.09,121.92,6.41,6.36,0.0,0.0,0.0,0.0,0.0
2018-12-31,281.06,0.0,281.06,115.1,4.99,50.3,32.38,78.31,29.6,107.91,0.02,107.88,0.0,107.88,33.58,74.31,0.0,74.31,122.12,6.1,6.06,0.0,0.0,0.0,0.0,0.0
2019-03-31,292.65,0.0,292.65,121.18,4.87,47.4,32.8,86.4,30.43,116.83,0.02,116.81,-17.44,99.37,33.06,66.31,0.0,66.31,122.12,5.44,5.39,0.0,0.0,0.0,0.0,0.0
2019-06-30,312.77,0.0,312.77,129.76,9.89,54.86,27.17,91.09,24.53,115.62,1.76,113.86,-8.16,105.7,38.96,66.74,0.0,66.74,122.32,5.48,5.43,0.0,0.0,0.0,0.0,0.0
2019-09-30,316.61,0.0,316.61,134.92,10.06,51.39,31.0,89.24,23.21,112.46,1.71,110.75,-74.93,35.82,26.57,9.26,0.0,9.26,122.32,0.76,0.75,0.0,0.0,0.0,0.0,0.0
