Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Revaluation Reserves,Equity Share Application Money,Government/Other Grants,Preference Share Capital,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,174.38,174.38,1727.96,1727.96,1902.34,0.0,42.64,0.0,40.14,82.78,44.29,704.67,147.3,240.42,1136.68,3121.8,642.26,11.39,16.73,0.0,0.0,670.38,466.72,0.0,14.85,0.0,1151.95,651.7,558.2,323.12,297.47,84.62,54.74,1969.85,3121.8,1338.05,4.5,0.02,219.72,0.0,162.6,289.22,178.42,88.04,564.38,23.63,2.15,12.08,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,175.65,175.65,2160.54,2160.54,2336.19,0.0,50.35,0.0,42.79,93.14,129.13,756.64,170.22,203.04,1259.03,3688.36,662.43,20.09,12.22,0.0,0.0,694.74,1407.0,0.0,12.3,2.0,2116.04,371.17,550.6,338.79,123.94,114.08,73.74,1572.32,3688.36,1553.8,4.54,0.03,199.92,0.0,163.13,1177.89,230.37,164.27,208.27,26.4,2.25,37.66,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,175.91,175.91,2695.87,2695.87,2871.78,0.0,64.47,0.0,45.03,109.5,86.51,931.34,187.75,268.13,1473.73,4455.01,673.49,17.04,24.96,0.0,0.0,715.49,1763.39,0.0,23.66,0.02,2502.56,661.48,615.56,420.69,54.16,123.91,76.65,1952.45,4455.01,1277.89,4.66,0.02,188.2,0.0,163.23,1180.84,606.29,334.24,328.3,38.88,0.38,102.96,6.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,176.15,176.15,3481.73,3481.73,3657.88,200.64,98.28,3.71,47.52,350.15,83.04,914.52,157.05,54.38,1208.99,5217.02,929.18,12.8,28.25,0.0,51.35,1021.58,2319.03,0.0,8.92,81.88,3431.41,735.12,599.27,333.25,26.16,3.35,88.46,1785.61,5217.02,772.41,93.23,0.0,158.16,0.0,163.23,2595.93,123.76,643.24,91.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,176.15,176.15,4050.71,4050.71,4226.86,201.04,96.03,4.25,50.04,351.36,85.49,960.62,123.98,64.39,1234.48,5812.7,971.34,8.78,26.82,0.0,50.36,1057.3,2719.69,0.0,9.61,67.26,3853.86,713.39,704.79,321.34,87.02,1.41,130.89,1958.84,5812.7,684.68,80.39,0.0,202.65,0.0,163.23,2595.93,123.76,646.64,66.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,176.63,176.63,3792.19,3792.19,3968.82,26.05,8.32,4.56,52.76,91.69,108.72,998.32,330.14,81.09,1518.27,5578.78,971.88,15.37,21.69,0.0,49.37,1058.31,2236.74,0.0,13.14,146.24,3454.43,725.4,732.9,431.46,124.71,4.56,105.32,2124.35,5578.78,618.31,84.46,0.0,0.0,250.65,163.23,2138.0,98.74,700.4,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,176.71,176.71,4397.52,4397.52,4574.23,24.68,0.0,4.66,54.69,84.03,89.28,1032.45,197.32,122.8,1441.85,6100.11,1060.75,25.15,105.83,0.0,48.38,1240.11,1084.16,21.62,16.78,472.25,2834.92,1382.67,809.14,379.63,525.6,1.22,166.93,3265.19,6100.11,298.28,86.2,0.0,0.0,244.62,163.23,985.47,98.69,1382.67,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,176.74,176.74,5214.48,5214.48,5391.22,19.62,0.0,1.37,55.55,76.54,151.96,1480.7,269.31,134.43,2036.4,7504.16,1131.0,26.42,107.26,0.0,47.39,1312.07,3122.76,17.45,16.37,205.52,4674.17,451.14,1114.16,281.24,834.74,1.75,146.96,2829.99,7504.16,586.95,107.71,0.0,0.0,282.19,163.23,3024.07,98.69,451.14,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,176.79,176.79,5687.08,5687.08,5863.87,249.1,70.04,44.59,56.57,420.3,261.88,1581.47,342.14,122.34,2307.83,8592.0,1329.19,23.44,128.48,0.0,46.37,1527.48,4327.7,0.0,0.0,102.66,5957.84,679.38,1237.96,454.55,136.18,0.0,126.09,2634.16,8592.0,440.96,100.69,0.0,0.0,292.52,163.23,4229.01,98.7,726.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,177.18,177.18,6109.7,6109.7,6286.88,249.45,76.76,50.15,57.68,434.04,307.76,1818.72,364.63,140.41,2631.52,9352.44,1595.58,21.01,109.43,0.0,45.38,1771.4,5202.52,0.0,51.41,95.83,7121.16,272.53,1223.77,561.18,33.4,12.85,127.55,2231.28,9352.44,467.81,170.55,0.0,0.0,335.5,163.23,4652.16,550.37,272.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,177.2,177.2,6738.17,6738.17,6915.37,498.93,100.5,66.94,60.04,726.41,198.99,2058.93,471.48,161.63,2891.03,10532.81,1810.01,23.8,161.54,22.69,44.39,2062.43,4888.3,0.0,38.56,111.15,7100.44,1260.17,1149.88,719.21,71.11,12.85,219.15,3432.37,10532.81,300.93,127.6,0.0,0.0,312.76,163.23,4337.94,550.36,1260.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,177.23,177.23,7246.06,7246.06,7423.29,249.42,133.25,74.32,62.58,519.57,35.38,2341.97,521.11,164.15,3062.61,11005.47,1989.33,48.51,134.66,0.0,0.0,2172.5,4730.47,0.0,25.71,146.69,7075.37,1628.36,1288.07,600.58,133.02,12.85,267.22,3930.1,11005.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
