Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2016-03-31,1432.97,0.0,1432.97,471.73,261.36,21.21,105.05,20.06,82.72,146.7,324.14,48.06,372.2,3.01,369.19,0.0,369.19,82.05,287.14,0.0,287.14,175.91,1.63,1.62,0.0,0.0,0.0,0.0,0.0
2016-06-30,1276.11,2.75,1278.86,454.99,253.84,-38.79,113.12,17.4,123.6,149.08,205.62,54.7,260.32,2.41,257.91,0.0,257.91,59.54,198.37,0.0,198.37,176.15,1.13,1.12,0.0,0.0,0.0,0.0,0.0
2016-09-30,1348.1,3.48,1351.58,482.54,266.07,-48.35,117.56,18.67,105.34,141.62,268.13,84.17,352.3,4.95,347.35,0.0,347.35,78.63,268.72,0.0,268.72,176.15,1.53,1.52,0.0,0.0,0.0,0.0,0.0
2016-12-31,1281.21,2.75,1283.96,439.65,179.41,77.33,105.63,18.04,111.6,127.25,225.05,75.73,300.78,3.92,296.86,0.0,296.86,67.85,229.01,0.0,229.01,176.15,1.3,1.29,0.0,0.0,0.0,0.0,0.0
2017-03-31,1434.8,0.0,1434.8,524.55,245.28,1.62,88.99,21.32,77.49,138.41,337.14,60.04,397.18,4.95,392.23,0.0,392.23,90.0,302.23,0.0,302.23,176.15,1.72,1.71,0.0,0.0,0.0,0.0,0.0
2017-06-30,1233.74,0.0,1233.74,482.54,230.3,-39.33,119.2,24.51,118.72,132.7,165.1,75.58,240.68,5.77,234.91,-14.54,220.37,50.78,169.59,0.0,169.59,176.15,0.96,0.96,0.0,0.0,0.0,0.0,0.0
2017-09-30,1416.39,0.0,1416.39,466.25,197.12,74.47,117.26,25.51,114.69,127.81,293.28,76.23,369.51,4.98,364.53,0.0,364.53,81.12,283.41,0.0,283.41,176.15,1.61,1.6,0.0,0.0,0.0,0.0,0.0
2017-12-31,1449.31,0.0,1449.31,536.39,273.47,-75.9,122.9,26.15,146.83,135.74,283.73,60.58,344.31,5.22,339.09,0.0,339.09,73.62,265.47,0.0,265.47,176.15,1.51,1.5,0.0,0.0,0.0,0.0,0.0
2018-03-31,1509.62,0.0,1509.62,591.85,215.57,-33.27,101.77,26.33,81.71,141.44,384.22,70.84,455.06,5.92,449.14,0.0,449.14,95.56,353.58,0.0,353.58,176.15,2.01,2.0,0.0,0.0,0.0,0.0,0.0
2018-06-30,1473.1,0.0,1473.1,539.11,231.28,12.1,137.97,26.04,0.0,296.16,230.44,68.61,299.05,5.85,293.2,0.0,293.2,62.64,230.56,0.0,230.56,176.63,1.31,1.3,0.0,0.0,0.0,0.0,0.0
2018-09-30,1537.2,0.0,1537.2,583.74,259.36,-52.44,143.29,26.18,0.0,251.78,325.29,75.73,401.02,8.09,392.93,0.0,392.93,85.67,307.26,0.0,307.26,176.63,1.74,1.73,0.0,0.0,0.0,0.0,0.0
2018-12-31,1664.46,0.0,1664.46,571.56,224.08,68.21,147.86,27.97,0.0,287.2,337.58,67.35,404.93,9.55,395.38,0.0,395.38,83.24,312.14,0.0,312.14,176.63,1.77,1.76,0.0,0.0,0.0,0.0,0.0
2019-03-31,1598.43,0.0,1598.43,568.1,270.19,-17.78,143.21,28.64,0.0,240.97,365.1,63.05,428.15,6.31,421.84,0.0,421.84,7.51,414.33,0.0,414.33,176.63,2.35,2.34,0.0,0.0,0.0,0.0,0.0
2019-06-30,1628.27,0.0,1628.27,644.55,224.82,-18.37,144.11,31.27,0.0,316.87,285.02,67.46,352.48,6.15,346.33,-20.0,326.33,68.52,257.81,0.0,257.81,176.71,1.46,1.45,0.0,0.0,0.0,0.0,0.0
2019-09-30,1612.2,0.0,1612.2,622.7,264.14,-64.87,150.89,32.83,0.0,264.5,342.01,75.12,417.13,5.83,411.3,-40.0,371.3,45.76,325.54,0.0,325.54,176.71,1.84,1.84,0.0,0.0,0.0,0.0,0.0
2019-12-31,1748.18,0.0,1748.18,612.7,210.63,71.81,149.7,32.65,0.0,311.8,358.89,67.27,426.16,4.65,421.51,-20.0,401.51,71.51,330.0,0.0,330.0,176.71,1.87,1.86,0.0,0.0,0.0,0.0,0.0
2020-03-31,1321.15,0.0,1321.15,569.42,165.63,-58.46,133.56,33.18,0.0,212.9,264.92,67.05,331.97,2.64,329.33,-20.0,309.33,52.33,257.0,0.0,257.0,176.71,1.45,1.45,0.0,0.0,0.0,0.0,0.0
2020-06-30,1490.89,0.0,1490.89,529.09,222.67,8.69,143.36,34.08,129.76,129.86,293.38,64.82,358.2,2.47,355.73,0.0,355.73,66.3,289.43,0.0,289.43,176.74,1.64,1.63,0.0,0.0,0.0,0.0,0.0
2020-09-30,1900.9,0.0,1900.9,717.65,311.75,-79.38,174.35,36.05,167.54,162.79,410.15,73.23,483.38,1.93,481.45,0.0,481.45,88.77,392.68,0.0,392.68,176.74,2.22,2.22,0.0,0.0,0.0,0.0,0.0
2020-12-31,2071.08,0.0,2071.08,814.82,321.48,-74.44,171.63,35.86,229.33,155.38,417.02,68.07,485.09,1.72,483.37,0.0,483.37,83.86,399.51,0.0,399.51,176.74,2.26,2.25,0.0,0.0,0.0,0.0,0.0
2021-03-31,1721.86,0.0,1721.86,694.47,261.6,-31.58,166.48,37.41,116.87,181.36,295.25,70.53,365.78,3.02,362.76,0.0,362.76,62.49,300.27,0.0,300.27,176.74,1.7,1.69,0.0,0.0,0.0,0.0,0.0
2021-06-30,1982.84,0.0,1982.84,805.43,313.45,-56.96,161.48,38.59,150.56,171.54,398.75,71.16,469.91,2.29,467.62,0.0,467.62,115.23,352.39,0.0,352.39,176.79,1.99,1.99,0.0,0.0,0.0,0.0,0.0
2021-09-30,2119.89,0.0,2119.89,823.73,310.82,-22.73,165.51,40.03,165.57,196.61,440.35,97.16,537.51,3.49,534.02,0.0,534.02,138.86,395.16,0.0,395.16,176.79,2.24,2.23,0.0,0.0,0.0,0.0,0.0
2021-12-31,2224.43,0.0,2224.43,818.49,275.13,90.52,173.91,40.38,195.5,184.16,446.34,81.06,527.4,6.31,521.09,0.0,521.09,127.47,393.62,0.0,393.62,176.79,2.23,2.22,0.0,0.0,0.0,0.0,0.0
2022-03-31,1852.34,0.0,1852.34,780.18,278.47,-39.32,177.81,41.39,109.39,216.43,287.99,92.17,380.16,6.58,373.58,0.0,373.58,81.82,291.76,0.0,291.76,176.79,1.65,1.64,0.0,0.0,0.0,0.0,0.0
2022-06-30,2179.73,0.0,2179.73,918.15,381.66,-71.42,172.58,43.96,130.35,220.68,383.77,84.2,467.97,7.04,460.93,0.0,460.93,110.85,350.08,0.0,350.08,177.17,1.98,1.97,0.0,0.0,0.0,0.0,0.0
2022-09-30,2266.88,0.0,2266.88,832.48,413.82,31.41,184.69,46.52,123.26,208.71,425.99,107.57,533.56,7.92,525.64,0.0,525.64,129.83,395.81,0.0,395.81,177.18,2.23,2.23,0.0,0.0,0.0,0.0,0.0
2022-12-31,2298.26,0.0,2298.26,775.4,345.53,146.34,189.59,47.6,146.48,198.11,449.21,85.64,534.85,12.69,522.16,0.0,522.16,127.82,394.34,0.0,394.34,177.18,2.23,2.22,0.0,0.0,0.0,0.0,0.0
2023-03-31,1939.48,0.0,1939.48,955.43,257.52,-131.31,179.1,50.21,126.61,248.37,253.55,114.76,368.31,18.72,349.59,-29.65,319.94,86.91,233.03,0.0,233.03,177.18,1.32,1.31,0.0,0.0,0.0,0.0,0.0
2023-06-30,2347.38,0.0,2347.38,871.37,385.58,47.4,189.39,51.35,167.37,223.91,411.01,99.09,510.1,15.35,494.75,0.0,494.75,117.08,377.67,0.0,377.67,177.2,2.13,2.13,0.0,0.0,0.0,0.0,0.0
2023-09-30,2334.4,0.0,2334.4,858.47,422.8,-40.0,201.57,51.15,172.99,209.95,457.47,102.49,559.96,18.42,541.54,0.0,541.54,121.27,420.27,0.0,420.27,177.2,2.37,2.37,0.0,0.0,0.0,0.0,0.0
2023-12-31,2414.36,0.0,2414.36,791.04,388.88,100.06,196.89,52.17,0.0,405.97,479.35,101.86,581.21,23.92,557.29,0.0,557.29,129.17,428.12,0.0,428.12,177.2,2.42,2.41,0.0,0.0,0.0,0.0,0.0
2024-03-31,2039.46,0.0,2039.46,779.37,381.79,-58.28,194.29,54.19,145.87,259.84,282.39,114.18,396.57,23.45,373.12,0.0,373.12,89.97,283.15,0.0,283.15,177.2,1.6,1.59,0.0,0.0,0.0,0.0,0.0
2024-06-30,2514.16,0.0,2514.16,859.59,450.06,70.76,202.59,60.1,0.0,434.23,436.83,109.62,546.45,19.49,526.96,0.0,526.96,121.57,405.39,0.0,405.39,177.23,2.29,2.28,0.0,0.0,0.0,0.0,0.0
2024-09-30,2143.58,0.0,2143.58,844.02,440.96,-141.29,208.05,63.83,0.0,388.63,339.38,118.46,457.84,28.92,428.92,0.0,428.92,99.71,329.21,0.0,329.21,177.23,1.86,1.85,0.0,0.0,0.0,0.0,0.0
2024-12-31,2448.26,0.0,2448.26,781.8,445.5,99.7,205.98,63.78,0.0,392.73,458.77,105.31,564.08,28.33,535.75,0.0,535.75,117.67,418.08,0.0,418.08,177.23,2.36,2.35,0.0,0.0,0.0,0.0,0.0
2025-03-31,1964.71,0.0,1964.71,785.33,341.89,-16.27,160.24,63.22,131.09,278.21,221.0,118.55,339.55,22.84,316.71,0.0,316.71,66.17,250.54,0.0,250.54,177.23,1.41,1.41,0.0,0.0,0.0,0.0,0.0
