Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Money Received Against Share Warrants,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Equity Share Application Money,Share Capital Suspense,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Employees Stock Options,Preference Share Application Money,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,25.24,25.24,1956.37,1956.37,0.0,1981.61,292.12,147.11,0.38,14.49,454.1,137.96,337.36,251.35,54.72,781.39,3217.1,1285.1,21.01,148.63,16.27,0.0,1471.01,28.75,124.76,9.03,1633.55,0.15,838.3,448.49,69.49,65.47,161.65,1583.55,3217.1,549.71,199.0,1983.62,21.2,20.9,0.77,37.23,1.28,416.61,5.63,7.27,98.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,25.24,25.24,2208.09,2208.09,0.0,2233.33,501.4,174.23,3.21,17.66,696.5,320.98,302.56,234.93,35.44,893.91,3823.74,1706.39,46.57,236.29,30.66,0.0,2019.91,81.86,118.87,10.04,2230.68,0.0,916.98,353.55,113.19,46.84,162.5,1593.06,3823.74,415.7,170.84,1662.4,12.45,20.9,18.84,78.33,0.0,354.42,6.87,6.47,156.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,25.24,25.24,2257.81,2257.81,0.0,2283.05,484.28,155.64,1.56,20.22,661.7,182.86,415.24,299.61,62.17,959.88,3904.63,1927.88,48.7,93.8,35.13,0.0,2105.51,97.43,71.65,30.27,2304.86,0.0,831.93,441.45,161.98,2.85,161.56,1599.77,3904.63,116.94,444.53,1429.85,6.61,20.9,43.05,78.1,0.0,234.14,4.44,2.86,45.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,25.24,25.24,2449.88,2449.88,0.0,2475.12,351.74,168.64,1.56,24.55,546.49,177.3,388.06,320.57,60.41,946.34,3967.95,1899.69,46.28,62.33,32.54,0.0,2040.84,98.01,95.31,22.14,2256.3,113.57,873.54,501.98,17.53,2.03,203.0,1711.65,3967.95,88.04,457.1,1561.74,0.0,20.9,0.0,0.05,113.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,25.24,25.24,2669.71,2669.71,0.0,2694.95,234.01,158.66,1.56,25.88,420.11,239.04,414.75,271.65,67.21,992.65,4107.71,1816.44,38.17,42.02,31.21,0.0,1927.84,146.28,110.45,15.97,2200.54,69.35,873.17,594.38,131.03,2.14,237.1,1907.17,4107.71,80.65,488.36,1564.21,0.0,20.9,0.0,0.0,69.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,25.27,25.27,3111.39,3111.39,0.0,3136.66,133.94,146.26,1.56,25.28,307.04,195.86,464.09,283.49,70.4,1013.84,4457.54,1706.35,33.75,35.72,30.24,0.0,1806.06,231.86,116.96,17.11,2171.99,90.38,1055.55,632.06,259.81,2.12,245.63,2285.55,4457.54,164.84,626.64,1730.84,0.0,20.9,0.0,0.0,90.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,25.27,25.27,3640.33,3640.33,11.94,3677.54,78.38,140.79,15.28,30.98,265.43,309.27,537.85,301.63,92.85,1241.6,5184.57,1798.91,42.06,69.77,14.42,0.0,1925.16,410.47,98.98,37.85,2472.46,238.25,1266.96,839.13,152.4,3.22,212.15,2712.11,5184.57,219.49,769.43,2143.75,0.0,20.9,0.0,0.0,238.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,25.37,25.37,4727.35,4727.35,0.0,4752.72,9.13,135.0,10.4,37.29,191.82,214.07,526.46,222.78,102.28,1065.59,6010.13,1839.75,28.85,180.85,1.15,0.0,2050.6,474.01,138.95,68.78,2732.34,393.83,1517.09,774.46,306.92,19.96,265.53,3277.79,6010.13,382.2,794.87,2717.19,0.0,20.9,0.0,0.0,393.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,25.37,25.37,5497.97,5497.97,0.0,5523.34,395.18,155.14,12.92,40.98,604.22,365.83,480.41,392.44,100.62,1339.3,7466.86,2057.31,27.47,285.29,3.75,0.0,2373.82,728.21,63.88,110.03,3275.94,719.31,1750.15,815.94,592.97,7.46,305.09,4190.92,7466.86,287.71,893.54,2502.69,0.0,10.45,0.0,25.19,719.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,25.37,25.37,5851.93,5851.93,0.0,5877.3,651.78,179.45,14.09,46.57,891.89,770.83,450.84,348.24,107.87,1677.78,8446.97,2454.58,24.08,114.31,8.71,0.0,2601.68,733.41,115.86,120.87,3571.82,323.32,1660.13,925.9,1706.06,1.03,258.71,4875.15,8446.97,2161.85,817.75,2643.42,0.0,10.45,0.0,25.41,323.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,25.37,25.37,6323.34,6323.34,0.0,6348.71,542.19,183.09,14.62,50.49,790.39,590.72,422.74,397.63,109.08,1520.17,8659.27,2502.09,21.47,165.59,9.61,0.14,2698.9,2243.56,88.2,118.72,5149.38,410.6,1677.09,1027.4,112.92,5.43,276.45,3509.89,8659.27,308.45,727.91,2707.7,0.0,10.45,0.0,18.6,410.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
