Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-12-31,1723.79,19.3,1743.09,304.35,-48.94,508.41,355.78,107.28,0.0,481.94,34.27,140.73,175.0,0.52,174.48,53.45,227.93,80.05,147.88,0.0,147.88,1288.62,0.57,0.57,0.0,0.0,0.0,0.0,0.0
2016-03-31,1889.32,0.0,1889.32,286.92,178.79,438.04,340.78,110.83,0.0,404.7,129.26,177.88,307.14,0.53,306.61,0.0,306.61,92.55,214.06,0.0,214.06,1288.62,0.83,0.83,0.0,0.0,0.0,0.0,0.0
2016-06-30,1528.18,20.84,1549.02,246.94,-166.82,503.97,346.99,118.79,0.0,423.32,75.83,133.61,209.44,0.54,208.9,0.0,208.9,73.89,135.01,0.0,135.01,1288.62,0.52,0.52,0.0,0.0,0.0,0.0,0.0
2016-09-30,1813.2,32.87,1846.07,283.7,36.11,528.31,351.87,135.28,0.0,473.76,37.04,136.85,173.89,0.56,173.33,0.0,173.33,52.1,121.23,0.0,121.23,966.46,0.63,0.63,0.0,0.0,0.0,0.0,0.0
2016-12-31,1852.44,0.0,1852.44,336.22,-106.13,591.29,355.94,117.68,0.0,389.88,167.56,75.85,243.41,0.6,242.81,-37.13,205.68,61.76,143.92,0.0,143.92,966.46,0.74,0.74,0.0,0.0,0.0,0.0,0.0
2017-03-31,2423.26,0.0,2423.26,314.93,140.25,588.96,482.64,108.61,0.0,469.01,318.86,61.96,380.82,0.99,379.83,-3.02,376.81,108.44,268.37,0.0,268.37,966.46,1.39,1.39,0.0,0.0,0.0,0.0,0.0
2017-06-30,1802.69,0.0,1802.69,298.36,-212.88,620.13,430.14,116.97,0.0,439.44,110.53,85.86,196.39,0.44,195.95,0.0,195.95,67.01,128.94,0.0,128.94,966.46,0.67,0.67,0.0,0.0,0.0,0.0,0.0
2017-09-30,2454.76,0.0,2454.76,386.04,109.89,717.49,453.14,112.32,0.0,452.74,223.14,80.97,304.11,0.44,303.67,16.21,319.88,85.25,234.63,0.0,234.63,966.46,1.21,1.21,0.0,0.0,0.0,0.0,0.0
2017-12-31,2388.82,0.0,2388.82,362.93,-17.02,694.03,737.58,124.34,0.0,267.59,219.37,76.62,295.99,0.51,295.48,801.46,1096.94,375.16,721.78,0.0,721.78,966.46,3.73,3.73,0.0,0.0,0.0,0.0,0.0
2018-03-31,2863.16,0.0,2863.16,417.98,167.44,716.27,640.34,126.77,0.0,431.46,362.9,57.31,420.21,0.56,419.65,6.41,426.06,169.0,257.06,0.0,257.06,966.46,1.33,1.33,0.0,0.0,0.0,0.0,0.0
2018-06-30,2973.31,0.0,2973.31,508.87,-118.59,734.69,465.09,121.7,0.0,372.16,889.39,62.11,951.5,0.57,950.93,91.01,1041.94,354.89,687.05,0.0,687.05,966.46,3.55,3.55,0.0,0.0,0.0,0.0,0.0
2018-09-30,3040.93,0.0,3040.93,462.78,26.74,816.49,504.37,115.98,0.0,379.62,734.95,90.27,825.22,0.61,824.61,0.0,824.61,314.61,510.0,0.0,510.0,966.46,2.64,2.64,0.0,0.0,0.0,0.0,0.0
2018-12-31,2718.88,0.0,2718.88,481.84,-49.17,787.46,486.74,118.11,0.0,499.05,394.85,75.8,470.65,0.6,470.05,0.0,470.05,168.29,301.76,0.0,301.76,932.81,1.58,1.58,0.0,0.0,0.0,0.0,0.0
2019-03-31,2766.2,0.0,2766.2,466.19,135.94,615.45,616.08,120.31,0.0,414.99,397.24,97.69,494.93,0.6,494.33,-91.01,403.32,169.73,233.59,0.0,233.59,932.81,1.25,1.25,0.0,0.0,0.0,0.0,0.0
2019-06-30,2084.08,0.0,2084.08,515.3,-270.43,701.54,496.64,126.4,0.0,426.67,87.96,61.39,149.35,1.63,147.72,0.0,147.72,49.94,97.78,0.0,97.78,932.81,0.52,0.52,0.0,0.0,0.0,0.0,0.0
2019-09-30,2363.55,0.0,2363.55,394.31,127.26,0.0,484.36,134.25,0.0,1325.46,-102.09,56.56,-45.53,1.64,-47.17,0.0,-47.17,-18.82,-28.35,0.0,-28.35,932.81,-0.15,-0.15,0.0,0.0,0.0,0.0,0.0
2019-12-31,2088.35,0.0,2088.35,417.44,-39.77,721.38,504.58,134.13,0.0,450.38,-99.79,48.22,-51.57,1.65,-53.22,0.0,-53.22,-19.26,-33.96,0.0,-33.96,932.81,-0.18,-0.18,0.0,0.0,0.0,0.0,0.0
2020-03-31,1935.86,0.0,1935.86,375.43,-182.29,692.42,508.49,135.05,0.0,333.44,73.32,106.41,179.73,0.82,178.91,0.0,178.91,76.15,102.76,0.0,102.76,932.81,0.55,0.55,0.0,0.0,0.0,0.0,0.0
2020-06-30,1380.63,0.0,1380.63,331.12,-447.94,634.48,516.19,135.9,0.0,217.71,-6.83,33.29,26.46,1.79,24.67,0.0,24.67,8.04,16.63,0.0,16.63,932.81,0.09,0.09,0.0,0.0,0.0,0.0,0.0
2020-09-30,2374.89,0.0,2374.89,288.17,253.76,660.19,500.1,143.19,0.0,396.8,132.68,24.16,156.84,1.84,155.0,0.0,155.0,47.55,107.45,0.0,107.45,932.81,0.58,0.58,0.0,0.0,0.0,0.0,0.0
2020-12-31,2378.79,0.0,2378.79,320.2,80.6,0.0,482.72,169.66,0.0,1061.4,264.21,36.16,300.37,1.74,298.63,0.0,298.63,58.82,239.81,0.0,239.81,932.81,1.29,1.29,0.0,0.0,0.0,0.0,0.0
2021-03-31,2821.48,0.0,2821.48,375.94,107.82,0.0,431.23,157.07,0.0,962.48,786.94,52.99,839.93,1.71,838.22,0.0,838.22,-97.42,935.64,0.0,935.64,918.32,5.03,5.03,0.0,0.0,0.0,0.0,0.0
2021-06-30,2474.55,0.0,2474.55,388.02,-298.43,0.0,580.67,149.14,0.0,1223.51,431.64,31.74,463.38,1.77,461.61,0.0,461.61,113.88,347.73,0.0,347.73,918.32,1.89,1.89,0.0,0.0,0.0,0.0,0.0
2021-09-30,3592.18,0.0,3592.18,395.94,163.05,0.0,527.95,151.79,0.0,1377.97,975.48,42.41,1017.89,1.82,1016.07,0.0,1016.07,278.27,737.8,0.0,737.8,918.32,4.07,4.07,0.0,0.0,0.0,0.0,0.0
2021-12-31,3773.26,0.0,3773.26,513.85,92.55,871.81,593.81,151.47,0.0,510.72,1039.05,71.99,1111.04,1.91,1109.13,0.0,1109.13,278.27,830.86,0.0,830.86,918.32,4.52,4.52,0.0,0.0,0.0,0.0,0.0
2022-03-31,4340.82,0.0,4340.82,673.32,-74.0,0.0,653.37,384.19,0.0,1469.54,1234.4,151.28,1385.68,17.62,1368.06,0.0,1368.06,342.38,1025.68,0.0,1025.68,918.32,5.58,5.58,0.0,0.0,0.0,0.0,0.0
2022-06-30,3783.32,0.0,3783.32,724.99,-141.92,0.0,506.2,149.65,0.0,1825.38,719.02,62.9,781.92,3.87,778.05,0.0,778.05,199.41,578.64,0.0,578.64,918.32,3.15,3.15,0.0,0.0,0.0,0.0,0.0
2022-09-30,3489.57,0.0,3489.57,707.11,163.41,0.0,390.93,153.65,0.0,1893.75,180.72,69.26,249.98,4.1,245.88,0.0,245.88,75.76,170.12,0.0,170.12,918.32,0.93,0.93,0.0,0.0,0.0,0.0,0.0
2022-12-31,3289.98,0.0,3289.98,876.09,-121.66,0.0,469.3,157.06,0.0,1606.48,302.71,66.32,369.03,4.23,364.8,0.0,364.8,90.95,273.85,0.0,273.85,918.32,1.49,1.49,0.0,0.0,0.0,0.0,0.0
2023-03-31,3670.86,0.0,3670.86,863.93,83.51,0.0,465.63,255.44,0.0,1491.27,511.08,55.9,566.98,0.72,566.26,0.0,566.26,44.38,521.88,0.0,521.88,918.32,2.84,2.84,0.0,0.0,0.0,0.0,0.0
2023-06-30,3178.36,0.0,3178.36,740.27,-148.68,0.0,629.47,169.69,0.0,1362.96,424.65,48.52,473.17,2.26,470.91,0.0,470.91,121.52,349.39,0.0,349.39,918.32,1.9,1.9,0.0,0.0,0.0,0.0,0.0
2023-09-30,3043.42,0.0,3043.42,721.55,-75.2,0.0,453.06,186.15,0.0,1547.5,210.36,68.6,278.96,3.99,274.97,0.0,274.97,68.71,206.26,0.0,206.26,918.32,1.12,1.12,0.0,0.0,0.0,0.0,0.0
2023-12-31,3346.9,0.0,3346.9,649.32,59.48,0.0,439.06,153.79,0.0,1425.91,619.34,50.97,670.31,2.1,668.21,0.0,668.21,179.74,488.47,0.0,488.47,918.32,2.66,2.66,0.0,0.0,0.0,0.0,0.0
2024-03-31,3579.05,0.0,3579.05,680.75,18.35,0.0,512.47,240.02,0.0,1259.97,867.49,84.04,951.53,8.86,942.67,426.81,1369.48,353.65,1015.83,0.0,1015.83,918.32,5.53,5.53,0.0,0.0,0.0,0.0,0.0
2024-06-30,2856.1,0.0,2856.1,487.2,-293.12,0.0,466.67,174.3,0.0,1261.15,759.9,60.52,820.42,3.41,817.01,0.0,817.01,215.79,601.22,0.0,601.22,918.32,3.27,3.27,0.0,0.0,0.0,0.0,0.0
2024-09-30,4001.48,0.0,4001.48,491.29,153.96,0.0,476.39,179.83,0.0,1330.82,1369.19,71.79,1440.98,4.43,1436.55,0.0,1436.55,374.37,1062.18,0.0,1062.18,918.32,5.78,5.78,0.0,0.0,0.0,0.0,0.0
2024-12-31,4662.22,0.0,4662.22,506.32,19.93,827.27,429.79,285.65,0.0,551.37,2041.89,99.09,2140.98,19.08,2121.9,0.0,2121.9,539.0,1582.9,0.0,1582.9,918.32,8.62,8.62,0.0,0.0,0.0,0.0,0.0
2025-03-31,5267.83,0.0,5267.83,578.51,29.03,842.66,413.25,163.66,-75.86,650.5,2666.08,125.61,2791.69,32.05,2759.64,0.0,2759.64,681.27,2078.37,0.0,2078.37,918.32,11.32,11.32,0.0,0.0,0.0,0.0,0.0
