Date,Equity Share Capital,Total Share Capital,Revaluation Reserves,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Government/Other Grants,Preference Share Capital,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,100.0,100.0,0.9,2316.8,2317.7,2417.7,25.9,40.0,131.1,0.0,197.0,81.5,268.5,89.9,163.9,603.8,3218.5,941.0,8.3,101.8,0.0,0.0,1051.1,144.9,0.0,554.6,0.6,1751.2,348.3,357.6,494.6,204.2,56.8,5.8,1467.3,3218.5,829.5,82.3,31.9,1066.9,13.4,93.47,159.9,102.2,348.3,523.9,6.6,65.5,61.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,100.0,100.0,0.9,2483.5,2484.4,2584.4,11.4,36.8,136.4,0.0,184.6,56.1,300.8,60.3,146.8,564.0,3333.0,898.6,15.7,57.6,0.0,0.0,971.9,80.4,0.0,543.5,1.3,1597.1,84.3,406.3,555.1,621.2,55.2,13.8,1735.9,3333.0,1228.4,105.7,21.2,1033.9,65.4,93.47,0.0,80.4,84.3,533.7,0.5,62.5,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,100.0,100.0,0.9,5895.7,5896.6,5996.6,136.5,0.9,92.0,9.5,238.9,225.5,394.4,214.2,28.5,862.6,7098.1,859.6,34.2,172.3,0.0,43.9,1110.0,3210.6,0.0,158.4,248.0,4727.0,598.3,504.6,503.8,643.0,0.0,121.4,2371.1,7098.1,1644.3,818.2,21.0,0.0,343.2,93.47,5580.0,487.2,598.3,556.1,6.1,57.8,97.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,100.0,100.0,0.9,6440.2,6441.1,6541.1,132.4,0.0,76.9,13.3,222.6,0.0,450.5,222.7,32.0,705.2,7468.9,864.9,29.2,240.8,0.0,43.9,1178.8,3363.5,105.4,192.3,250.4,5090.4,524.7,539.6,798.2,382.9,0.0,133.1,2378.5,7468.9,1708.6,789.9,0.0,0.0,509.0,93.47,7562.2,640.3,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,300.0,300.0,0.9,6437.7,6438.6,6738.6,67.2,0.0,72.3,17.2,156.7,0.0,579.7,220.3,31.6,831.6,7726.9,834.1,24.7,318.5,0.0,43.8,1221.1,3745.2,102.2,281.7,319.0,5669.2,453.8,561.7,739.9,196.9,0.0,105.4,2057.7,7726.9,1797.7,734.8,0.0,0.0,470.9,293.47,8672.4,1022.0,145.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,300.0,300.0,0.9,6814.5,6815.4,7115.4,1.4,0.0,105.5,24.8,131.7,0.0,643.9,294.6,54.8,993.3,8240.4,1029.1,30.1,254.5,0.0,41.9,1355.6,3902.8,201.9,106.6,227.1,5794.0,113.4,801.9,901.8,356.0,91.8,181.5,2446.4,8240.4,1932.8,1039.9,0.0,0.0,510.7,293.47,8374.1,1236.8,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,600.0,600.0,0.9,6936.4,6937.3,7537.3,0.7,0.0,23.4,21.4,45.5,0.0,521.2,182.4,24.4,728.0,8310.8,698.6,22.1,151.9,0.0,72.5,945.1,4814.0,179.5,156.7,131.8,6227.1,138.8,534.7,573.2,375.3,100.6,361.1,2083.7,8310.8,2203.7,847.4,0.0,0.0,327.9,593.47,6798.3,2149.8,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,600.0,600.0,0.9,7306.2,7307.1,7907.1,0.0,0.0,90.1,26.3,116.4,0.0,372.0,152.7,25.5,550.2,8573.7,708.2,20.4,164.6,14.6,69.5,977.3,5073.4,146.4,0.0,207.3,6404.4,339.3,430.9,588.0,601.2,0.0,209.9,2169.3,8573.7,1749.6,508.4,0.0,0.0,670.7,593.47,15346.8,2411.8,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,600.3,600.3,0.9,7491.7,7492.6,8092.9,75.9,0.0,83.7,25.6,185.2,0.0,380.9,185.2,24.8,590.9,8869.0,784.3,20.4,270.3,14.6,65.5,1155.1,5017.8,120.0,19.0,154.9,6466.8,262.2,541.5,700.6,689.3,22.3,186.3,2402.2,8869.0,638.3,636.0,0.0,0.0,888.5,593.47,16871.8,2359.7,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,600.3,600.3,0.9,10314.8,10315.7,10916.0,1297.7,0.0,92.8,25.4,1415.9,0.0,485.9,183.9,28.2,698.0,13029.9,882.7,16.7,328.9,14.6,62.0,1304.9,8949.8,22.8,0.0,186.4,10463.9,320.9,560.1,658.0,720.3,0.0,306.7,2566.0,13029.9,754.8,665.4,0.0,0.0,1012.1,593.47,13096.5,6878.3,320.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,600.3,600.3,0.9,10311.1,10312.0,10912.3,2040.8,0.0,95.6,28.3,2164.7,0.0,447.6,211.5,32.1,691.2,13768.2,885.4,15.0,545.0,14.6,58.0,1518.0,9255.6,7.4,0.0,227.2,11008.2,62.9,664.7,1048.1,585.7,0.0,398.6,2760.0,13768.2,1125.3,651.0,0.0,0.0,904.3,593.47,15475.6,7185.0,62.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,600.3,600.3,0.0,10924.1,10924.1,11524.4,2251.5,13.6,61.1,33.3,2359.5,619.5,814.4,268.8,34.5,1737.2,15621.1,1113.9,14.2,686.7,0.0,0.0,1814.8,11382.6,0.0,0.0,253.5,13450.9,0.0,836.3,829.4,249.8,0.0,254.7,2170.2,15621.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
