Date,Equity Share Capital,Total Share Capital,Revaluation Reserves,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Raw Materials,Capital Goods,Preference Share Capital,Equity Share Application Money,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Deferred Tax Assets [Net],Current Investments,"Stores, Spares And Loose Tools",Trade/Other Goods
2014-03-31,11.24,11.24,1.21,302.33,303.54,0.0,314.78,78.56,13.06,0.0,0.1,91.73,15.5,180.45,74.32,6.36,276.63,683.14,277.64,0.0,2.85,280.49,10.67,15.35,0.0,306.52,189.23,142.48,1.05,43.37,0.48,376.62,683.14,37.82,6.21,0.28,19.14,0.0,4.22,0.0,10.67,362.15,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,11.84,11.84,1.21,600.0,601.21,0.0,613.05,111.76,17.93,0.0,0.21,129.9,0.0,232.45,69.26,7.06,308.77,1051.72,284.61,0.0,21.42,306.03,271.48,17.63,0.0,595.15,204.61,188.82,7.09,54.34,1.7,456.57,1051.72,58.56,6.77,0.28,17.43,0.09,4.22,0.0,271.48,401.02,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,11.98,11.98,1.21,725.79,727.0,0.0,738.97,119.75,21.49,0.0,0.32,141.55,0.0,267.5,79.84,0.72,348.06,1228.58,358.87,2.28,8.07,369.22,345.78,26.19,0.0,741.19,211.77,180.73,45.61,46.81,2.47,487.39,1228.58,62.59,8.32,0.42,12.06,0.19,4.22,0.0,345.78,422.18,16.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,11.98,11.98,1.21,823.04,824.25,0.0,836.23,98.51,26.16,0.0,0.43,125.09,25.0,241.08,89.01,0.18,355.27,1316.59,407.14,2.0,17.25,426.39,335.91,14.73,12.12,789.15,196.43,266.51,14.86,5.1,44.55,527.44,1316.59,103.66,358.35,0.0,10.58,0.0,4.22,0.0,335.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,11.98,11.98,1.21,935.61,936.82,0.0,948.8,73.35,28.8,0.0,0.5,102.65,0.0,283.19,95.78,0.87,379.84,1431.29,447.19,1.46,64.67,513.32,337.59,24.31,9.45,884.67,265.13,221.18,38.23,1.15,20.91,546.61,1431.29,94.07,502.83,0.0,6.65,0.0,4.22,0.0,337.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,11.98,11.98,1.21,1140.78,1141.99,0.0,1153.97,121.28,46.56,0.0,1.55,169.38,25.0,322.06,112.83,1.74,461.64,1784.99,625.24,60.68,77.56,763.48,339.89,32.85,32.44,1168.66,299.56,223.35,61.93,1.25,30.24,616.33,1784.99,223.4,429.62,0.0,16.19,0.0,4.22,0.0,339.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,15.1,15.1,1.2,1314.3,1315.5,1.1,1331.7,89.1,37.2,1.3,1.2,128.8,0.0,407.6,71.1,2.5,481.2,1941.7,768.2,54.1,42.6,864.9,338.8,38.8,17.4,1259.9,422.1,139.1,71.0,1.2,48.4,681.8,1941.7,151.5,498.1,0.0,17.9,0.0,7.22,0.0,338.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,20.1,20.1,1.2,1623.3,1624.5,0.5,1645.1,8.9,37.3,0.5,1.3,48.0,0.0,417.8,108.7,2.5,529.0,2222.1,826.7,48.2,52.2,927.1,333.5,28.4,30.1,1319.1,360.4,179.9,323.7,1.2,37.8,903.0,2222.1,220.4,437.0,0.0,22.8,0.0,12.22,0.0,333.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,20.1,20.1,1.2,1983.8,1985.0,1.3,2006.4,23.2,38.9,3.6,0.9,66.6,5.4,587.6,90.5,1.5,685.0,2758.0,1015.7,42.2,102.6,1160.5,333.5,28.0,20.0,1542.0,547.5,153.3,438.1,1.3,75.8,1216.0,2758.0,167.9,747.3,0.0,31.0,0.0,12.22,0.0,333.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,26.9,26.9,1.2,2649.2,2650.4,2.0,2679.3,2.1,39.4,4.7,2.9,49.1,0.0,731.1,126.4,1.7,859.2,3587.6,1305.1,226.3,126.1,1657.5,287.4,28.8,35.2,2008.9,769.7,235.2,444.6,20.5,108.7,1578.7,3587.6,176.2,931.8,0.0,25.3,0.0,18.92,0.0,287.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,26.9,26.9,1.2,3100.1,3101.3,1.6,3129.8,29.7,44.0,10.3,5.0,89.0,0.3,808.9,183.4,0.7,993.3,4212.1,1673.0,223.0,146.4,2042.4,370.7,37.9,57.7,2508.7,802.9,267.4,567.1,0.5,65.5,1703.4,4212.1,310.8,956.7,0.0,43.1,0.0,18.92,0.0,370.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
