Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2022-12-31,276.16,276.16,0.0,0.0,0.0,0.0,37.59,25.98,128.62,83.96,32.05,116.01,36.54,79.47,60.5,139.97,38.72,101.25,0.0,101.25,205.03,4.94,4.94
2023-03-31,323.94,323.94,0.0,0.0,0.0,0.0,39.34,27.76,134.15,122.7,8.58,131.28,40.37,90.91,-18.44,72.47,32.24,40.23,0.0,40.23,205.03,1.96,1.96
2023-06-30,303.18,303.18,0.0,0.0,0.0,18.76,45.55,30.8,132.18,75.9,4.67,80.56,45.19,35.38,0.0,35.38,-52.28,87.66,0.0,87.66,205.03,4.28,4.27
2023-09-30,306.68,306.68,0.0,0.0,0.0,17.65,46.74,34.82,119.39,88.09,4.69,92.78,49.76,43.02,0.0,43.02,7.42,35.6,0.0,35.6,205.4,1.74,1.73
2023-12-31,370.75,370.75,0.0,0.0,0.0,16.79,48.06,35.15,139.71,131.05,7.64,138.68,47.62,91.06,0.0,91.06,17.87,73.19,0.0,73.19,205.4,3.56,3.56
2024-03-31,410.94,410.94,0.0,0.0,0.0,16.17,49.67,35.04,170.45,139.61,10.11,149.72,50.7,99.02,0.0,99.02,17.19,81.84,0.0,81.84,205.47,3.98,3.98
2024-06-30,347.58,347.58,0.0,0.0,0.0,20.93,50.96,35.14,142.46,98.1,11.87,109.96,26.26,83.7,0.0,83.7,17.01,66.68,0.0,66.68,218.1,3.06,3.06
2024-09-30,360.91,360.91,0.0,0.0,0.0,18.76,49.75,38.05,147.95,106.4,10.8,117.2,28.35,88.85,0.0,88.85,219.32,-130.46,0.0,-130.46,218.25,-5.98,-5.98
2024-12-31,433.74,433.74,0.0,0.0,0.0,17.42,53.12,42.68,165.32,155.19,12.0,167.19,39.88,127.31,0.0,127.31,25.4,101.92,0.0,101.92,218.43,4.67,4.66
2025-03-31,484.34,484.34,0.0,0.0,0.0,19.49,61.31,41.28,170.0,192.26,20.49,212.75,42.63,170.12,0.0,170.12,36.68,133.43,0.0,133.43,218.46,6.12,6.11
