Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-12-31,17.71,0.17,17.88,0.0,9.22,1.63,0.0,16.04,-9.01,0.6,-8.41,13.24,-21.65,0.0,-21.65,0.0,-21.65,0.0,-21.65,523.47,-0.21,-0.21,26.17,25.0,78.52,100.0,75.0
2016-03-31,16.64,0.16,16.79,0.5,12.32,2.15,0.0,17.76,-15.94,2.75,-13.19,13.18,-26.37,0.0,-26.37,0.0,-26.37,0.0,-26.37,523.47,-0.25,-0.25,0.0,0.0,0.0,0.0,0.0
2016-06-30,14.89,0.76,15.64,0.45,14.24,1.88,0.0,15.2,-16.13,15.37,-0.76,14.06,-14.82,0.0,-14.82,0.0,-14.82,0.0,-14.82,523.47,-0.14,-0.14,0.0,0.0,0.0,0.0,0.0
2016-09-30,15.65,0.53,16.18,0.54,14.05,2.0,0.0,20.1,-20.52,3.32,-17.2,19.11,-36.31,0.0,-36.31,0.0,-36.31,0.0,-36.31,523.47,-0.35,-0.35,0.0,0.0,0.0,0.0,0.0
2016-12-31,16.27,0.87,17.14,0.39,13.84,2.28,0.0,16.42,-15.78,-15.31,-31.09,19.17,-50.26,0.0,-50.26,0.0,-50.26,0.0,-50.26,523.48,-0.48,-0.48,0.0,0.0,0.0,0.0,0.0
2017-03-31,17.89,0.0,17.89,0.27,13.59,2.37,0.0,12.7,-11.04,21.36,10.32,18.03,-7.71,0.0,-7.71,0.04,-7.76,0.0,-7.76,523.47,-0.06,-0.06,0.0,0.0,0.0,0.0,0.0
2017-06-30,14.94,0.0,14.94,0.35,17.21,2.24,0.0,15.08,-19.94,9.2,-10.74,18.69,-29.43,0.0,-29.43,0.0,-29.43,0.0,-29.43,523.47,-0.28,-0.28,0.0,0.0,0.0,0.0,0.0
2017-09-30,16.47,0.0,16.47,0.4,17.87,1.86,0.0,20.78,-24.44,-2.27,-26.71,19.39,-46.1,0.0,-46.1,0.0,-46.1,0.0,-46.1,523.47,-0.44,-0.44,0.0,0.0,0.0,0.0,0.0
2017-12-31,17.92,0.0,17.92,0.15,16.06,1.92,0.0,17.86,-18.07,70.13,52.06,18.92,33.14,0.0,33.14,0.0,33.14,0.0,33.14,523.47,0.32,0.32,0.0,0.0,0.0,0.0,0.0
2018-03-31,21.03,0.0,21.03,0.2,14.69,1.86,7.82,13.38,-16.92,15.38,-1.54,20.55,-22.09,0.0,-22.09,0.0,-22.09,0.0,-22.09,523.47,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0
2018-06-30,16.16,0.0,16.16,0.23,18.44,1.88,4.68,12.53,-21.6,-31.22,-52.82,23.68,-76.5,0.0,-76.5,0.0,-76.5,0.0,-76.5,523.47,-0.73,-0.73,0.0,0.0,0.0,0.0,0.0
2018-09-30,21.19,0.0,21.19,0.25,21.32,1.9,2.96,14.74,-19.98,-39.99,-59.97,27.83,-87.8,-346.16,-433.96,0.0,-433.96,0.0,-433.96,523.47,-4.15,-4.15,0.0,0.0,0.0,0.0,0.0
2018-12-31,33.16,0.0,33.16,0.51,26.51,1.8,5.27,29.11,-30.04,9.57,-20.47,32.48,-52.95,0.0,-52.95,-0.09,-52.86,0.0,-52.86,523.47,0.0,-0.5,0.0,0.0,0.0,0.0,0.0
2019-03-31,31.92,0.0,31.92,0.92,25.53,1.69,29.4,10.5,-36.12,-4.44,-40.56,32.03,-72.59,0.0,-72.59,0.28,-72.87,0.0,-72.87,523.47,-0.7,-0.7,0.0,0.0,0.0,0.0,0.0
2019-06-30,27.7,0.0,27.7,0.72,26.45,1.97,10.02,19.99,-31.45,-26.38,-57.83,34.74,-92.57,-233.56,-326.13,0.0,-326.13,0.0,-326.13,523.47,-3.12,-3.12,0.0,0.0,0.0,0.0,0.0
2019-09-30,25.64,0.0,25.64,0.41,27.02,1.87,4.72,17.26,-25.64,1.86,-23.78,32.56,-56.34,0.0,-56.34,0.0,-56.34,0.0,-56.34,523.47,-0.54,-0.54,0.0,0.0,0.0,0.0,0.0
2019-12-31,32.42,0.0,32.42,1.7,22.44,1.73,4.47,15.12,-13.04,2.87,-10.17,30.38,-40.55,0.0,-40.55,0.0,-40.55,0.0,-40.55,523.47,-0.39,-0.39,0.0,0.0,0.0,0.0,0.0
2020-03-31,25.68,0.0,25.68,0.39,19.37,1.66,4.37,19.35,-19.46,1.25,-18.21,30.08,-48.29,0.0,-48.29,0.5,-48.79,0.0,-48.79,523.47,-0.47,-0.47,0.0,0.0,0.0,0.0,0.0
2020-06-30,17.61,0.0,17.61,0.0,20.35,1.71,2.44,11.19,-18.08,2.42,-15.66,30.83,-46.49,0.0,-46.49,0.0,-46.49,0.0,-46.49,523.47,-0.44,-0.44,0.0,0.0,0.0,0.0,0.0
2020-09-30,28.7,0.0,28.7,0.77,16.93,1.72,3.77,9.63,-4.12,0.99,-3.13,26.06,-29.19,0.0,-29.19,0.0,-29.19,0.0,-29.19,523.47,-0.28,-0.28,0.0,0.0,0.0,0.0,0.0
2020-12-31,34.92,0.0,34.92,0.08,21.12,1.62,5.57,12.18,-5.65,0.8,-4.85,22.99,-27.84,0.0,-27.84,0.0,-27.84,0.0,-27.84,523.47,-0.27,-0.27,0.0,0.0,0.0,0.0,0.0
2021-03-31,37.32,0.0,37.32,0.09,15.49,1.6,9.15,22.34,-11.35,4.76,-6.59,22.63,-29.22,0.0,-29.22,0.0,-29.22,0.0,-29.22,523.47,-0.28,-0.28,0.0,0.0,0.0,0.0,0.0
2021-06-30,27.97,0.0,27.97,0.06,16.26,1.47,5.57,11.75,-7.14,4.44,-2.7,24.25,-26.95,0.0,-26.95,0.0,-26.95,0.0,-26.95,523.47,-0.26,-0.26,0.0,0.0,0.0,0.0,0.0
2021-09-30,39.73,0.0,39.73,0.06,22.52,1.4,5.09,13.3,-2.64,1.05,-1.59,24.48,-26.07,0.0,-26.07,0.0,-26.07,0.0,-26.07,523.47,-0.25,-0.25,0.0,0.0,0.0,0.0,0.0
2021-12-31,51.78,0.0,51.78,0.08,20.63,1.26,8.56,12.53,8.72,0.9,9.62,24.6,-14.98,0.0,-14.98,0.0,-14.98,0.0,-14.98,523.47,-0.14,-0.14,0.0,0.0,0.0,0.0,0.0
2022-03-31,47.85,0.0,47.85,0.06,19.41,1.17,8.17,18.11,0.93,2.3,3.23,25.3,-22.07,0.0,-22.07,0.0,-22.07,0.0,-22.07,523.47,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0
2022-06-30,40.65,0.0,40.65,0.07,24.69,1.15,6.91,16.61,-8.78,0.95,-7.83,27.6,-35.43,0.0,-35.43,0.0,-35.43,0.0,-35.43,523.47,-0.34,-0.34,0.0,0.0,0.0,0.0,0.0
2022-09-30,42.53,0.0,42.53,0.05,28.32,1.09,5.93,21.73,-14.59,0.94,-13.65,30.92,-44.57,0.0,-44.57,0.0,-44.57,0.0,-44.57,523.47,-0.43,-0.43,0.0,0.0,0.0,0.0,0.0
2022-12-31,50.78,0.0,50.78,0.0,29.53,1.14,5.28,30.5,-15.67,2.88,-12.79,35.13,-47.92,0.0,-47.92,0.0,-47.92,0.0,-47.92,523.47,-0.46,-0.46,0.0,0.0,0.0,0.0,0.0
2023-03-31,53.25,0.0,53.25,0.0,29.56,1.05,7.71,34.74,-19.81,1.52,-18.29,40.32,-58.61,0.0,-58.61,0.0,-58.61,0.0,-58.61,523.47,-0.56,-0.56,0.0,0.0,0.0,0.0,0.0
2023-06-30,40.3,0.0,40.3,0.0,27.12,1.13,6.2,27.95,-22.1,2.07,-20.03,43.47,-63.5,0.0,-63.5,0.0,-63.5,0.0,-63.5,523.47,-0.61,-0.61,0.0,0.0,0.0,0.0,0.0
2023-09-30,48.86,0.0,48.86,0.0,32.92,3.33,6.27,30.81,-24.47,1.14,-23.33,43.86,-67.19,0.0,-67.19,0.0,-67.19,0.0,-67.19,523.47,-0.64,-0.64,0.0,0.0,0.0,0.0,0.0
2023-12-31,51.88,0.0,51.88,0.0,32.85,0.47,6.56,30.62,-18.62,0.91,-17.71,45.57,-63.28,0.0,-63.28,0.0,-63.28,0.0,-63.28,523.47,-0.6,-0.6,0.0,0.0,0.0,0.0,0.0
2024-03-31,68.55,0.0,68.55,0.0,31.96,0.67,11.48,45.76,-21.32,1.03,-20.29,48.08,-68.37,0.0,-68.37,0.0,-68.37,0.0,-68.37,523.47,-0.65,-0.65,0.0,0.0,0.0,0.0,0.0
2024-06-30,56.01,0.0,56.01,0.0,38.85,0.55,10.02,33.49,-26.9,0.99,-25.91,49.1,-75.01,0.0,-75.01,0.0,-75.01,0.0,-75.01,523.47,-0.72,-0.72,0.0,0.0,0.0,0.0,0.0
2024-09-30,445.27,0.0,445.27,0.0,179.91,30.75,0.0,258.36,-23.75,2.35,-21.4,53.05,-74.45,0.0,-74.45,0.0,-74.45,0.0,-74.45,523.47,-0.48,-0.48,0.0,0.0,0.0,0.0,0.0
2024-12-31,476.41,0.0,476.41,0.0,181.24,30.83,0.0,284.59,-20.25,7.55,-12.7,53.57,-66.27,3498.21,3431.94,0.0,3431.94,0.0,3431.94,771.0,22.26,22.26,0.0,0.0,0.0,0.0,0.0
2025-03-31,521.76,0.0,521.76,0.0,178.11,30.2,0.0,330.23,-16.78,2.0,-14.78,54.7,-69.48,0.0,-69.48,0.0,-69.48,0.0,-69.48,771.0,-0.45,-0.45,0.0,0.0,0.0,0.0,0.0
