Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Share Capital Suspense,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Borrowings,Intangible Assets Under Development,Deferred Tax Assets [Net],Preference Share Capital,Equity Share Application Money,Raw Materials,"Stores, Spares And Loose Tools"
2016-03-31,523.47,523.47,2100.59,2100.59,2624.06,0.0,0.0,2.91,3.05,646.23,28.3,14.29,217.93,906.76,3533.87,13.62,10.37,0.0,25.24,3265.69,183.45,8.23,3482.6,0.0,0.7,27.35,6.38,11.97,4.87,51.27,3533.87,3309.87,2.4,0.0,12.2,3595.27,660.24,6.06,0.0,0.13,1.25,0.0,0.0,0.0,0.0,0.0
2017-03-31,523.47,523.47,2015.99,2015.99,2539.46,0.0,0.0,2.75,2.82,1148.44,36.06,16.36,217.96,1418.82,3961.1,17.64,10.44,0.0,28.08,3637.64,183.48,47.77,3896.97,5.77,0.57,40.08,2.62,0.04,15.05,64.13,3961.1,3279.85,0.0,0.0,0.0,3696.01,1393.13,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,523.47,523.47,1823.29,1823.29,2346.76,0.0,0.0,4.39,4.39,1602.08,40.96,30.07,218.5,1891.61,4242.76,15.41,294.51,0.0,309.92,3550.64,195.98,64.12,4121.44,7.53,0.75,59.35,14.37,16.19,23.13,121.32,4242.76,3159.89,4.31,0.0,5.32,5955.63,1064.08,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0
2019-03-31,523.47,523.47,1178.18,1178.18,1701.65,0.0,0.0,5.67,5.67,2100.71,47.94,44.07,219.78,2412.5,4119.82,15.52,293.64,0.0,309.16,3557.79,122.29,53.63,4043.37,0.0,1.16,48.06,2.2,0.41,24.62,76.45,4119.82,3157.17,11.23,0.0,15.2,3183.52,1418.89,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
2020-03-31,523.47,523.47,651.15,651.15,1174.62,0.0,2.61,6.58,9.19,2218.22,21.55,80.39,217.95,2538.11,3721.92,15.63,292.63,0.0,308.26,3267.39,32.48,55.88,3664.01,4.76,0.55,26.79,1.96,0.81,23.04,57.91,3721.92,3151.52,10.7,0.0,14.46,1389.02,889.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,523.47,523.47,513.69,513.69,1037.16,0.0,2.32,5.73,8.05,2336.04,20.86,59.95,218.95,2635.8,3681.01,13.06,291.73,0.0,304.79,3259.0,33.47,40.61,3637.87,0.0,0.36,33.07,1.65,1.21,6.85,43.14,3681.01,3150.78,4.75,0.0,19.2,2565.83,865.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,523.47,523.47,419.33,419.33,942.8,0.0,0.74,5.28,6.02,2420.43,14.45,67.11,218.87,2720.86,3669.68,8.15,291.44,0.0,299.59,3254.7,34.39,40.31,3628.99,0.0,0.1,32.84,1.85,1.96,3.94,40.69,3669.68,35.95,4.66,0.0,32.39,6541.39,865.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,523.47,523.47,457.69,457.69,981.16,0.0,0.23,6.31,6.54,2609.61,23.88,61.16,2.01,2696.66,3684.36,6.53,291.75,2.01,300.29,3262.61,36.35,33.45,3632.7,0.0,0.0,41.32,0.4,1.01,8.93,51.66,3684.36,37.64,5.03,0.0,40.03,2570.42,866.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,523.47,523.47,675.47,675.47,1198.94,247.53,143.96,69.48,213.44,2552.71,313.26,221.3,15.38,3102.65,4762.56,535.39,1220.09,0.9,1756.38,2073.21,38.37,156.0,4023.96,18.01,0.0,570.9,16.31,0.13,133.25,738.6,4762.56,84.45,104.15,0.0,150.79,95.86,1751.55,0.0,18.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,771.0,771.0,3900.84,3900.84,4671.84,0.0,154.41,81.77,236.18,2787.38,434.06,172.83,15.22,3409.49,8317.51,1674.21,46.48,0.02,1720.71,5556.69,38.02,249.6,7565.02,0.0,0.0,628.32,2.43,3.7,118.04,752.49,8317.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
