Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2017-12-31,4085.35,51.22,4136.57,1692.9,475.12,963.32,192.84,29.45,136.44,231.21,415.29,18.4,433.69,10.36,423.33,0.0,423.33,115.12,308.21,0.0,308.21,88.78,3.47,3.47,0.0,0.0,0.0,0.0,0.0
2018-03-31,3869.33,47.48,3916.81,2892.99,472.13,-584.26,210.97,30.06,102.17,367.42,425.33,19.96,445.29,12.4,432.89,-80.7,352.19,70.07,282.12,0.0,282.12,88.78,3.18,3.18,0.0,0.0,0.0,0.0,0.0
2018-06-30,4268.56,50.29,4318.85,2128.29,558.94,471.46,206.54,35.14,136.21,322.13,460.14,35.67,495.81,8.83,486.98,0.0,486.98,137.81,349.17,0.0,349.17,88.78,3.93,3.93,0.0,0.0,0.0,0.0,0.0
2018-09-30,4353.39,53.45,4406.84,3431.04,834.74,-1085.34,205.75,37.48,135.95,417.58,429.64,26.78,456.42,10.53,445.89,0.0,445.89,131.51,314.38,0.0,314.38,88.78,3.54,3.54,0.0,0.0,0.0,0.0,0.0
2018-12-31,5632.45,39.77,5672.22,2821.45,917.24,508.93,214.27,32.8,137.92,488.17,551.44,60.93,612.37,12.87,599.5,0.0,599.5,183.27,416.23,0.0,416.23,88.78,4.69,4.69,0.0,0.0,0.0,0.0,0.0
2019-03-31,4630.93,41.13,4672.06,3441.26,518.0,-558.83,252.23,33.47,112.52,451.31,422.1,55.12,477.22,12.22,465.0,-70.0,395.0,100.42,294.58,0.0,294.58,88.78,3.32,3.32,0.0,0.0,0.0,0.0,0.0
2019-06-30,4885.38,54.28,4939.66,3053.7,604.55,-44.77,245.41,68.12,134.04,381.44,497.17,55.98,553.15,30.3,522.85,0.0,522.85,152.12,370.73,0.0,370.73,88.78,4.18,4.18,0.0,0.0,0.0,0.0,0.0
2019-09-30,4370.82,64.18,4435.0,3830.44,902.37,-1595.01,265.65,73.7,125.43,392.93,439.49,30.68,470.17,40.75,429.42,0.0,429.42,109.26,320.16,0.0,320.16,88.78,3.61,3.61,0.0,0.0,0.0,0.0,0.0
2019-12-31,6105.96,100.27,6206.23,2724.2,782.83,1155.71,285.05,77.7,141.24,381.6,657.9,19.66,677.56,40.49,637.07,0.0,637.07,167.12,469.95,0.0,469.95,88.78,5.29,5.29,0.0,0.0,0.0,0.0,0.0
2020-03-31,4370.1,58.65,4428.75,2880.71,568.82,-351.74,244.01,90.17,75.94,407.36,513.48,40.09,553.57,37.94,515.63,0.0,515.63,158.84,356.79,0.0,356.79,88.78,4.01,4.01,0.0,0.0,0.0,0.0,0.0
2020-06-30,1251.0,611.0,1862.0,655.0,62.0,761.0,222.0,82.0,16.0,392.0,-328.0,39.0,-289.0,46.0,-335.0,0.0,-335.0,-65.0,-270.0,0.0,-270.0,89.0,-3.04,-3.04,0.0,0.0,0.0,0.0,0.0
2020-09-30,3892.0,426.0,4318.0,3212.0,412.0,-637.0,212.0,83.0,51.0,774.0,211.0,71.0,282.0,44.0,238.0,0.0,238.0,39.0,199.0,0.0,199.0,89.0,2.24,2.24,0.0,0.0,0.0,0.0,0.0
2020-12-31,6912.0,375.0,7287.0,4769.0,1120.0,-196.0,226.0,84.0,86.0,424.0,774.0,37.0,811.0,46.0,765.0,-137.0,628.0,209.0,419.0,0.0,419.0,89.0,4.72,4.72,0.0,0.0,0.0,0.0,0.0
2021-03-31,6991.0,144.0,7135.0,4507.0,868.0,236.0,251.0,82.0,79.0,399.0,713.0,34.0,747.0,45.0,702.0,0.0,702.0,173.0,529.0,0.0,529.0,89.0,5.96,5.96,0.0,0.0,0.0,0.0,0.0
2021-06-30,2780.0,469.0,3249.0,3014.0,508.0,-963.0,268.0,83.0,37.0,241.0,61.0,65.0,126.0,44.0,82.0,0.0,82.0,21.0,61.0,0.0,61.0,89.0,0.69,0.69,0.0,0.0,0.0,0.0,0.0
2021-09-30,6921.0,249.0,7170.0,4726.0,984.0,-285.0,271.0,91.0,109.0,411.0,863.0,50.0,913.0,45.0,868.0,0.0,868.0,227.0,641.0,0.0,641.0,89.0,7.22,7.22,0.0,0.0,0.0,0.0,0.0
2021-12-31,9381.0,134.0,9515.0,6344.0,1336.0,-509.0,276.0,85.0,172.0,497.0,1314.0,55.0,1369.0,52.0,1317.0,0.0,1317.0,330.0,987.0,0.0,987.0,89.0,11.12,11.12,0.0,0.0,0.0,0.0,0.0
2022-03-31,6749.0,527.0,7276.0,6855.0,1359.0,-2711.0,328.0,88.0,156.0,507.0,694.0,76.0,770.0,54.0,716.0,-51.0,665.0,174.0,491.0,0.0,491.0,89.0,5.53,5.53,0.0,0.0,0.0,0.0,0.0
2022-06-30,8493.0,468.0,8961.0,4449.0,1232.0,1096.0,324.0,87.0,171.0,525.0,1077.0,44.0,1121.0,55.0,1066.0,0.0,1066.0,273.0,793.0,0.0,793.0,89.0,8.93,8.93,0.0,0.0,0.0,0.0,0.0
2022-09-30,8134.0,596.0,8730.0,6952.0,1581.0,-2120.0,325.0,89.0,173.0,585.0,1145.0,60.0,1205.0,50.0,1155.0,0.0,1155.0,298.0,857.0,0.0,857.0,89.0,9.66,9.66,0.0,0.0,0.0,0.0,0.0
2022-12-31,10444.0,431.0,10875.0,6070.0,1432.0,870.0,342.0,93.0,203.0,628.0,1237.0,91.0,1328.0,61.0,1267.0,0.0,1267.0,316.0,951.0,0.0,951.0,89.0,10.71,10.71,0.0,0.0,0.0,0.0,0.0
2023-03-31,8553.0,1151.0,9704.0,7614.0,1192.0,-1324.0,371.0,95.0,192.0,615.0,949.0,104.0,1053.0,74.0,979.0,0.0,979.0,245.0,734.0,0.0,734.0,89.0,8.27,8.27,0.0,0.0,0.0,0.0,0.0
2023-06-30,10103.0,1042.0,11145.0,6572.0,1191.0,1042.0,370.0,99.0,207.0,660.0,1004.0,99.0,1103.0,79.0,1024.0,0.0,1024.0,247.0,777.0,0.0,777.0,89.0,8.76,8.76,0.0,0.0,0.0,0.0,0.0
2023-09-30,9903.0,1757.0,11660.0,10053.0,1462.0,-2465.0,374.0,110.0,205.0,676.0,1245.0,122.0,1367.0,106.0,1261.0,0.0,1261.0,321.0,940.0,0.0,940.0,89.0,10.58,10.58,0.0,0.0,0.0,0.0,0.0
2023-12-31,12912.0,140.0,13052.0,8267.0,1598.0,351.0,384.0,118.0,236.0,759.0,1339.0,139.0,1478.0,133.0,1345.0,0.0,1345.0,305.0,1040.0,0.0,1040.0,89.0,11.73,11.72,0.0,0.0,0.0,0.0,0.0
2024-03-31,10047.0,1210.0,11257.0,8664.0,1284.0,-1077.0,375.0,120.0,181.0,721.0,989.0,150.0,1139.0,162.0,977.0,0.0,977.0,191.0,786.0,0.0,786.0,89.0,8.87,8.87,0.0,0.0,0.0,0.0,0.0
2024-06-30,11105.0,948.0,12053.0,9412.0,1494.0,-1378.0,416.0,126.0,202.0,696.0,1085.0,118.0,1203.0,182.0,1021.0,0.0,1021.0,251.0,770.0,0.0,770.0,89.0,8.68,8.68,0.0,0.0,0.0,0.0,0.0
2024-09-30,12268.0,947.0,13215.0,12489.0,1686.0,-3525.0,410.0,132.0,250.0,772.0,1001.0,127.0,1128.0,195.0,933.0,0.0,933.0,228.0,705.0,0.0,705.0,89.0,7.95,7.94,0.0,0.0,0.0,0.0,0.0
2024-12-31,16053.0,44.0,16097.0,8784.0,1550.0,2673.0,444.0,135.0,280.0,856.0,1375.0,131.0,1506.0,186.0,1320.0,0.0,1320.0,330.0,990.0,0.0,990.0,89.0,11.16,11.16,0.0,0.0,0.0,0.0,0.0
2025-03-31,12581.0,896.0,13477.0,13220.0,1642.0,-4307.0,447.0,144.0,247.0,790.0,1294.0,117.0,1411.0,204.0,1207.0,0.0,1207.0,337.0,870.0,0.0,870.0,89.0,9.81,9.8,0.0,0.0,0.0,0.0,0.0
