Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Intangible Assets Under Development,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Deferred Tax Liabilities [Net],Short Term Provisions,Non-Current Investments,Long Term Loans And Advances,Capital Work-In-Progress,Foreign Currency Monetary Item Translation Difference A/C,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,Trade Receivables,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2014-03-31,1320.04,1320.04,26054.57,26054.57,27374.61,142491.57,347.62,473.04,143586.45,16723.49,0.0,6261.75,23203.04,194164.1,68.18,2.45,0.0,70.63,0.0,209.68,169420.76,3.83,60.14,2396.18,22283.19,24743.34,194164.1,2728.4,259.52,103.26,0.0,0.0,81.17,336.34,7.91,0.0,274.22,217.8,348.34,168792.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,1320.04,1320.04,30899.17,30899.17,32219.21,164973.46,333.81,963.61,166460.13,22799.69,0.0,6660.15,29985.07,228664.41,64.06,1.73,0.0,65.79,0.0,224.72,198480.7,504.04,5070.8,2887.22,21721.65,30183.71,228664.41,1283.6,326.17,129.55,0.0,0.0,116.28,335.28,515.5,0.0,189.25,525.23,347.28,197842.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,1320.04,1320.04,34445.99,34445.99,35766.03,172549.7,548.75,1229.28,174629.79,27934.74,0.0,7500.77,36240.95,246636.77,62.56,1.35,0.16,64.07,0.0,314.98,202681.86,410.74,78.45,3803.96,39661.76,43954.91,246636.77,700.43,290.84,1.74,0.0,0.0,1876.8,355.73,415.3,0.0,302.06,805.44,2266.73,200036.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,2640.08,2640.08,33830.13,33830.13,36470.21,174841.36,6142.58,2662.83,183897.28,2400.79,0.0,33766.06,38093.96,258461.45,61.88,0.69,0.0,62.57,0.0,5568.49,208229.67,1325.53,3573.15,5959.2,39373.9,50231.78,258461.45,0.0,272.58,0.0,0.0,1320.04,1912.08,453.6,1258.02,254.51,250.51,1927.11,2265.6,200333.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,2640.08,2640.08,34316.07,34316.07,36956.15,236784.72,242.54,291.17,237318.43,0.0,0.0,5633.87,5633.87,279908.45,26.08,0.89,0.0,26.97,4547.26,743.6,5317.83,2520.04,553.2,266011.38,5506.0,274590.62,279908.45,2706.76,268.11,0.0,0.0,1320.04,0.0,0.0,0.0,2520.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,2640.08,2640.08,40647.91,40647.91,43287.99,214894.19,101.38,264.0,215259.57,80344.69,0.0,5833.43,86178.12,344725.68,27.74,0.59,0.0,28.33,4060.73,740.51,4829.57,16586.2,14200.61,303210.36,5898.94,339896.11,344725.68,2033.53,1424.29,0.0,0.0,1320.04,0.0,0.0,0.0,16586.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,2640.08,2640.08,42524.05,42524.05,45164.13,231158.62,109.18,264.29,231532.09,79116.06,0.0,5974.98,85091.04,361787.26,67.1,0.41,0.0,67.51,2952.12,780.18,3799.81,16473.32,198.99,334112.6,7202.54,357987.45,361787.26,2056.61,6422.4,0.0,0.0,1320.04,0.0,0.0,0.0,421.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,2640.08,2640.08,49753.04,49753.04,52393.12,252121.74,254.37,155.15,252531.26,80837.6,0.0,6322.09,87159.69,392084.07,72.51,0.24,0.0,72.75,3996.76,565.87,4635.38,15973.5,4762.2,360124.77,6588.22,387448.69,392084.07,4571.55,5096.27,0.0,0.0,1320.04,0.0,0.0,0.0,757.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,2640.08,2640.08,56710.2,56710.2,59350.28,239468.22,471.85,247.0,240187.07,87965.42,0.0,6907.24,94872.66,394410.01,79.57,0.13,0.0,79.7,4151.82,740.03,4971.55,16084.27,3961.22,360929.74,8463.23,389438.46,394410.01,7484.13,31477.69,0.0,0.0,1320.04,0.0,0.0,0.0,16084.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,2640.08,2640.08,65562.15,65562.15,68202.23,0.0,377.4,323.65,701.05,370367.78,0.0,5562.0,375929.78,444833.06,78.4,0.04,11.2,89.64,4033.31,766.29,4889.24,17304.14,1618.1,410829.15,10192.43,439943.82,444833.06,2788.57,10226.94,0.0,0.0,1320.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,3300.1,3300.1,75903.39,75903.39,79203.49,0.0,571.93,412.09,984.02,416393.56,14.92,8987.02,425395.5,505583.01,76.03,0.02,11.2,87.25,3557.16,1053.49,4697.9,20219.95,221.81,469928.41,10514.94,500885.11,505583.01,2783.78,11409.41,0.0,0.0,1980.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
