Date,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,(d) Others,Other Income,Interest Expended,Employees Cost,Other Expenses,Operating Profit before Provisions and contingencies,Provisions And Contingencies,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,a) % of Share by Govt.,b) Capital Adequacy Ratio - Basel -I,c) Capital Adequacy Ratio - Basel -II,Basic EPS,Diluted EPS,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2017-12-31,2997.1,1118.97,138.61,0.0,807.7,3065.14,749.19,563.28,684.77,1640.25,0.0,-955.48,15.69,-971.17,0.0,-971.17,2852.56,9124.38,82.41,0.0,0.0,-3.4,-3.4,33266.88,17761.22,21.95,13.08,-1.45,0.0,0.0,0.0,0.0,0.0
2018-03-31,2809.43,1175.86,168.61,673.65,986.87,3094.53,744.57,846.17,1129.15,6774.55,0.0,-5645.4,-2038.67,-3606.73,0.0,-3606.73,4890.77,6204.19,89.74,0.0,0.0,-12.25,-12.25,38180.15,20399.66,25.28,15.33,-5.26,0.0,0.0,0.0,0.0,0.0
2018-06-30,2903.91,1207.72,136.97,0.0,1078.11,3040.5,768.56,385.62,1132.03,2400.6,0.0,-1268.57,-349.13,-919.44,0.0,-919.44,4890.77,0.0,89.74,0.0,0.0,-1.88,-1.88,38146.05,19641.81,25.64,15.1,-1.35,0.0,0.0,0.0,0.0,0.0
2018-09-30,2905.08,1237.29,141.37,0.0,1064.61,3075.43,520.81,447.92,1304.19,2016.6,0.0,-712.41,-225.15,-487.26,0.0,-487.26,4890.77,0.0,89.74,0.0,0.0,-1.0,-1.0,37109.96,18876.05,24.73,14.34,-0.71,0.0,0.0,0.0,0.0,0.0
2018-12-31,2988.01,1261.83,166.69,125.89,1146.17,3158.71,651.96,411.78,1466.14,2075.28,0.0,-609.14,-263.12,-346.02,0.0,-346.02,6263.78,6279.96,91.99,0.0,0.0,-1.16,-1.16,35786.57,17987.92,23.76,13.56,-0.5,0.0,0.0,0.0,0.0,0.0
2019-03-31,2930.0,1215.44,169.12,241.94,917.42,3077.49,705.51,559.42,1131.5,4501.92,0.0,-3370.42,-1385.26,-1985.16,0.0,-1985.16,9141.65,4733.24,92.52,0.0,0.0,-3.06,-3.06,33398.12,14368.3,21.97,10.81,-2.82,0.0,0.0,0.0,0.0,0.0
2019-06-30,2957.55,1198.95,179.89,0.0,670.09,3047.93,735.95,394.44,828.16,1157.82,0.0,-329.66,12.42,-342.08,0.0,-342.08,9141.65,0.0,92.52,0.0,0.0,-0.37,-0.37,33262.0,14173.84,22.53,11.04,-0.48,0.0,0.0,0.0,0.0,0.0
2019-09-30,2839.76,1264.38,171.51,0.0,748.35,3071.76,741.81,464.42,746.01,2996.04,0.0,-2250.03,3.61,-2253.64,0.0,-2253.64,9141.65,0.0,92.52,0.0,0.0,-2.47,-2.47,28673.95,12507.97,20.0,9.84,-3.15,0.0,0.0,0.0,0.0,0.0
2019-12-31,2867.65,1346.16,138.09,0.0,846.04,3073.19,888.5,473.91,762.34,6663.94,0.0,-5901.6,173.89,-6075.49,0.0,-6075.49,12585.4,0.0,94.56,0.0,0.0,-5.83,-5.83,23733.86,7087.09,17.12,5.81,-8.07,0.0,0.0,0.0,0.0,0.0
2020-03-31,2847.59,1398.46,135.05,61.07,1041.89,2910.4,874.46,555.34,1143.86,1060.38,0.0,83.48,-7.0,90.48,53.31,143.79,16436.99,0.0,95.84,0.0,0.0,0.1,0.1,19912.7,6602.8,14.78,5.44,0.2,0.0,0.0,0.0,0.0,0.0
2020-06-30,2781.53,1422.34,97.97,0.0,931.79,2889.52,883.98,365.98,1094.15,969.52,0.0,124.63,3.94,120.69,0.0,120.69,16436.99,0.0,95.84,0.0,0.0,0.07,0.07,18290.84,6080.89,13.9,5.1,0.16,0.0,0.0,0.0,0.0,0.0
2020-09-30,2847.28,1437.13,78.13,0.0,1068.04,2801.24,803.19,479.93,1346.22,1192.55,0.0,153.67,5.53,148.14,0.0,148.14,16436.99,0.0,95.84,0.0,0.0,0.09,0.09,17659.63,5290.6,13.04,4.3,0.2,0.0,0.0,0.0,0.0,0.0
2020-12-31,2762.36,1413.3,68.06,0.0,1542.82,2722.04,849.62,483.55,1731.33,1513.57,0.0,217.76,4.89,212.87,0.0,212.87,16436.99,0.0,95.84,0.0,0.0,0.13,0.13,16753.48,3904.92,12.19,3.13,0.28,0.0,0.0,0.0,0.0,0.0
2021-03-31,2446.15,1438.9,60.34,112.04,2016.37,2654.23,1165.99,529.47,1724.11,1380.46,0.0,343.65,-6.12,349.77,0.0,349.77,16436.99,0.0,95.84,0.0,0.0,0.21,0.21,16323.18,4577.59,11.69,3.58,0.5,0.0,0.0,0.0,0.0,0.0
2021-06-30,2603.42,1402.65,57.1,0.0,1091.86,2566.61,939.36,447.2,1201.86,868.0,0.0,333.86,7.22,326.64,0.0,326.64,18902.41,0.0,96.38,0.0,0.0,0.19,0.19,15952.1,3998.21,11.48,3.15,0.46,0.0,0.0,0.0,0.0,0.0
2021-09-30,2616.93,1401.38,57.4,178.78,1121.07,2621.55,847.12,487.55,1419.34,1036.37,0.0,382.97,6.56,376.41,0.0,376.41,18902.41,0.0,96.38,0.0,0.0,0.2,0.2,15665.69,3741.21,10.66,2.77,0.53,0.0,0.0,0.0,0.0,0.0
2021-12-31,2737.92,1406.87,52.9,0.0,1185.93,2625.58,749.46,481.19,1527.39,1065.35,0.0,462.04,7.93,454.11,0.0,454.11,18902.41,0.0,96.38,0.0,0.0,0.24,0.24,15426.55,3586.83,10.4,2.63,0.62,0.0,0.0,0.0,0.0,0.0
2022-03-31,2687.74,1463.69,63.09,0.0,1504.16,2604.99,949.83,549.54,1614.32,1014.13,0.0,600.19,47.81,552.38,0.0,552.38,18902.41,0.0,96.38,0.0,0.0,0.29,0.29,15298.62,3824.62,9.82,2.65,0.74,0.0,0.0,0.0,0.0,0.0
2022-06-30,2864.87,1515.58,54.29,0.0,593.46,2680.99,849.6,471.24,1026.37,630.4,0.0,395.97,3.79,392.18,0.0,392.18,18902.41,0.0,96.38,0.0,0.0,0.21,0.21,14919.06,3698.12,9.12,2.43,0.51,0.0,0.0,0.0,0.0,0.0
2022-09-30,3139.01,1489.47,89.13,0.0,1134.84,2764.25,1043.97,550.05,1494.18,988.23,0.0,505.95,4.61,501.34,0.0,501.34,18902.41,0.0,96.38,0.0,0.0,24.4,24.4,14726.35,4148.6,8.53,2.56,0.65,0.0,0.0,0.0,0.0,0.0
2022-12-31,3515.15,1447.75,92.63,0.0,950.48,2783.87,1107.13,575.07,1539.94,979.5,0.0,560.44,5.25,555.19,0.0,555.19,18902.41,0.0,96.38,0.0,0.0,0.8,0.8,14333.21,4000.35,8.19,2.43,0.73,0.0,0.0,0.0,0.0,0.0
2023-03-31,3631.65,1445.33,115.46,0.0,1429.98,2916.33,1098.35,726.06,1881.68,995.8,0.0,885.88,235.81,650.07,0.0,650.07,18902.41,0.0,96.38,0.0,0.0,0.34,0.34,14071.55,3266.01,7.44,1.83,0.83,0.0,0.0,0.0,0.0,0.0
2023-06-30,3913.36,1426.58,84.37,0.0,803.03,3101.5,1215.47,565.05,1345.32,837.96,0.0,507.36,7.01,500.35,0.0,500.35,18902.41,0.0,96.38,0.0,0.0,0.26,0.26,13628.98,2589.97,7.13,1.44,0.62,0.0,0.0,0.0,0.0,0.0
2023-09-30,4288.12,1460.53,72.37,0.0,1114.19,3475.15,1138.2,644.74,1677.12,1044.2,0.0,632.92,8.34,624.58,0.0,624.58,18902.41,0.0,96.38,0.0,0.0,0.33,0.33,9893.3,1364.34,4.74,0.68,0.75,0.0,0.0,0.0,0.0,0.0
2023-12-31,4614.19,1519.21,42.11,0.0,1261.66,3777.87,1269.21,609.87,1780.22,701.42,0.0,1078.8,356.22,722.58,0.0,722.58,18902.41,0.0,96.38,0.0,0.0,0.38,0.38,8440.83,1302.58,3.9,0.62,0.86,0.0,0.0,0.0,0.0,0.0
2024-03-31,4759.93,1539.46,29.89,299.61,2477.37,3865.81,2517.01,762.33,1961.11,767.66,0.0,1193.45,385.35,808.1,0.0,808.1,18902.41,0.0,96.38,0.0,0.0,0.43,0.43,6794.43,1216.86,3.1,0.57,0.94,0.0,0.0,0.0,0.0,0.0
2024-06-30,4830.37,1659.7,44.96,0.0,1032.97,4093.96,1124.44,673.74,1675.86,937.87,0.0,737.99,105.18,632.81,0.0,632.81,18902.41,0.0,96.38,0.0,0.0,0.33,0.33,6648.71,1153.51,2.89,0.51,0.7,0.0,0.0,0.0,0.0,0.0
2024-09-30,5054.88,1753.77,42.02,0.0,1633.47,4313.43,1340.92,701.57,2128.22,1146.33,0.0,981.89,204.73,777.16,0.0,777.16,18902.41,0.0,96.38,0.0,0.0,0.42,0.42,6249.07,1059.25,2.72,0.47,0.82,0.0,0.0,0.0,0.0,0.0
2024-12-31,5039.06,1808.39,46.51,217.76,1297.53,4322.78,1069.05,751.41,2266.01,1028.64,0.0,1237.37,363.71,873.66,0.0,873.66,18902.41,0.0,96.38,0.0,0.0,0.46,0.46,6070.51,975.91,2.55,0.42,0.93,0.0,0.0,0.0,0.0,0.0
2025-03-31,5257.81,1816.03,42.38,517.37,1581.1,4510.64,1131.99,954.14,2617.92,1063.46,0.0,1554.46,503.39,1051.07,0.0,1051.07,19256.59,9489.99,94.61,0.0,0.0,0.56,0.56,5347.72,911.86,2.14,0.37,1.12,0.0,0.0,0.0,0.0,0.0
