Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Provisions,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Equity Share Application Money,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Deferred Tax Assets [Net],Trade/Other Goods
2014-03-31,9.34,9.34,757.2,757.2,766.54,16.13,46.68,0.0,62.81,56.87,153.1,73.7,34.59,318.26,1147.61,439.43,2.4,12.99,454.81,0.01,7.99,0.0,462.81,54.05,251.72,278.11,43.41,55.69,1.82,684.8,1147.61,177.15,11.41,31120.51,0.0,3.07,0.0,0.01,20.5,34.05,0.0,231.75,3.11,31.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,9.35,9.35,899.03,899.03,908.38,8.41,47.77,0.0,56.17,22.02,127.56,69.49,41.98,261.05,1225.6,423.09,1.67,41.8,466.55,0.07,24.94,0.0,491.56,20.0,343.09,223.37,75.69,68.08,3.8,734.03,1225.6,156.33,8.02,361.19,0.0,3.07,0.0,0.07,22.35,0.0,0.0,426.85,5.71,19.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,9.35,9.35,1030.82,1030.82,1040.17,0.0,48.03,0.0,48.03,0.0,122.54,66.92,21.7,211.16,1299.36,445.12,0.95,47.66,493.73,0.07,8.25,0.0,502.05,20.0,294.73,375.64,10.84,95.38,0.73,797.31,1299.36,84.25,7.94,185.61,0.7,3.07,0.0,0.07,24.22,0.0,0.0,539.5,8.56,29.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,9.35,9.35,1177.6,1177.6,1186.94,0.0,47.26,0.0,48.07,0.0,116.32,55.95,5.68,177.95,1412.96,447.48,0.62,38.31,486.42,0.06,0.09,15.89,502.46,73.83,339.1,425.21,14.69,0.22,57.45,910.5,1412.96,48.87,0.0,0.0,0.0,3.07,0.0,0.06,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,9.35,9.35,1298.67,1298.67,1308.02,0.0,42.89,0.0,42.89,78.91,192.77,120.18,3.65,395.51,1746.42,444.52,0.86,46.91,492.28,0.06,0.18,14.14,506.66,0.0,574.0,558.18,4.57,0.26,102.75,1239.76,1746.42,294.2,0.0,0.0,0.0,3.07,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,9.35,9.35,1512.53,1512.53,1521.87,0.0,35.91,7.31,43.22,65.4,291.9,124.95,4.9,487.14,2052.24,439.32,0.7,178.6,618.62,0.06,0.21,16.0,634.89,203.13,590.03,462.07,141.65,0.28,20.19,1417.35,2052.24,150.11,26.19,541.89,0.0,3.07,0.0,0.06,203.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,9.35,9.35,1698.8,1698.8,1708.14,175.63,30.68,10.77,217.08,44.36,264.22,304.31,5.67,618.56,2543.78,499.14,0.78,371.46,871.37,0.06,0.14,32.05,903.62,154.84,859.21,370.18,173.26,0.26,82.41,1640.16,2543.78,91.28,10.54,510.93,0.0,3.07,0.0,0.06,154.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,9.35,9.35,1977.13,1977.13,1986.47,145.58,39.34,17.3,202.23,0.8,242.51,181.32,2.21,426.83,2615.53,864.37,0.73,76.32,941.43,0.06,0.1,20.51,962.1,636.51,536.89,402.57,53.92,0.2,23.33,1653.43,2615.53,41.86,28.79,541.77,0.0,3.07,0.0,0.06,636.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,9.35,9.35,2237.59,2237.59,2246.93,96.27,42.03,10.17,148.47,52.01,314.97,196.69,2.17,565.84,2961.24,873.52,1.11,106.79,981.42,0.06,0.05,16.28,997.82,108.54,1111.97,600.76,42.48,0.19,99.48,1963.42,2961.24,96.79,32.89,420.71,0.0,3.07,0.0,0.06,108.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,14.02,14.02,2684.74,2684.74,2698.76,45.09,49.81,24.57,119.47,105.36,328.09,315.06,2.76,751.27,3569.5,939.96,0.86,87.37,1028.19,108.48,0.05,19.62,1156.33,135.12,1192.64,966.93,33.45,0.19,84.84,2413.17,3569.5,126.29,70.53,798.61,0.0,7.74,0.0,108.48,135.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,14.02,14.02,3207.2,3207.2,3221.22,0.0,54.15,34.92,89.07,45.24,310.45,115.32,5.03,476.04,3786.33,953.89,0.74,158.29,1112.93,109.86,8.56,17.78,1249.13,88.21,1274.71,895.94,205.46,0.21,72.66,2537.2,3786.33,197.96,28.33,1114.79,0.0,7.74,0.0,109.86,88.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
