Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2021-06-30,526.0,0.0,526.0,365.73,0.0,-35.9,32.97,19.22,78.62,65.35,7.85,73.2,5.37,67.83,67.83,17.61,50.22,50.22,9.35,10.75,10.75,0.0,0.0,0.0,0.0,0.0
2021-09-30,711.7,0.0,711.7,562.69,0.0,-95.82,43.84,18.88,89.69,92.44,9.19,101.63,5.38,96.25,96.25,24.75,71.5,71.5,9.35,15.3,15.3,0.0,0.0,0.0,0.0,0.0
2021-12-31,927.01,0.0,927.01,686.69,0.0,-25.33,41.71,19.01,94.2,110.73,10.74,121.47,3.77,117.7,117.7,28.63,89.07,89.07,9.35,19.06,19.06,0.0,0.0,0.0,0.0,0.0
2022-03-31,974.06,0.0,974.06,709.52,0.0,-63.7,39.4,23.1,120.17,145.57,9.77,155.34,6.42,148.92,148.92,37.31,111.61,111.61,9.35,23.88,23.88,0.0,0.0,0.0,0.0,0.0
2022-06-30,976.8,0.0,976.8,639.7,0.0,43.42,44.7,19.01,118.11,111.86,8.57,120.43,4.81,115.62,115.62,28.82,86.8,86.8,9.35,12.38,12.38,0.0,0.0,0.0,0.0,0.0
2022-09-30,899.82,0.0,899.82,720.37,0.0,-128.78,46.63,18.69,116.77,126.15,10.16,136.3,4.73,131.58,131.58,32.83,98.75,98.75,14.02,14.09,14.09,0.0,0.0,0.0,0.0,0.0
2022-12-31,1057.4,0.0,1057.4,873.76,0.0,-188.42,50.96,18.95,126.5,175.65,6.41,182.07,6.08,175.99,175.99,43.57,132.41,132.41,14.02,18.89,18.89,0.0,0.0,0.0,0.0,0.0
2023-03-31,1436.01,0.0,1436.01,791.87,0.0,138.73,52.13,19.84,161.5,271.95,6.06,278.01,7.36,270.65,270.65,74.58,196.07,196.07,14.02,27.97,27.97,0.0,0.0,0.0,0.0,0.0
2023-06-30,1112.27,0.0,1112.27,776.59,0.0,-36.58,59.44,20.95,113.39,178.49,8.04,186.54,4.54,182.0,182.0,45.39,136.61,136.61,14.02,19.49,19.49,0.0,0.0,0.0,0.0,0.0
2023-09-30,1071.56,0.0,1071.56,695.77,0.0,-34.51,52.45,20.3,117.65,219.9,12.64,232.55,6.21,226.34,226.34,56.98,169.36,169.36,14.02,24.16,24.16,0.0,0.0,0.0,0.0,0.0
2023-12-31,1198.61,0.0,1198.61,892.97,0.0,-84.89,56.47,21.1,140.06,172.89,13.21,186.1,7.02,179.08,179.08,44.6,134.47,134.47,14.02,19.19,19.19,0.0,0.0,0.0,0.0,0.0
2024-03-31,1424.34,0.0,1424.34,933.24,0.0,51.6,55.97,21.24,143.13,219.16,12.59,231.75,9.41,222.34,222.34,54.17,168.16,168.16,14.02,23.99,23.99,0.0,0.0,0.0,0.0,0.0
2024-06-30,1110.33,0.0,1110.33,815.67,0.0,-55.22,61.44,22.5,133.93,132.01,12.22,144.23,4.93,139.31,139.31,34.05,105.26,105.26,14.02,15.02,15.02,0.0,0.0,0.0,0.0,0.0
2024-09-30,897.51,0.0,897.51,674.36,0.0,-114.38,62.29,22.05,126.6,126.58,19.5,146.08,9.14,136.94,136.94,34.48,102.46,102.46,14.02,14.62,14.62,0.0,0.0,0.0,0.0,0.0
2024-12-31,1293.53,0.0,1293.53,706.74,0.0,148.34,68.08,22.96,156.42,190.98,13.64,204.62,4.19,200.43,200.43,54.88,145.55,145.55,14.02,20.76,20.75,0.0,0.0,0.0,0.0,0.0
2025-03-31,1574.77,0.0,1574.77,847.51,0.0,186.4,73.87,24.27,175.32,267.41,37.96,305.37,3.94,301.43,301.43,76.69,224.74,224.74,14.02,32.06,32.05,0.0,0.0,0.0,0.0,0.0
