Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2021-12-31,25769.75,0.0,25769.75,1723.77,17590.56,452.31,453.6,532.17,1321.38,3695.96,651.79,4347.75,39.39,4308.36,0.0,4308.36,1020.37,3287.99,0.0,3287.99,4440.39,7.4,7.4,0.0,0.0,0.0,0.0,0.0
2022-03-31,26961.85,0.0,26961.85,1289.31,19809.26,189.78,416.1,546.06,1542.86,3168.48,423.5,3591.98,46.08,3545.9,0.0,3545.9,862.79,2683.11,0.0,2683.11,4440.39,6.04,6.04,0.0,0.0,0.0,0.0,0.0
2022-06-30,37562.48,0.0,37562.48,1623.44,31824.22,-2007.42,441.66,602.96,1314.9,3762.72,179.77,3942.49,48.13,3894.36,0.0,3894.36,979.17,2915.19,0.0,2915.19,4383.41,6.57,6.57,0.0,0.0,0.0,0.0,0.0
2022-09-30,38478.57,0.0,38478.57,1439.86,33689.07,-347.02,419.4,619.38,1512.54,1145.34,798.84,1944.18,68.27,1875.91,0.0,1875.91,338.84,1537.07,0.0,1537.07,6575.1,2.34,2.34,0.0,0.0,0.0,0.0,0.0
2022-12-31,35365.43,0.0,35365.43,1568.71,32190.64,-861.53,433.39,622.57,1772.89,-361.24,688.9,327.66,104.99,222.67,0.0,222.67,-23.06,245.73,0.0,245.73,6575.1,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2023-03-31,32843.2,0.0,32843.2,2228.14,26271.85,1255.98,479.32,643.16,2300.74,-335.99,1017.19,681.2,90.33,590.87,0.0,590.87,-12.65,603.52,0.0,603.52,6575.1,0.92,0.92,0.0,0.0,0.0,0.0,0.0
2023-06-30,32212.09,0.0,32212.09,1923.6,24691.93,687.34,489.96,635.77,1986.55,1796.94,267.6,2064.54,175.83,1888.71,0.0,1888.71,476.53,1412.18,0.0,1412.18,6575.1,2.15,2.15,0.0,0.0,0.0,0.0,0.0
2023-09-30,31806.75,0.0,31806.75,1696.9,25061.44,-722.35,493.23,750.27,1786.26,2741.0,560.94,3301.94,171.84,3130.1,0.0,3130.1,725.21,2404.89,0.0,2404.89,6575.1,3.66,3.66,0.0,0.0,0.0,0.0,0.0
2023-12-31,34236.49,0.0,34236.49,1814.08,25044.94,907.35,494.33,784.27,2153.22,3038.3,812.08,3850.38,156.39,3693.99,0.0,3693.99,851.37,2842.62,0.0,2842.62,6575.1,4.32,4.32,0.0,0.0,0.0,0.0,0.0
2024-03-31,32317.72,0.0,32317.72,1890.88,24935.52,-891.48,622.7,1160.51,2202.26,2397.33,637.6,3034.93,193.17,2841.76,0.0,2841.76,664.79,2176.97,0.0,2176.97,6575.1,3.31,3.31,0.0,0.0,0.0,0.0,0.0
2024-06-30,33673.79,0.0,33673.79,1429.98,25238.83,325.48,519.07,1048.9,1632.33,3479.2,371.63,3850.83,209.21,3641.62,0.0,3641.62,917.64,2723.98,0.0,2723.98,6575.1,4.14,4.14,0.0,0.0,0.0,0.0,0.0
2024-09-30,32911.73,0.0,32911.73,1955.36,24336.02,438.7,520.87,815.27,1915.83,2929.68,713.49,3643.17,190.05,3453.12,0.0,3453.12,781.19,2671.93,0.0,2671.93,6575.1,4.06,4.06,0.0,0.0,0.0,0.0,0.0
2024-12-31,34937.05,0.0,34937.05,1986.19,28023.9,-609.85,528.65,832.18,2170.38,2005.6,749.71,2755.31,166.59,2588.72,2440.03,5028.75,1161.37,3867.38,0.0,3867.38,6575.1,5.88,5.88,0.0,0.0,0.0,0.0,0.0
2025-03-31,35685.21,0.0,35685.21,1901.83,28943.92,-920.05,471.83,903.4,2071.31,2312.97,566.42,2879.39,178.32,2701.07,0.0,2701.07,652.04,2049.03,0.0,2049.03,6575.1,3.12,3.12,0.0,0.0,0.0,0.0,0.0
