Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Intangible Assets Under Development,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2014-03-31,1268.48,1268.48,25803.85,25803.85,27072.33,9526.09,2566.37,771.17,404.04,13267.67,0.0,3974.83,4047.54,1448.96,9471.33,49811.33,20728.02,748.61,9727.85,31204.48,4103.0,2535.12,718.41,38561.01,0.0,2254.76,2811.99,2650.98,3514.36,18.23,11250.32,49811.33,18143.0,2028.58,170.2,39.81,422.83,10173.09,3318.23,0.0,0.0,0.0,6626.55,149.89,424.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,1268.48,1268.48,27851.04,27851.04,29119.52,7814.49,3308.65,2079.41,578.92,13781.47,233.8,3320.48,5361.09,1076.87,9992.24,52893.23,27015.75,743.94,4360.02,32119.71,4322.36,3445.87,2409.95,42297.89,0.0,2081.05,3094.52,1141.64,3511.7,766.43,10595.34,52893.23,20221.33,2102.08,600.06,44.43,422.83,10760.85,3431.89,0.0,0.0,0.0,5751.51,148.9,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,1268.48,1268.48,29316.39,29316.39,30584.87,5781.28,4047.08,1081.23,617.53,11527.12,0.0,2861.6,7030.74,989.93,10882.27,52994.26,28015.24,731.24,3402.79,32149.27,4534.33,4439.28,1115.54,42238.42,12.35,1744.85,2727.61,1793.87,3278.59,1198.57,10755.84,52994.26,17572.51,1792.06,716.63,149.91,422.83,10010.08,3600.68,0.0,12.35,0.0,586.02,111.97,68.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,1691.3,1691.3,36458.07,36458.07,38149.37,3004.55,3722.88,1272.72,812.6,8812.75,0.0,2716.01,4958.09,700.74,8374.84,55336.96,27762.8,743.39,3585.2,32309.58,9377.08,619.21,3899.87,46205.74,0.0,1698.38,2724.54,1341.85,752.83,2613.62,9131.22,55336.96,29052.99,0.0,0.0,0.0,845.65,17120.84,4192.53,0.0,0.0,218.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,2255.07,2255.07,38073.05,38073.05,40328.12,976.12,4630.93,1665.03,580.43,7852.51,0.0,3881.55,5172.12,847.88,9901.55,58082.18,27738.64,1051.13,5373.89,34303.79,9571.6,558.24,3539.92,47973.55,381.47,1919.53,3054.59,2529.39,691.63,1532.02,10108.63,58082.18,35097.5,11116.05,0.0,1797.92,1409.42,20820.67,4583.3,0.0,0.0,140.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,2255.07,2255.07,41837.87,41837.87,44092.94,870.58,5947.71,3438.38,694.55,10951.22,0.0,3961.18,4642.48,730.79,9334.45,64378.61,29682.92,1403.17,9202.46,40288.55,9528.17,667.76,3586.52,54071.0,0.0,2321.91,4060.19,1214.69,828.39,1882.43,10307.61,64378.61,35372.15,29868.59,0.0,14805.41,1409.42,21380.0,5256.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,4510.14,4510.14,39460.96,39460.96,43971.1,3612.12,4497.19,4485.98,529.67,13124.96,1799.7,4128.43,4754.4,755.04,11437.57,68533.63,31772.04,1872.94,10581.89,44226.87,7498.47,3101.88,2592.47,57419.69,0.0,2960.08,4546.84,803.91,1074.88,1728.23,11113.94,68533.63,204868.48,26485.0,0.0,13078.0,3664.49,18479.0,5946.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,4440.39,4440.39,42170.76,42170.76,46611.15,4827.08,4502.23,5605.64,547.69,15482.64,738.5,4326.35,5339.48,812.32,11216.65,73310.44,34202.45,2295.49,11903.41,48401.35,9255.34,3065.69,2934.95,63657.33,468.48,2603.81,3392.33,1361.83,684.65,1142.01,9653.11,73310.44,17537.1,27238.0,0.0,14407.0,3664.49,23636.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,4440.39,4440.39,51146.41,51146.41,55586.8,4830.09,4767.28,6918.32,666.39,17182.08,1522.67,5465.97,5739.12,843.88,13571.64,86340.52,37246.31,2534.68,13071.31,52852.3,12120.92,3129.72,3368.8,71471.74,0.0,3015.24,7316.38,2084.95,99.11,2353.1,14868.78,86340.52,19063.48,46843.0,0.0,20326.0,3664.49,18329.05,6981.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,6575.1,6575.1,49078.57,49078.57,55653.67,7837.08,4662.78,6809.27,799.26,20108.39,6471.66,7299.24,5705.23,893.39,20369.52,96131.58,41452.36,2854.97,13662.48,57969.81,12788.77,3317.06,3302.55,77378.19,0.0,5281.27,10366.3,401.96,67.72,2636.14,18753.39,96131.58,29625.26,69228.61,0.0,28136.38,5856.19,20578.25,8100.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,6575.1,6575.1,57604.3,57604.3,64179.4,11564.75,4955.78,7690.37,933.71,25144.61,4848.33,6718.92,7572.04,1065.15,20204.44,109528.45,45842.88,3116.85,15858.73,64818.46,17513.91,5313.01,3355.1,91000.48,0.0,5291.12,9609.08,703.24,88.58,2835.95,18527.97,109528.45,64018.32,49466.03,0.0,14017.39,5856.19,25502.72,9212.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
