Date,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,(d) Others,Other Income,Interest Expended,Employees Cost,Other Expenses,Operating Profit before Provisions and contingencies,Provisions And Contingencies,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,a) % of Share by Govt.,b) Capital Adequacy Ratio - Basel -I,c) Capital Adequacy Ratio - Basel -II,Basic EPS,Diluted EPS,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,3332.61,1252.11,58.15,86.12,440.1,3358.35,426.75,222.53,1161.46,763.56,397.9,141.2,256.7,256.7,1075.59,10863.64,72.83,0.0,12.32,2.39,2.39,10894.41,6541.13,7.3,4.53,0.43,29.23,27.17,78.33,100.0,72.83
2015-09-30,3391.82,1346.26,56.11,102.85,411.05,3480.65,440.17,258.28,1128.99,913.27,215.72,59.52,156.2,156.2,1075.59,10863.64,72.83,0.0,12.2,1.45,1.45,12226.66,7123.11,8.51,5.15,0.06,29.23,27.17,78.33,100.0,72.83
2015-12-31,2932.13,1491.44,59.95,93.75,357.36,3449.38,488.59,251.39,745.27,2360.84,-1615.57,-118.56,-1497.01,-1497.01,1075.59,10863.64,72.83,0.0,11.13,-13.92,-13.92,14931.8,8409.5,10.98,6.51,-2.56,0.0,0.0,0.0,0.0,0.0
2016-03-31,2636.89,1573.13,62.26,85.4,387.8,3424.57,479.8,273.45,567.66,2344.88,-1777.22,-62.07,-1715.15,-1715.15,1075.59,8145.71,72.83,0.0,0.0,-15.95,-15.95,20907.73,11443.59,15.43,9.09,-3.0,0.0,0.0,0.0,0.0,0.0
2016-06-30,2492.69,1538.73,79.55,78.67,538.29,3204.19,487.41,226.17,810.16,1250.5,-440.34,0.22,-440.56,-440.56,1301.06,8145.71,77.54,0.0,10.59,-3.66,-3.66,22597.7,12127.44,17.19,10.04,-0.82,0.0,0.0,0.0,0.0,0.0
2016-09-30,2655.73,1528.47,50.38,94.87,611.96,3083.18,478.47,271.74,1108.02,1488.34,-380.32,4.51,-384.83,-384.83,1301.06,8145.71,77.54,0.0,0.0,-2.96,-2.96,22275.51,10890.43,16.51,8.83,-0.72,0.0,0.0,0.0,0.0,0.0
2016-12-31,2572.36,1410.63,112.46,97.02,671.74,3216.71,476.56,281.98,888.96,1326.05,-437.09,0.0,-437.09,-437.09,1559.73,8145.71,76.67,0.0,0.0,-2.9,-2.9,22181.26,10544.98,17.18,8.99,-0.77,0.0,0.0,0.0,0.0,0.0
2017-03-31,2150.51,1256.36,110.79,96.58,292.5,3004.94,478.14,304.72,118.94,701.02,-582.08,6.11,-588.19,-588.19,1559.73,7718.57,76.67,0.0,0.0,-3.77,-3.77,22540.95,10703.39,17.12,8.94,-1.07,0.0,0.0,0.0,0.0,0.0
2017-06-30,2185.77,1337.86,131.83,111.12,470.46,2925.11,456.71,246.14,609.08,1272.1,-663.02,0.0,-663.02,-663.02,1559.73,7718.57,76.67,0.0,0.0,-4.25,-4.25,25054.21,12010.95,19.87,10.63,-1.09,0.0,0.0,0.0,0.0,0.0
2017-09-30,1981.01,1273.79,65.09,126.33,311.29,2790.76,462.37,260.59,243.79,864.7,-620.91,1.65,-622.56,-622.56,1866.89,7718.57,80.5,0.0,0.0,-3.58,-3.58,24434.95,11008.23,19.74,9.98,-1.04,0.0,0.0,0.0,0.0,0.0
2017-12-31,1990.77,1243.59,102.86,112.33,272.38,2629.64,456.01,267.33,368.95,1385.38,-1016.43,0.0,-1016.43,-1016.43,1866.89,7718.57,80.5,0.0,0.0,-5.44,-5.44,25382.4,11923.45,20.64,10.9,-1.75,0.0,0.0,0.0,0.0,0.0
2018-03-31,1824.06,1322.92,68.4,142.4,66.87,2549.89,466.73,295.61,112.42,2239.01,-2126.59,7.77,-2134.36,-2134.36,2308.16,5165.25,84.23,0.0,0.0,-11.4,-11.4,30549.92,14082.07,24.64,13.1,-3.69,0.0,0.0,0.0,0.0,0.0
2018-06-30,2076.19,1284.9,83.96,286.75,629.08,2503.78,450.23,224.7,1182.17,1807.21,-625.04,8.84,-633.88,-633.88,3955.14,5165.25,90.8,0.0,0.0,-2.08,-2.08,29786.41,12558.0,25.71,12.74,-1.1,0.0,0.0,0.0,0.0,0.0
2018-09-30,1935.16,1309.75,106.74,128.05,269.48,2515.13,460.88,267.07,506.1,1642.54,-1136.44,0.0,-1136.44,-1136.44,3955.14,5165.25,90.8,0.0,0.0,-2.87,-2.87,29581.49,11820.21,25.37,11.97,-1.97,0.0,0.0,0.0,0.0,0.0
2018-12-31,1927.39,1205.89,93.2,110.84,248.24,2510.72,469.34,224.09,381.41,1399.56,-1018.15,-19.41,-998.74,-998.74,3955.14,5165.25,90.8,0.0,0.0,-2.53,-2.53,31121.79,11755.61,27.39,12.48,-1.76,0.0,0.0,0.0,0.0,0.0
2019-03-31,1886.01,1547.74,217.96,130.1,366.71,2489.85,565.77,402.34,690.56,2242.58,-1552.02,0.0,-1552.02,-1552.02,5423.4,6012.22,93.29,0.0,0.0,-3.43,-3.43,29888.33,9649.92,25.0,9.72,-2.49,0.0,0.0,0.0,0.0,0.0
2019-06-30,1996.48,1543.03,157.01,120.01,630.08,2481.56,467.26,296.35,1201.44,1802.89,-601.45,0.0,-601.45,-601.45,7362.2,6021.22,92.52,0.0,0.0,-0.87,-0.87,29431.6,8781.97,24.85,8.98,-0.98,0.0,0.0,0.0,0.0,0.0
2019-09-30,2077.93,1403.48,133.53,189.71,728.87,2538.44,482.28,305.76,1207.04,2099.02,-891.98,0.0,-891.98,-891.98,7362.2,6021.22,92.52,0.0,0.0,-1.21,-1.21,25665.14,7238.33,21.87,7.32,-1.41,0.0,0.0,0.0,0.0,0.0
2019-12-31,2054.4,1486.23,85.22,144.89,743.47,2534.15,484.32,285.22,1210.52,2170.69,-960.17,0.0,-960.17,-960.17,8623.3,6248.23,93.61,0.0,0.0,-1.18,-1.18,22139.65,6199.65,19.45,6.34,-1.52,0.0,0.0,0.0,0.0,0.0
2020-03-31,2011.7,1506.36,100.54,123.83,768.78,2487.91,495.55,311.15,1216.6,1199.82,16.78,0.0,16.78,16.78,9918.34,6942.91,94.44,0.0,0.0,0.02,0.02,19281.95,5510.65,16.77,5.45,0.03,0.0,0.0,0.0,0.0,0.0
2020-06-30,1912.97,1575.41,66.92,107.34,773.93,2395.86,489.98,327.36,1223.37,1180.37,43.0,21.54,21.46,21.46,9918.34,6942.91,94.44,0.0,0.0,0.02,0.02,16576.43,5138.18,14.38,4.95,0.03,0.0,0.0,0.0,0.0,0.0
2020-09-30,1966.25,1505.83,51.9,90.62,711.52,2221.45,484.52,289.83,1330.32,1300.2,30.12,0.0,30.12,30.12,9918.34,6942.91,94.44,0.0,0.0,0.03,0.03,13365.74,3831.88,11.62,3.63,0.05,0.0,0.0,0.0,0.0,0.0
2020-12-31,1966.38,1480.89,68.55,86.76,864.38,2195.43,649.99,287.14,1334.4,1298.96,35.44,0.0,35.44,35.44,9918.34,6942.91,94.44,0.0,0.0,0.04,0.04,11440.47,3228.08,9.8,2.97,0.06,0.0,0.0,0.0,0.0,0.0
2021-03-31,1919.08,1502.52,64.85,79.86,1370.43,2153.71,842.7,407.79,1532.54,1783.15,-250.61,-330.64,80.03,80.03,9918.34,7396.63,94.44,0.0,0.0,0.08,0.08,11351.97,4389.5,9.59,3.94,0.12,0.0,0.0,0.0,0.0,0.0
2021-06-30,1975.8,1455.97,63.51,74.29,969.51,2109.34,814.96,328.51,1286.27,1127.09,159.18,57.37,101.81,101.81,11955.96,7396.63,95.39,0.0,0.0,0.1,0.1,11321.76,4387.25,9.37,3.85,0.15,0.0,0.0,0.0,0.0,0.0
2021-09-30,2041.55,1512.06,101.35,64.83,936.07,2122.06,864.82,334.82,1334.16,1018.62,315.54,110.15,205.39,205.39,11955.96,7396.63,95.39,0.0,0.0,0.17,0.17,10909.79,3854.33,8.98,3.37,0.3,0.0,0.0,0.0,0.0,0.0
2021-12-31,2253.94,1525.87,91.1,48.39,719.14,2156.69,804.13,337.33,1340.29,548.61,791.68,481.29,310.39,310.39,11955.96,7396.63,95.39,0.0,0.0,0.26,0.26,10042.41,3333.59,8.0,2.81,0.48,0.0,0.0,0.0,0.0,0.0
2022-03-31,2050.4,1526.53,149.8,45.95,588.95,2120.3,830.4,461.36,949.57,465.6,483.97,171.79,312.18,312.18,11955.96,8905.35,95.39,0.0,0.0,0.26,0.26,10237.43,3315.78,7.89,2.7,0.44,0.0,0.0,0.0,0.0,0.0
2022-06-30,2141.37,1534.81,116.86,58.03,-54.47,2201.53,822.38,332.75,439.94,246.83,193.11,69.5,123.61,123.61,11955.96,8905.35,95.39,0.0,0.0,0.1,0.1,9739.65,3103.82,7.42,2.49,0.17,0.0,0.0,0.0,0.0,0.0
2022-09-30,2389.55,1547.58,212.87,34.89,779.94,2415.29,945.75,414.02,1189.77,405.76,784.01,279.49,504.52,504.52,11955.96,8905.35,95.39,0.0,0.0,0.42,0.42,9358.92,2700.29,6.58,1.99,0.68,0.0,0.0,0.0,0.0,0.0
2022-12-31,2773.25,1577.38,232.78,43.74,823.46,2675.28,1047.04,374.39,1353.9,332.42,1021.48,368.51,652.97,652.97,11955.96,8905.35,95.39,0.0,0.0,0.55,0.55,8506.08,2406.9,5.63,1.66,0.85,0.0,0.0,0.0,0.0,0.0
2023-03-31,3039.33,1563.46,339.49,45.13,959.53,3015.3,1057.57,517.01,1357.06,450.54,906.52,325.28,581.24,581.24,11955.96,11005.25,95.39,0.0,0.0,0.49,0.49,7726.46,2018.02,4.78,1.29,0.73,0.0,0.0,0.0,0.0,0.0
2023-06-30,3314.01,1509.92,355.6,44.39,633.02,3215.13,1028.19,411.27,1202.35,855.69,346.66,123.18,223.48,223.48,11955.96,11005.25,95.39,0.0,0.0,0.19,0.19,7354.77,1877.11,4.48,1.18,0.86,0.0,0.0,0.0,0.0,0.0
2023-09-30,3377.38,1527.53,272.18,41.73,646.78,3302.27,1062.44,519.01,981.88,342.09,639.79,238.12,401.67,401.67,11955.96,11005.25,95.39,0.0,0.0,0.34,0.34,6939.35,1801.67,4.14,1.11,1.24,0.0,0.0,0.0,0.0,0.0
2023-12-31,3570.02,1549.7,394.16,38.01,860.82,3563.82,1253.37,476.38,1119.14,342.25,776.89,274.06,502.83,502.83,11955.96,11005.25,95.39,0.0,0.0,0.42,0.42,6904.77,1699.85,3.85,0.98,0.67,0.0,0.0,0.0,0.0,0.0
2024-03-31,3900.79,1536.65,388.96,33.3,1124.91,3672.34,1542.67,496.73,1272.87,467.36,805.51,279.74,525.77,525.77,11955.96,72403.27,95.39,0.0,0.0,0.44,0.44,6463.3,162.64,3.46,0.89,0.69,0.0,0.0,0.0,0.0,0.0
2024-06-30,3958.55,1585.3,422.8,57.34,835.43,3770.43,1208.12,559.64,1321.23,458.76,862.47,311.51,550.96,550.96,11955.96,12403.27,95.39,0.0,0.0,0.46,0.46,6420.12,1473.42,3.32,0.78,0.7,0.0,0.0,0.0,0.0,0.0
2024-09-30,4137.96,1592.38,348.02,0.0,993.07,3778.02,1304.45,557.36,1431.6,492.84,938.76,336.02,602.74,602.74,11955.96,0.0,95.39,0.0,0.0,0.5,0.5,6293.86,1406.44,3.18,0.73,0.75,0.0,0.0,0.0,0.0,0.0
2024-12-31,4272.22,1566.93,359.66,21.15,1185.93,3842.28,1322.69,655.23,1585.69,589.51,996.18,357.35,638.83,638.83,11955.96,0.0,95.39,0.0,0.0,0.53,0.53,6081.55,1283.13,2.91,0.63,1.05,0.0,0.0,0.0,0.0,0.0
2025-03-31,4748.36,1602.13,369.35,24.75,1392.2,4046.1,1617.85,774.07,1698.77,662.63,1036.14,383.71,652.43,652.43,12539.56,15418.44,9095.0,0.0,0.0,0.54,0.54,5918.54,1068.31,2.69,0.5,0.77,0.0,0.0,0.0,0.0,0.0
