Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2020-09-30,1599.47,0.0,1599.47,903.15,56.12,34.42,150.22,42.41,274.4,138.75,34.84,173.59,0.95,172.64,0.0,172.64,44.02,128.62,0.0,128.62,126.87,10.14,10.14,0.0,0.0,0.0,0.0,0.0
2020-12-31,1493.98,0.0,1493.98,910.82,88.46,-52.89,168.4,35.11,278.59,65.49,28.36,93.85,6.8,87.05,0.0,87.05,22.68,64.37,0.0,64.37,126.87,5.07,5.07,0.0,0.0,0.0,0.0,0.0
2021-03-31,1779.39,0.0,1779.39,1178.97,334.72,-367.57,162.59,36.23,281.03,153.42,13.15,166.57,0.23,166.34,0.0,166.34,42.52,123.82,0.0,123.82,126.87,9.76,9.76,0.0,0.0,0.0,0.0,0.0
2021-06-30,1340.61,0.0,1340.61,797.83,150.35,-50.06,157.56,33.1,229.46,22.37,14.0,36.37,3.68,32.69,0.0,32.69,9.35,23.34,0.0,23.34,126.87,1.84,1.84,0.0,0.0,0.0,0.0,0.0
2021-09-30,1607.1,0.0,1607.1,844.09,140.79,88.09,147.76,32.64,256.97,96.76,18.13,114.89,5.91,108.98,-2.11,106.87,28.38,78.49,0.0,78.49,126.87,6.19,6.19,0.0,0.0,0.0,0.0,0.0
2021-12-31,1435.06,0.0,1435.06,674.29,90.4,231.05,144.31,32.69,220.64,41.68,16.96,58.64,1.15,57.49,0.0,57.49,16.0,41.49,0.0,41.49,126.87,3.27,3.27,0.0,0.0,0.0,0.0,0.0
2022-03-31,1610.63,0.0,1610.63,979.99,245.78,-124.36,148.82,37.85,224.56,97.99,12.53,110.52,3.98,106.54,0.0,106.54,27.01,79.53,0.0,79.53,126.87,6.27,6.27,0.0,0.0,0.0,0.0,0.0
2022-06-30,1983.74,0.0,1983.74,1232.47,199.0,-13.19,154.82,41.2,293.23,76.21,30.9,107.11,2.1,105.01,0.0,105.01,27.11,77.9,0.0,77.9,126.87,6.14,6.14,0.0,0.0,0.0,0.0,0.0
2022-09-30,1488.91,0.0,1488.91,911.6,57.71,76.79,148.14,35.81,222.46,36.4,21.33,57.73,2.1,55.63,0.0,55.63,15.01,40.62,0.0,40.62,126.87,3.2,3.2,0.0,0.0,0.0,0.0,0.0
2022-12-31,1172.37,0.0,1172.37,813.63,92.5,-82.73,145.93,38.76,184.0,-19.72,39.47,19.75,3.27,16.48,0.0,16.48,5.74,10.74,0.0,10.74,126.87,0.85,0.85,0.0,0.0,0.0,0.0,0.0
2023-03-31,1565.23,0.0,1565.23,822.66,379.34,-118.17,157.09,45.58,234.5,44.23,30.33,74.56,5.03,69.53,0.0,69.53,13.93,55.6,0.0,55.6,126.87,4.38,4.38,0.0,0.0,0.0,0.0,0.0
2023-06-30,1922.85,0.0,1922.85,1134.5,142.57,79.51,169.92,46.35,296.15,53.85,32.23,86.08,6.91,79.17,0.0,79.17,16.9,62.27,0.0,62.27,126.87,4.91,4.91,0.0,0.0,0.0,0.0,0.0
2023-09-30,1400.02,0.0,1400.02,896.04,36.33,12.58,154.31,43.2,248.59,8.97,31.18,40.15,4.96,35.19,0.0,35.19,9.67,25.52,0.0,25.52,126.87,2.01,2.01,0.0,0.0,0.0,0.0,0.0
2023-12-31,1397.79,0.0,1397.79,657.31,41.13,261.76,177.48,41.42,221.01,-2.32,32.4,30.08,7.9,22.18,0.0,22.18,7.5,14.68,0.0,14.68,126.87,1.16,1.16,0.0,0.0,0.0,0.0,0.0
2024-03-31,1612.01,0.0,1612.01,1081.04,201.38,-229.97,175.95,55.4,262.93,65.28,56.29,121.57,7.99,113.58,-18.91,94.67,29.77,64.9,0.0,64.9,126.87,5.12,5.12,0.0,0.0,0.0,0.0,0.0
2024-06-30,2383.7,0.0,2383.7,1186.51,168.66,280.48,201.36,50.32,353.4,142.97,47.35,190.32,9.47,180.85,0.0,180.85,46.82,134.03,0.0,134.03,126.87,10.56,10.56,0.0,0.0,0.0,0.0,0.0
2024-09-30,1582.08,0.0,1582.08,1075.52,72.81,-120.3,200.66,45.96,285.0,22.43,45.35,67.78,10.4,57.38,0.0,57.38,15.68,41.7,0.0,41.7,126.87,3.29,3.29,0.0,0.0,0.0,0.0,0.0
2024-12-31,1564.95,0.0,1564.95,867.05,128.2,45.52,205.97,45.47,273.9,-1.16,46.13,44.97,8.47,36.5,0.0,36.5,9.72,26.78,0.0,26.78,126.87,2.11,2.11,0.0,0.0,0.0,0.0,0.0
2025-03-31,1890.07,0.0,1890.07,1089.73,365.19,-208.68,199.9,47.64,274.44,121.85,34.53,156.38,13.49,142.89,7.0,149.89,39.03,110.86,0.0,110.86,126.87,8.74,8.74,0.0,0.0,0.0,0.0,0.0
