Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Revaluation Reserves,Deferred Tax Liabilities [Net],"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Preference Share Capital,Long Term Borrowings,Short Term Borrowings,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,126.87,126.87,600.11,613.18,740.06,9.88,58.6,89.82,634.24,63.15,41.8,739.19,1569.06,370.45,0.82,53.15,0.0,424.43,0.0,0.0,55.58,4.86,484.86,0.0,576.67,169.87,291.83,43.72,2.12,1084.2,1569.06,2557.68,363.86,55.48,0.0,103.08,91.01,10.8,0.0,0.0,0.0,13.07,21.34,9.31,105.55,20.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,126.87,126.87,775.84,788.91,915.78,8.47,68.4,79.32,719.41,90.1,44.32,853.84,1848.93,382.46,0.23,13.2,0.0,395.89,0.0,0.0,46.05,5.03,446.97,0.0,659.01,155.07,535.68,47.98,4.23,1401.96,1848.93,286.93,585.61,56.56,0.0,111.65,108.4,10.8,0.0,0.0,0.0,13.07,2.44,10.58,99.3,51.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,126.87,126.87,1038.83,1038.83,1165.7,14.24,78.25,95.44,952.31,7.7,30.09,990.1,2251.24,359.98,6.22,36.67,0.0,402.87,0.0,0.0,14.76,37.79,455.42,0.0,683.52,192.63,856.3,1.31,62.06,1795.82,2251.24,1060.59,0.0,0.0,0.0,0.0,0.0,10.8,0.0,0.0,0.0,0.0,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,126.87,126.87,1356.19,1356.19,1483.06,13.73,125.43,139.16,1120.8,107.53,25.58,1253.91,2876.13,391.96,5.85,29.54,0.0,427.35,129.68,15.92,12.85,57.09,642.89,0.0,888.76,204.86,1058.95,3.42,77.25,2233.24,2876.13,1720.85,0.0,0.0,0.0,0.0,0.0,10.8,0.0,129.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,126.87,126.87,1669.47,1669.47,1796.34,12.66,150.99,163.65,1152.98,83.46,29.38,1265.82,3225.81,439.41,6.51,33.05,0.0,478.97,456.32,27.9,17.03,97.23,1077.45,0.0,810.12,240.31,981.85,2.02,114.06,2148.36,3225.81,1465.61,1157.31,74.7,0.0,288.48,0.0,10.8,0.0,456.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,126.87,126.87,2015.8,2015.8,2142.67,12.54,186.36,198.9,1236.22,97.74,33.51,1367.47,3709.04,503.19,5.02,43.33,0.0,551.54,518.0,34.4,18.15,123.24,1245.33,138.33,888.6,255.62,1061.0,2.63,117.53,2463.71,3709.04,1541.64,1219.37,84.09,0.0,313.19,0.0,10.8,0.0,518.0,138.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,126.87,126.87,2420.01,2420.01,2546.88,21.72,207.38,229.1,1429.15,100.87,37.67,1567.69,4343.67,703.48,5.43,44.08,0.0,752.99,172.22,37.49,18.12,81.13,1061.95,378.33,1198.89,281.6,1284.01,6.74,132.15,3281.72,4343.67,1585.79,1458.46,103.95,0.0,280.77,0.0,10.8,0.0,0.0,378.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,126.87,126.87,2696.29,2696.29,2823.16,46.68,250.91,297.59,1657.06,191.41,44.06,1892.53,5013.28,696.85,10.37,41.03,0.0,748.25,172.22,41.67,15.4,89.54,1067.08,0.0,1273.78,378.97,2063.18,11.43,218.84,3946.2,5013.28,1953.42,1228.46,94.52,0.0,293.99,0.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,126.87,126.87,2852.35,2852.35,2979.22,115.14,234.66,349.8,1439.31,211.63,42.78,1693.72,5022.74,775.5,11.38,71.44,4.26,862.58,597.06,44.9,0.0,162.77,1667.31,0.0,1218.74,387.22,1528.87,1.64,218.96,3355.43,5022.74,1809.6,1286.58,103.81,0.0,280.11,0.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,126.87,126.87,2979.79,2979.79,3106.66,93.93,220.51,314.44,1602.68,181.95,48.07,1832.7,5253.8,898.22,12.28,18.41,1.64,930.55,597.06,52.15,0.0,83.01,1662.77,0.0,1422.36,398.53,1523.69,1.38,245.07,3591.03,5253.8,1626.01,1424.72,101.7,0.0,192.88,0.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,126.87,126.87,3097.79,3097.79,3224.66,204.82,245.53,450.35,1382.26,248.09,52.92,1683.27,5358.28,932.78,8.85,21.43,0.0,963.06,597.06,60.28,0.0,85.32,1705.72,0.0,1159.76,291.92,2001.62,1.27,197.99,3652.56,5358.28,1840.64,1104.23,110.1,0.0,244.72,0.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
