Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2016-09-30,1496.3,1496.3,0.0,526.5,67.4,287.7,213.4,401.3,18.7,420.0,-306.2,726.2,0.0,726.2,190.9,535.3,535.3,1849.6,16351.0,2.66,2.66,0.0,0.0,0.0,0.0,0.0
2016-12-31,1530.0,1530.0,0.0,537.4,69.8,293.4,217.2,412.2,17.8,430.0,-148.3,578.3,0.0,578.3,210.4,367.9,367.9,1849.6,16697.9,1.99,1.99,0.0,0.0,0.0,0.0,0.0
2017-03-31,1605.3,1605.3,0.0,546.5,67.5,296.7,221.7,472.9,19.0,491.9,-23.1,515.0,0.0,515.0,190.1,324.9,324.9,1849.6,14340.4,1.75,1.75,0.0,0.0,0.0,0.0,0.0
2017-06-30,1593.4,1593.4,0.0,525.0,74.3,295.0,212.5,486.6,1014.9,1501.5,-101.4,1602.9,0.0,1602.9,204.6,1398.3,1398.3,1849.6,15776.8,7.5,7.5,0.0,0.0,0.0,0.0,0.0
2017-09-30,1657.7,1657.7,0.0,571.7,73.9,299.7,222.7,489.7,15.1,504.8,-61.9,566.7,0.0,566.7,202.9,363.8,363.8,1849.6,15244.6,1.96,1.96,0.0,0.0,0.0,0.0,0.0
2017-12-31,1695.2,1695.2,0.0,592.5,72.3,292.7,233.1,504.6,19.9,524.5,12.3,512.2,0.0,512.2,195.2,317.0,317.0,1849.6,15551.4,1.71,1.71,0.0,0.0,0.0,0.0,0.0
2018-03-31,1671.7,1671.7,0.0,592.1,71.1,292.2,220.8,495.5,46.5,542.0,-29.2,571.2,-26.0,545.2,210.4,334.8,334.8,1849.6,15875.8,1.81,1.81,0.0,0.0,0.0,0.0,0.0
2018-06-30,1695.5,1695.5,0.0,643.4,74.2,276.6,212.8,488.5,1162.5,1651.0,-87.7,1738.7,0.0,1738.7,220.8,1517.9,1517.9,1849.6,17381.6,8.21,8.21,0.0,0.0,0.0,0.0,0.0
2018-09-30,1719.1,1719.1,0.0,654.1,72.7,269.5,220.6,502.2,20.2,522.4,-99.5,621.9,0.0,621.9,218.7,403.2,403.2,1849.6,14649.6,2.18,2.18,0.0,0.0,0.0,0.0,0.0
2018-12-31,1732.5,1732.5,0.0,627.6,71.5,264.5,210.7,558.2,26.3,584.5,-118.8,703.3,0.0,703.3,234.4,468.9,468.9,1849.6,13435.9,2.53,2.53,0.0,0.0,0.0,0.0,0.0
2019-03-31,1674.6,1674.6,0.0,599.8,73.1,253.1,247.7,500.9,18.6,519.5,-81.7,601.2,0.0,601.2,212.2,389.0,389.0,1849.6,13814.7,2.1,2.1,0.0,0.0,0.0,0.0,0.0
2019-06-30,1724.3,1724.3,0.0,576.9,68.8,311.6,155.6,611.4,52.8,664.2,-34.6,698.8,0.0,698.8,250.7,448.1,448.1,1849.6,12207.1,2.42,2.42,0.0,0.0,0.0,0.0,0.0
2019-09-30,1667.0,1667.0,0.0,601.7,71.4,311.6,88.8,593.5,20.0,613.5,-4.2,617.7,0.0,617.7,139.7,478.0,478.0,1849.6,11846.9,2.58,2.58,0.0,0.0,0.0,0.0,0.0
2019-12-31,1665.9,1665.9,0.0,601.3,73.7,309.5,124.6,556.8,17.3,574.1,19.9,554.2,0.0,554.2,140.1,414.1,414.1,1849.6,11635.8,2.24,2.24,0.0,0.0,0.0,0.0,0.0
2020-03-31,1681.1,1681.1,0.0,586.5,79.6,344.7,152.2,518.1,38.6,556.7,15.2,541.5,0.0,541.5,135.1,406.4,406.4,1849.6,12031.3,2.2,2.2,0.0,0.0,0.0,0.0,0.0
2020-06-30,1634.3,1634.3,0.0,580.7,84.0,297.0,137.3,535.3,436.5,971.8,13.3,958.5,0.0,958.5,135.3,823.2,823.2,1849.6,12083.7,4.45,4.45,0.0,0.0,0.0,0.0,0.0
2020-09-30,1765.9,1765.9,0.0,662.7,83.8,303.2,112.5,603.7,22.2,625.9,28.5,597.4,0.0,597.4,151.5,445.9,445.9,1849.6,12093.4,2.41,2.41,0.0,0.0,0.0,0.0,0.0
2020-12-31,4059.8,4059.8,0.0,1535.2,167.4,911.8,330.4,1115.0,80.9,1195.9,232.5,963.4,0.0,963.4,259.1,704.3,704.3,2694.9,16675.2,3.55,3.55,0.0,0.0,0.0,0.0,0.0
2021-03-31,6490.8,6490.8,0.0,2374.3,177.4,1330.9,527.0,2081.2,77.2,2158.4,361.7,1796.7,0.0,1796.7,431.9,1364.8,1364.8,2694.9,13202.4,5.06,5.06,0.0,0.0,0.0,0.0,0.0
2021-06-30,6795.6,6795.6,0.0,0.0,187.2,1318.3,3092.0,2198.1,56.9,2255.0,376.5,1878.5,0.0,1878.5,461.7,1416.8,1416.8,2694.9,0.0,5.26,5.26,0.0,0.0,0.0,0.0,0.0
2021-09-30,6875.2,6875.2,0.0,2651.1,184.8,1314.7,399.3,2325.3,92.7,2418.0,383.3,2034.7,0.0,2034.7,474.9,1559.8,1559.8,2694.9,16138.3,5.79,5.79,0.0,0.0,0.0,0.0,0.0
2021-12-31,6925.9,6925.9,0.0,2567.3,194.3,322.9,1465.6,2375.8,93.9,2469.7,379.0,2090.7,0.0,2090.7,518.1,1572.6,1572.6,2694.9,17687.7,5.83,5.83,0.0,0.0,0.0,0.0,0.0
2022-03-31,7111.5,7111.5,0.0,2400.8,205.9,1364.4,446.6,2693.8,109.0,2802.8,382.4,2420.4,0.0,2420.4,602.5,1817.9,1817.9,2694.9,19480.6,6.74,6.74,0.0,0.0,0.0,0.0,0.0
2022-06-30,6897.3,6897.3,0.0,2691.5,183.4,1338.7,1699.6,984.1,92.5,1076.6,432.3,644.3,0.0,644.3,165.4,478.9,478.9,2694.9,16959.4,1.78,1.78,0.0,0.0,0.0,0.0,0.0
2022-09-30,7966.6,7966.6,0.0,2717.7,195.7,1306.0,2241.7,1505.5,62.9,1568.4,392.4,1176.0,0.0,1176.0,303.0,873.0,873.0,2694.9,17804.3,3.24,3.24,0.0,0.0,0.0,0.0,0.0
2022-12-31,6765.0,6765.0,0.0,2622.0,200.0,1357.2,2780.3,-194.5,89.8,-104.7,354.0,-458.7,-492.8,-951.5,-243.9,-707.6,-707.6,2694.9,17062.7,-2.63,-2.63,0.0,0.0,0.0,0.0,0.0
2023-03-31,6752.9,6752.9,0.0,2559.6,195.0,1319.6,552.3,2126.4,116.0,2242.4,349.2,1893.2,0.0,1893.2,494.2,1399.0,1399.0,2694.9,18439.8,5.19,5.19,0.0,0.0,0.0,0.0,0.0
2023-06-30,7075.9,7075.9,0.0,2826.4,185.0,1371.5,584.6,2108.4,133.0,2241.4,428.1,1813.3,0.0,1813.3,462.4,1350.9,1350.9,2694.9,19766.6,5.01,5.01,0.0,0.0,0.0,0.0,0.0
2023-09-30,7132.5,7132.5,0.0,2855.4,195.7,1525.0,447.7,2108.7,97.2,2205.9,458.6,1747.3,0.0,1747.3,452.0,1295.3,1295.3,2694.9,21026.8,4.81,4.81,0.0,0.0,0.0,0.0,0.0
2023-12-31,7199.0,7199.0,0.0,2795.6,198.5,1595.1,117.8,2492.0,98.9,2590.9,513.5,2077.4,0.0,2077.4,536.0,1541.4,1541.4,2694.9,22545.9,5.72,5.72,0.0,0.0,0.0,0.0,0.0
2024-03-31,7193.2,7193.2,0.0,2672.5,203.1,1564.0,246.2,2507.4,445.4,2952.8,463.6,2489.2,0.0,2489.2,635.8,1853.4,1853.4,2694.9,24379.1,6.88,6.88,0.0,0.0,0.0,0.0,0.0
2024-06-30,7383.0,7383.0,0.0,2900.6,197.1,1559.9,-218.7,2944.1,56.4,3000.5,408.2,2592.3,0.0,2592.3,665.9,1926.4,1926.4,2694.9,26284.3,7.15,7.15,0.0,0.0,0.0,0.0,0.0
2024-09-30,7465.3,7465.3,0.0,0.0,207.2,1579.6,2395.8,3282.7,113.8,3396.5,417.5,2979.0,0.0,2979.0,756.6,2222.4,2222.4,2638.1,0.0,8.3,8.3,0.0,0.0,0.0,0.0,0.0
2024-12-31,7547.4,7547.4,0.0,2825.3,216.7,1568.0,-2449.1,5386.5,83.9,5470.4,254.6,5215.8,0.0,5215.8,1218.8,3997.0,3997.0,2638.1,29762.5,15.15,15.15,0.0,0.0,0.0,0.0,0.0
2025-03-31,7727.1,7727.1,3.8,2826.6,220.3,1692.5,285.2,2698.7,91.7,2790.4,430.9,2359.5,0.0,2359.5,583.0,1776.5,1776.5,2638.1,29898.9,6.73,6.73,0.0,0.0,0.0,0.0,0.0
